,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Free Cash Flow,1597100000.0,1290000000.0,400700000.0,60100000.0
Repurchase Of Capital Stock,-259800000.0,0.0,-65400000.0,-139000000.0
Repayment Of Debt,-541500000.0,-1270500000.0,-2023900000.0,-595200000.0
Issuance Of Debt,500000000.0,787300000.0,1858000000.0,1404800000.0
Capital Expenditure,-1036000000.0,-492000000.0,-483600000.0,-634600000.0
Interest Paid Supplemental Data,80700000.0,,,
Income Tax Paid Supplemental Data,443200000.0,,,
End Cash Position,2933000000.0,1377700000.0,1081500000.0,894200000.0
Beginning Cash Position,1377700000.0,1081500000.0,894200000.0,1087100000.0
Effect Of Exchange Rate Changes,-2400000.0,-1300000.0,600000.0,200000.0
Changes In Cash,1557700000.0,297500000.0,186700000.0,-193100000.0
Financing Cash Flow,-370000000.0,-569400000.0,-244000000.0,623100000.0
Cash Flow From Continuing Financing Activities,-370000000.0,-569400000.0,-244000000.0,623100000.0
Net Other Financing Charges,-91600000.0,-203500000.0,-36300000.0,-75400000.0
Proceeds From Stock Option Exercised,22900000.0,117300000.0,23600000.0,27900000.0
Net Common Stock Issuance,-259800000.0,0.0,-65400000.0,-139000000.0
Common Stock Payments,-259800000.0,0.0,-65400000.0,-139000000.0
Net Issuance Payments Of Debt,-41500000.0,-483200000.0,-165900000.0,809600000.0
Net Long Term Debt Issuance,-41500000.0,-483200000.0,-165900000.0,809600000.0
Long Term Debt Payments,-541500000.0,-1270500000.0,-2023900000.0,-595200000.0
Long Term Debt Issuance,500000000.0,787300000.0,1858000000.0,1404800000.0
Investing Cash Flow,-705400000.0,-915100000.0,-453600000.0,-1510900000.0
Cash Flow From Continuing Investing Activities,-705400000.0,-915100000.0,-453600000.0,-1510900000.0
Net Investment Purchase And Sale,10800000.0,-44700000.0,,
Sale Of Investment,28800000.0,4200000.0,,
Purchase Of Investment,-18000000.0,-48900000.0,,
Net Business Purchase And Sale,260700000.0,-392400000.0,21500000.0,-882800000.0
Sale Of Business,263100000.0,7000000.0,26000000.0,5200000.0
Purchase Of Business,-2400000.0,-399400000.0,-4500000.0,-888000000.0
Net Intangibles Purchase And Sale,0.0,0.0,-100000000.0,-100000000.0
Purchase Of Intangibles,0.0,0.0,-100000000.0,-100000000.0
Net PPE Purchase And Sale,-976900000.0,-478000000.0,-375100000.0,-528100000.0
Sale Of PPE,59100000.0,14000000.0,8500000.0,6500000.0
Purchase Of PPE,-1036000000.0,-492000000.0,-383600000.0,-534600000.0
Operating Cash Flow,2633100000.0,1782000000.0,884300000.0,694700000.0
Cash Flow From Continuing Operating Activities,2633100000.0,1782000000.0,884300000.0,694700000.0
Taxes Refund Paid,,,59800000.0,
Interest Received Cfo,,,4900000.0,
Interest Paid Cfo,,,-168400000.0,
Change In Working Capital,-250400000.0,-58900000.0,1200000.0,-266700000.0
Change In Other Working Capital,,,40500000.0,10200000.0
Change In Other Current Liabilities,8400000.0,28500000.0,40500000.0,10200000.0
Change In Other Current Assets,-110500000.0,-22900000.0,-60000000.0,-34600000.0
Change In Payables And Accrued Expense,134700000.0,194600000.0,15700000.0,-281600000.0
Change In Accrued Expense,96500000.0,123900000.0,-18500000.0,-201700000.0
Change In Payable,38200000.0,70700000.0,34200000.0,-79900000.0
Change In Account Payable,38200000.0,70700000.0,34200000.0,-79900000.0
Change In Inventory,-235200000.0,-122800000.0,-26300000.0,34600000.0
Change In Receivables,-47800000.0,-136300000.0,31400000.0,4700000.0
Changes In Account Receivables,,,,4700000.0
Other Non Cash Items,11100000.0,39700000.0,220300000.0,50700000.0
Stock Based Compensation,100800000.0,101300000.0,67700000.0,79400000.0
Asset Impairment Charge,405400000.0,10800000.0,18800000.0,5000000.0
Deferred Tax,3100000.0,62400000.0,-182300000.0,11200000.0
Deferred Income Tax,3100000.0,62400000.0,-182300000.0,11200000.0
Depreciation Amortization Depletion,551800000.0,596700000.0,625100000.0,593100000.0
Depreciation And Amortization,551800000.0,596700000.0,625100000.0,593100000.0
Operating Gains Losses,-92500000.0,18800000.0,800000.0,8100000.0
Pension And Employee Benefit Expense,,,4000000.0,
Gain Loss On Sale Of PPE,-32600000.0,,-3200000.0,1900000.0
Gain Loss On Sale Of Business,-67000000.0,-10200000.0,0.0,0.0
Net Income From Continuing Operations,1903800000.0,1011200000.0,236400000.0,213900000.0
