,2023-07-31,2022-07-31,2021-07-31,2020-07-31
Free Cash Flow,2631200000.0,1791900000.0,1387000000.0,821300000.0
Repurchase Of Capital Stock,-272700000.0,-892300000.0,-1178100000.0,-1198100000.0
Repayment Of Debt,-1692000000.0,-600000.0,-900000.0,0.0
Issuance Of Debt,,0.0,0.0,1979100000.0
Capital Expenditure,-146300000.0,-192800000.0,-116000000.0,-214400000.0
Interest Paid Supplemental Data,20200000.0,20200000.0,20000000.0,13500000.0
Income Tax Paid Supplemental Data,147100000.0,34600000.0,24900000.0,17200000.0
End Cash Position,1142200000.0,2124800000.0,1880100000.0,2961700000.0
Beginning Cash Position,2124800000.0,1880100000.0,2961700000.0,965000000.0
Changes In Cash,-982600000.0,244700000.0,-1081600000.0,1996700000.0
Financing Cash Flow,-1726300000.0,-806600000.0,-1104000000.0,673000000.0
Cash Flow From Continuing Financing Activities,-1726300000.0,-806600000.0,-1104000000.0,673000000.0
Net Other Financing Charges,-20400000.0,-50300000.0,-29000000.0,-394800000.0
Proceeds From Stock Option Exercised,258800000.0,136600000.0,104000000.0,286800000.0
Net Common Stock Issuance,-272700000.0,-892300000.0,-1178100000.0,-1198100000.0
Common Stock Payments,-272700000.0,-892300000.0,-1178100000.0,-1198100000.0
Net Issuance Payments Of Debt,-1692000000.0,-600000.0,-900000.0,1979100000.0
Net Short Term Debt Issuance,-1692000000.0,,,
Short Term Debt Payments,-1692000000.0,,,
Net Long Term Debt Issuance,,-600000.0,-900000.0,1979100000.0
Long Term Debt Payments,,-600000.0,-900000.0,0.0
Long Term Debt Issuance,,0.0,0.0,1979100000.0
Investing Cash Flow,-2033800000.0,-933400000.0,-1480600000.0,288000000.0
Cash Flow From Continuing Investing Activities,-2033800000.0,-933400000.0,-1480600000.0,288000000.0
Net Investment Purchase And Sale,-1683000000.0,-703600000.0,-587300000.0,1085900000.0
Sale Of Investment,3777400000.0,1568100000.0,1371600000.0,2266700000.0
Purchase Of Investment,-5460400000.0,-2271700000.0,-1958900000.0,-1180800000.0
Net Business Purchase And Sale,-204500000.0,-37000000.0,-777300000.0,-583500000.0
Purchase Of Business,-204500000.0,-37000000.0,-777300000.0,-583500000.0
Net PPE Purchase And Sale,-146300000.0,-192800000.0,-116000000.0,-214400000.0
Purchase Of PPE,-146300000.0,-192800000.0,-116000000.0,-214400000.0
Capital Expenditure Reported,,,,-214400000.0
Operating Cash Flow,2777500000.0,1984700000.0,1503000000.0,1035700000.0
Cash Flow From Continuing Operating Activities,2777500000.0,1984700000.0,1503000000.0,1035700000.0
Change In Working Capital,563300000.0,520800000.0,348600000.0,71800000.0
Change In Other Working Capital,1954200000.0,1541600000.0,860400000.0,969000000.0
Change In Payables And Accrued Expense,-66600000.0,22200000.0,-40300000.0,-52600000.0
Change In Accrued Expense,-67600000.0,-47100000.0,-28500000.0,-39800000.0
Change In Payable,1000000.0,69300000.0,-11800000.0,-12800000.0
Change In Account Payable,1000000.0,69300000.0,-11800000.0,-12800000.0
Change In Prepaid Assets,-265300000.0,-141000000.0,-299100000.0,-409000000.0
Change In Receivables,-1059000000.0,-902000000.0,-172400000.0,-435600000.0
Changes In Account Receivables,-320300000.0,-902000000.0,-172400000.0,-435600000.0
Other Non Cash Items,420100000.0,369300000.0,440800000.0,325200000.0
Stock Based Compensation,1074500000.0,1011100000.0,894500000.0,658400000.0
Asset Impairment Charge,,,,-3100000.0
Amortization Of Securities,-52200000.0,13500000.0,13100000.0,-6200000.0
Depreciation Amortization Depletion,282200000.0,282600000.0,304900000.0,253500000.0
Depreciation And Amortization,282200000.0,282600000.0,304900000.0,253500000.0
Depreciation,,,304900000.0,253500000.0
Operating Gains Losses,49900000.0,54400000.0,,
Gain Loss On Sale Of PPE,49900000.0,54400000.0,,
Net Income From Continuing Operations,439700000.0,-267000000.0,-498900000.0,-267000000.0
