,2023-05-31,2022-05-31,2021-05-31,2020-05-31
Free Cash Flow,1556400000.0,1372900000.0,1145700000.0,1313900000.0
Repurchase Of Capital Stock,0.0,-145200000.0,-155700000.0,-171900000.0
Issuance Of Debt,2000000.0,1300000.0,2300000.0,5100000.0
Capital Expenditure,-143000000.0,-132600000.0,-114600000.0,-127000000.0
End Cash Position,2134900000.0,928400000.0,1823100000.0,1659800000.0
Beginning Cash Position,928400000.0,1823100000.0,1659800000.0,935200000.0
Changes In Cash,1206500000.0,-894700000.0,163300000.0,724600000.0
Financing Cash Flow,-711400000.0,-979300000.0,-636400000.0,-1488200000.0
Cash Flow From Continuing Financing Activities,-711400000.0,-979300000.0,-636400000.0,-1488200000.0
Net Other Financing Charges,472000000.0,141600000.0,340000000.0,-453300000.0
Proceeds From Stock Option Exercised,-10400000.0,22600000.0,85700000.0,21300000.0
Cash Dividends Paid,-1175000000.0,-999600000.0,-908700000.0,-889400000.0
Common Stock Dividend Paid,-1175000000.0,-999600000.0,-908700000.0,-889400000.0
Net Common Stock Issuance,0.0,-145200000.0,-155700000.0,-171900000.0
Common Stock Payments,0.0,-145200000.0,-155700000.0,-171900000.0
Net Issuance Payments Of Debt,2000000.0,1300000.0,2300000.0,5100000.0
Net Short Term Debt Issuance,2000000.0,1300000.0,2300000.0,5100000.0
Short Term Debt Issuance,2000000.0,1300000.0,2300000.0,5100000.0
Net Long Term Debt Issuance,,,0.0,0.0
Long Term Debt Issuance,,,0.0,0.0
Investing Cash Flow,218500000.0,-1420900000.0,-460600000.0,771900000.0
Cash Flow From Continuing Investing Activities,218500000.0,-1420900000.0,-460600000.0,771900000.0
Net Other Investing Changes,-10400000.0,-10600000.0,-8700000.0,-9800000.0
Net Investment Purchase And Sale,357900000.0,-1252800000.0,-317800000.0,914800000.0
Sale Of Investment,14943200000.0,16554900000.0,5771900000.0,26132900000.0
Purchase Of Investment,-14585300000.0,-17807700000.0,-6089700000.0,-25218100000.0
Net Business Purchase And Sale,-2700000.0,-24900000.0,-19500000.0,-6100000.0
Purchase Of Business,-2700000.0,-24900000.0,-19500000.0,-6100000.0
Net PPE Purchase And Sale,-126300000.0,-132600000.0,-114600000.0,-127000000.0
Sale Of PPE,16700000.0,,,
Purchase Of PPE,-143000000.0,-132600000.0,-114600000.0,-127000000.0
Operating Cash Flow,1699400000.0,1505500000.0,1260300000.0,1440900000.0
Cash Flow From Continuing Operating Activities,1699400000.0,1505500000.0,1260300000.0,1440900000.0
Change In Working Capital,-317900000.0,-368400000.0,-294700000.0,-133700000.0
Change In Other Working Capital,-241800000.0,-244700000.0,-176800000.0,-183500000.0
Change In Payables And Accrued Expense,67400000.0,151800000.0,169000000.0,-4900000.0
Change In Payable,67400000.0,151800000.0,169000000.0,-4900000.0
Change In Account Payable,67400000.0,151800000.0,169000000.0,-4900000.0
Change In Prepaid Assets,-17800000.0,-7700000.0,-15800000.0,-1600000.0
Change In Receivables,-125700000.0,-267800000.0,-271100000.0,56300000.0
Changes In Account Receivables,-123600000.0,-269900000.0,-272900000.0,55100000.0
Other Non Cash Items,219100000.0,202100000.0,191400000.0,186100000.0
Stock Based Compensation,62600000.0,52800000.0,52500000.0,47400000.0
Provisionand Write Offof Assets,17700000.0,3400000.0,8000000.0,7800000.0
Amortization Of Securities,18200000.0,28900000.0,35800000.0,40800000.0
Deferred Tax,-44000000.0,2300000.0,-21000000.0,-4000000.0
Deferred Income Tax,-44000000.0,2300000.0,-21000000.0,-4000000.0
Depreciation Amortization Depletion,176600000.0,191800000.0,192000000.0,209700000.0
Depreciation And Amortization,176600000.0,191800000.0,192000000.0,209700000.0
Amortization Cash Flow,48200000.0,58100000.0,,
Amortization Of Intangibles,48200000.0,58100000.0,,
Depreciation,128400000.0,133700000.0,,
Operating Gains Losses,9800000.0,-200000.0,-1200000.0,-11300000.0
Gain Loss On Investment Securities,9800000.0,-200000.0,-1200000.0,-11300000.0
Net Income From Continuing Operations,1557300000.0,1392800000.0,1097500000.0,1098100000.0
