,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Free Cash Flow,1636500000.0,553900000.0,1348800000.0,889500000.0
Repurchase Of Capital Stock,-2100000.0,-1500000.0,-42100000.0,-110200000.0
Repayment Of Debt,-2265800000.0,-210900000.0,-1898500000.0,-1790000000.0
Issuance Of Debt,3171700000.0,2101100000.0,2150100000.0,2504300000.0
Capital Expenditure,-1390500000.0,-1632800000.0,-1638400000.0,-1970800000.0
End Cash Position,4690900000.0,3428300000.0,3539600000.0,4175100000.0
Beginning Cash Position,3428300000.0,3539600000.0,4175100000.0,3435900000.0
Effect Of Exchange Rate Changes,-36300000.0,-52400000.0,61600000.0,2900000.0
Changes In Cash,1298900000.0,-58900000.0,-697100000.0,736300000.0
Financing Cash Flow,304900000.0,-882900000.0,-1808500000.0,83400000.0
Cash Flow From Continuing Financing Activities,304900000.0,-882900000.0,-1808500000.0,83400000.0
Proceeds From Stock Option Exercised,35700000.0,37500000.0,53700000.0,60800000.0
Cash Dividends Paid,-1004700000.0,-708000000.0,-1239800000.0,-1138600000.0
Common Stock Dividend Paid,-1004700000.0,-708000000.0,-1239800000.0,-1138600000.0
Net Common Stock Issuance,-2100000.0,-1500000.0,-42100000.0,-110200000.0
Common Stock Payments,-2100000.0,-1500000.0,-42100000.0,-110200000.0
Net Issuance Payments Of Debt,1276000000.0,-210900000.0,-580300000.0,1271400000.0
Net Short Term Debt Issuance,370100000.0,24700000.0,-831900000.0,557100000.0
Net Long Term Debt Issuance,1276000000.0,-210900000.0,-580300000.0,1271400000.0
Long Term Debt Payments,-2265800000.0,-210900000.0,-1898500000.0,-1790000000.0
Long Term Debt Issuance,3171700000.0,2101100000.0,2150100000.0,2504300000.0
Investing Cash Flow,-2033000000.0,-1362700000.0,-1875800000.0,-2207400000.0
Cash Flow From Continuing Investing Activities,-2033000000.0,-1362700000.0,-1875800000.0,-2207400000.0
Net Other Investing Changes,-472200000.0,446200000.0,7200000.0,-101500000.0
Net Investment Purchase And Sale,-170300000.0,-176100000.0,-244600000.0,-135100000.0
Sale Of Investment,718100000.0,727000000.0,597800000.0,715500000.0
Purchase Of Investment,-170300000.0,-176100000.0,-244600000.0,-850600000.0
Net PPE Purchase And Sale,-1390500000.0,-1632800000.0,-1638400000.0,-1970800000.0
Sale Of PPE,,904100000.0,601900000.0,639200000.0
Purchase Of PPE,-1390500000.0,-1632800000.0,-1638400000.0,-1970800000.0
Operating Cash Flow,3027000000.0,2186700000.0,2987200000.0,2860300000.0
Cash Flow From Continuing Operating Activities,3027000000.0,2186700000.0,2987200000.0,2860300000.0
Change In Working Capital,-809500000.0,-239000000.0,891200000.0,-595500000.0
Change In Other Working Capital,125900000.0,-329800000.0,20000000.0,-75300000.0
Change In Other Current Liabilities,294300000.0,17300000.0,18600000.0,278900000.0
Change In Other Current Assets,-31900000.0,-129800000.0,-133800000.0,-365400000.0
Change In Payables And Accrued Expense,840300000.0,693400000.0,-53600000.0,-27600000.0
Change In Payable,,,-53600000.0,-27600000.0
Change In Account Payable,,,-53600000.0,-27600000.0
Change In Inventory,-272700000.0,-610300000.0,-48200000.0,24600000.0
Change In Receivables,-935400000.0,90800000.0,871200000.0,-520200000.0
Changes In Account Receivables,125900000.0,-329800000.0,20000000.0,-75300000.0
Other Non Cash Items,34700000.0,-329700000.0,-251400000.0,-9400000.0
Provisionand Write Offof Assets,5500000.0,500000.0,28800000.0,15400000.0
Deferred Tax,-208000000.0,-212900000.0,-500000.0,70800000.0
Deferred Income Tax,-208000000.0,-212900000.0,-500000.0,70800000.0
Depreciation Amortization Depletion,790200000.0,903300000.0,1049000000.0,1077300000.0
Depreciation And Amortization,790200000.0,903300000.0,1049000000.0,1077300000.0
Depreciation,790200000.0,903300000.0,1049000000.0,1077300000.0
Operating Gains Losses,,,,-35700000.0
Pension And Employee Benefit Expense,,,,-35700000.0
Net Income From Continuing Operations,3011600000.0,1852100000.0,1298400000.0,2387900000.0
