,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Free Cash Flow,48507860000.0,28783011000.0,28196627000.0,14820976000.0
Repurchase Of Capital Stock,,,,0.0
Repayment Of Debt,0.0,-1875472000.0,-922897000.0,
Issuance Of Debt,0.0,0.0,14853122000.0,7970123000.0
Issuance Of Capital Stock,0.0,0.0,37868777000.0,8194597000.0
Capital Expenditure,-635716000.0,-3287232000.0,-43046000.0,-27436000.0
Income Tax Paid Supplemental Data,4881252000.0,,,
End Cash Position,92300417000.0,66043971000.0,74843636000.0,33345857000.0
Beginning Cash Position,66043971000.0,74843636000.0,33345857000.0,30539686000.0
Effect Of Exchange Rate Changes,100177000.0,-145157000.0,-139943000.0,450142000.0
Changes In Cash,26156269000.0,-8654508000.0,41637722000.0,2356029000.0
Financing Cash Flow,10079000.0,-1875154000.0,51798996000.0,15854731000.0
Cash Flow From Continuing Financing Activities,10079000.0,-1875154000.0,51798996000.0,15854731000.0
Net Other Financing Charges,10079000.0,318000.0,-6000.0,-309989000.0
Net Preferred Stock Issuance,,,0.0,0.0
Preferred Stock Issuance,,,0.0,0.0
Net Common Stock Issuance,0.0,0.0,37868777000.0,8194597000.0
Common Stock Payments,,,,0.0
Common Stock Issuance,0.0,0.0,37868777000.0,8194597000.0
Net Issuance Payments Of Debt,0.0,-1875472000.0,13930225000.0,7970123000.0
Net Short Term Debt Issuance,0.0,-1875472000.0,906026000.0,897022000.0
Short Term Debt Payments,0.0,-1875472000.0,-922897000.0,
Short Term Debt Issuance,0.0,0.0,1828923000.0,897022000.0
Net Long Term Debt Issuance,0.0,0.0,13024199000.0,7073101000.0
Long Term Debt Issuance,0.0,0.0,13024199000.0,7073101000.0
Investing Cash Flow,-22361670000.0,-35562365000.0,-38357901000.0,-28319678000.0
Cash Flow From Continuing Investing Activities,-22361670000.0,-35562365000.0,-38357901000.0,-28319678000.0
Net Other Investing Changes,,445037000.0,-238000000.0,-424632000.0
Net Investment Purchase And Sale,-21725994000.0,-32720564000.0,-38076906000.0,-27868085000.0
Sale Of Investment,149066165000.0,97547038000.0,55083390000.0,24797630000.0
Purchase Of Investment,-170792159000.0,-130267602000.0,-93160296000.0,-52665715000.0
Net PPE Purchase And Sale,-635676000.0,-3286838000.0,-42995000.0,-26961000.0
Sale Of PPE,40000.0,394000.0,51000.0,475000.0
Purchase Of PPE,-635716000.0,-3287232000.0,-43046000.0,-27436000.0
Capital Expenditure Reported,,,-43046000.0,-27436000.0
Operating Cash Flow,48507860000.0,28783011000.0,28196627000.0,14820976000.0
Cash Flow From Continuing Operating Activities,48507860000.0,28783011000.0,28196627000.0,14820976000.0
Change In Working Capital,7423415000.0,13561705000.0,31049657000.0,18605657000.0
Change In Other Working Capital,222891000.0,-1256426000.0,1817220000.0,-175906000.0
Change In Other Current Liabilities,-488064000.0,-356045000.0,-142407000.0,551716000.0
Change In Other Current Assets,-34492000.0,-23102000.0,-13182000.0,-69471000.0
Change In Payables And Accrued Expense,7466755000.0,10755675000.0,31666270000.0,16324481000.0
Change In Accrued Expense,7003998000.0,3492038000.0,5849148000.0,2648869000.0
Change In Payable,462757000.0,7263637000.0,25817122000.0,13675612000.0
Change In Account Payable,749373000.0,8686493000.0,23934151000.0,12650833000.0
Change In Prepaid Assets,2238959000.0,4395878000.0,-963129000.0,3665088000.0
Change In Receivables,-1982634000.0,45725000.0,-1315115000.0,-1690251000.0
Changes In Account Receivables,86041000.0,55811000.0,321426000.0,-803388000.0
Other Non Cash Items,-554792000.0,1084030000.0,287850000.0,9484000.0
Stock Based Compensation,7718365000.0,4774730000.0,3613043000.0,2557706000.0
Unrealized Gain Loss On Investment Securities,242236000.0,22170000.0,-104068000.0,
Provisionand Write Offof Assets,118384000.0,49300000.0,43434000.0,11782000.0
Asset Impairment Charge,,,651523000.0,0.0
Deferred Tax,-1028586000.0,-213000.0,,
Deferred Income Tax,-1028586000.0,-213000.0,,
Depreciation Amortization Depletion,2735084000.0,1844243000.0,800468000.0,637831000.0
Depreciation And Amortization,2735084000.0,1844243000.0,800468000.0,637831000.0
Amortization Cash Flow,608618000.0,,,
Amortization Of Intangibles,608618000.0,,,
Depreciation,2126466000.0,1844243000.0,800468000.0,637831000.0
Operating Gains Losses,315692000.0,-321624000.0,-314015000.0,-33881000.0
Earnings Losses From Equity Investments,155285000.0,-246828000.0,-83654000.0,-28676000.0
Net Foreign Currency Exchange Gain Loss,149710000.0,-71750000.0,-225197000.0,-5380000.0
Gain Loss On Sale Of PPE,10697000.0,-258000.0,24000.0,175000.0
Net Income From Continuing Operations,31538062000.0,7768670000.0,-7179742000.0,-6967603000.0
