,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Free Cash Flow,5604000000.0,6991000000.0,6373000000.0,5417000000.0
Repurchase Of Capital Stock,-1500000000.0,-106000000.0,-2000000000.0,-3000000000.0
Repayment Of Debt,-6156000000.0,-8696000000.0,-6593000000.0,-4982000000.0
Issuance Of Debt,5346000000.0,4564000000.0,17886000000.0,4627000000.0
Capital Expenditure,-5207000000.0,-4625000000.0,-4240000000.0,-4232000000.0
Interest Paid Supplemental Data,1043000000.0,1184000000.0,1156000000.0,1076000000.0
Income Tax Paid Supplemental Data,2766000000.0,1933000000.0,1770000000.0,2226000000.0
End Cash Position,5100000000.0,5707000000.0,8254000000.0,5570000000.0
Beginning Cash Position,5707000000.0,8254000000.0,5570000000.0,10769000000.0
Effect Of Exchange Rate Changes,-465000000.0,-114000000.0,-129000000.0,78000000.0
Changes In Cash,-142000000.0,-2433000000.0,2813000000.0,-5277000000.0
Financing Cash Flow,-8523000000.0,-10780000000.0,3819000000.0,-8489000000.0
Cash Flow From Continuing Financing Activities,-8523000000.0,-10780000000.0,3819000000.0,-8489000000.0
Net Other Financing Charges,-179000000.0,-912000000.0,-144000000.0,-159000000.0
Proceeds From Stock Option Exercised,138000000.0,185000000.0,179000000.0,329000000.0
Cash Dividends Paid,-6172000000.0,-5815000000.0,-5509000000.0,-5304000000.0
Common Stock Dividend Paid,-6172000000.0,-5815000000.0,-5509000000.0,-5304000000.0
Net Preferred Stock Issuance,,,,0.0
Preferred Stock Payments,,,,0.0
Net Common Stock Issuance,-1500000000.0,-106000000.0,-2000000000.0,-3000000000.0
Common Stock Payments,-1500000000.0,-106000000.0,-2000000000.0,-3000000000.0
Net Issuance Payments Of Debt,-810000000.0,-4132000000.0,11293000000.0,-355000000.0
Net Short Term Debt Issuance,-13000000.0,45000000.0,414000000.0,1000000.0
Short Term Debt Payments,-1982000000.0,-397000000.0,-3663000000.0,-5000000.0
Short Term Debt Issuance,1969000000.0,442000000.0,4077000000.0,6000000.0
Net Long Term Debt Issuance,-797000000.0,-4177000000.0,10879000000.0,-356000000.0
Long Term Debt Payments,-4174000000.0,-8299000000.0,-2930000000.0,-4977000000.0
Long Term Debt Issuance,3377000000.0,4122000000.0,13809000000.0,4621000000.0
Investing Cash Flow,-2430000000.0,-3269000000.0,-11619000000.0,-6437000000.0
Cash Flow From Continuing Investing Activities,-2430000000.0,-3269000000.0,-11619000000.0,-6437000000.0
Net Other Investing Changes,11000000.0,5000000.0,42000000.0,-8000000.0
Net Investment Purchase And Sale,-117000000.0,1077000000.0,-1108000000.0,97000000.0
Sale Of Investment,174000000.0,1135000000.0,27000000.0,97000000.0
Purchase Of Investment,-291000000.0,-58000000.0,-1135000000.0,0.0
Net Business Purchase And Sale,2632000000.0,108000000.0,-6368000000.0,-2464000000.0
Sale Of Business,3505000000.0,169000000.0,4000000.0,253000000.0
Purchase Of Business,-873000000.0,-61000000.0,-6372000000.0,-2717000000.0
Net PPE Purchase And Sale,251000000.0,166000000.0,55000000.0,170000000.0
Sale Of PPE,251000000.0,166000000.0,55000000.0,170000000.0
Capital Expenditure Reported,-5207000000.0,-4625000000.0,-4240000000.0,-4232000000.0
Operating Cash Flow,10811000000.0,11616000000.0,10613000000.0,9649000000.0
Cash Flow From Continuing Operating Activities,10811000000.0,11616000000.0,10613000000.0,9649000000.0
Taxes Refund Paid,-309000000.0,-309000000.0,-78000000.0,-423000000.0
Change In Working Capital,-888000000.0,718000000.0,-303000000.0,-479000000.0
Change In Payables And Accrued Expense,1899000000.0,1792000000.0,607000000.0,448000000.0
Change In Payable,1899000000.0,1792000000.0,607000000.0,448000000.0
Change In Account Payable,1842000000.0,1762000000.0,766000000.0,735000000.0
Change In Tax Payable,57000000.0,30000000.0,-159000000.0,-287000000.0
Change In Income Tax Payable,57000000.0,30000000.0,-159000000.0,-287000000.0
Change In Prepaid Assets,118000000.0,159000000.0,26000000.0,-87000000.0
Change In Inventory,-1142000000.0,-582000000.0,-516000000.0,-190000000.0
Change In Receivables,-1763000000.0,-651000000.0,-420000000.0,-650000000.0
Other Non Cash Items,-522000000.0,-599000000.0,238000000.0,-435000000.0
Stock Based Compensation,343000000.0,301000000.0,264000000.0,237000000.0
Asset Impairment Charge,3618000000.0,,,
Deferred Tax,-787000000.0,488000000.0,361000000.0,445000000.0
Deferred Income Tax,-787000000.0,488000000.0,361000000.0,445000000.0
Depreciation Amortization Depletion,3280000000.0,3215000000.0,2548000000.0,2432000000.0
Depreciation And Amortization,3280000000.0,3215000000.0,2548000000.0,2432000000.0
Depreciation,3280000000.0,3215000000.0,,
Operating Gains Losses,-2902000000.0,123000000.0,408000000.0,519000000.0
Pension And Employee Benefit Expense,419000000.0,123000000.0,408000000.0,519000000.0
Gain Loss On Sale Of Business,-3321000000.0,,,
Net Income From Continuing Operations,8978000000.0,7679000000.0,7175000000.0,7353000000.0
