,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Free Cash Flow,5107000000.0,5432000000.0,4988000000.0,3857000000.0
Repurchase Of Capital Stock,-4199000000.0,-3373000000.0,-1635000000.0,-1411000000.0
Repayment Of Debt,-1686000000.0,-361000000.0,-3000000000.0,-2516000000.0
Issuance Of Debt,3475000000.0,272000000.0,6966000000.0,5471000000.0
Issuance Of Capital Stock,143000000.0,162000000.0,137000000.0,138000000.0
Capital Expenditure,-706000000.0,-908000000.0,-866000000.0,-704000000.0
Interest Paid Supplemental Data,280000000.0,231000000.0,190000000.0,78000000.0
Income Tax Paid Supplemental Data,878000000.0,474000000.0,565000000.0,665000000.0
End Cash Position,19156000000.0,18029000000.0,18040000000.0,15743000000.0
Beginning Cash Position,18029000000.0,18040000000.0,15743000000.0,13233000000.0
Effect Of Exchange Rate Changes,-155000000.0,-102000000.0,169000000.0,-6000000.0
Changes In Cash,1282000000.0,91000000.0,2128000000.0,2516000000.0
Financing Cash Flow,-1110000000.0,-764000000.0,12492000000.0,3688000000.0
Cash Flow From Continuing Financing Activities,-1110000000.0,-764000000.0,12492000000.0,3688000000.0
Net Other Financing Charges,1157000000.0,2536000000.0,10024000000.0,2006000000.0
Net Common Stock Issuance,-4056000000.0,-3211000000.0,-1498000000.0,-1273000000.0
Common Stock Payments,-4199000000.0,-3373000000.0,-1635000000.0,-1411000000.0
Common Stock Issuance,143000000.0,162000000.0,137000000.0,138000000.0
Net Issuance Payments Of Debt,1789000000.0,-89000000.0,3966000000.0,2955000000.0
Net Long Term Debt Issuance,1789000000.0,-89000000.0,3966000000.0,2955000000.0
Long Term Debt Payments,-1686000000.0,-361000000.0,-3000000000.0,-2516000000.0
Long Term Debt Issuance,3475000000.0,272000000.0,6966000000.0,5471000000.0
Investing Cash Flow,-3421000000.0,-5485000000.0,-16218000000.0,-5733000000.0
Cash Flow From Continuing Investing Activities,-3421000000.0,-5485000000.0,-16218000000.0,-5733000000.0
Net Other Investing Changes,-5912000000.0,-1401000000.0,-1258000000.0,-1973000000.0
Net Investment Purchase And Sale,3192000000.0,-418000000.0,-10605000000.0,-3003000000.0
Sale Of Investment,23411000000.0,39698000000.0,30908000000.0,24878000000.0
Purchase Of Investment,-20219000000.0,-40116000000.0,-41513000000.0,-27881000000.0
Net Business Purchase And Sale,0.0,-2763000000.0,-3609000000.0,-70000000.0
Purchase Of Business,,,-3609000000.0,-70000000.0
Net PPE Purchase And Sale,-701000000.0,-903000000.0,-746000000.0,-687000000.0
Sale Of PPE,5000000.0,5000000.0,120000000.0,17000000.0
Purchase Of PPE,-706000000.0,-908000000.0,-866000000.0,-704000000.0
Operating Cash Flow,5813000000.0,6340000000.0,5854000000.0,4561000000.0
Cash Flow From Continuing Operating Activities,5813000000.0,6340000000.0,5854000000.0,4561000000.0
Change In Working Capital,-454000000.0,-1102000000.0,-952000000.0,-585000000.0
Change In Other Working Capital,-1230000000.0,-1178000000.0,-1120000000.0,-433000000.0
Change In Other Current Liabilities,483000000.0,406000000.0,1000000000.0,722000000.0
Change In Other Current Assets,118000000.0,-150000000.0,-498000000.0,-566000000.0
Change In Payables And Accrued Expense,338000000.0,42000000.0,-234000000.0,-36000000.0
Change In Payable,338000000.0,42000000.0,-234000000.0,-36000000.0
Change In Account Payable,-35000000.0,-31000000.0,-4000000.0,4000000.0
Change In Tax Payable,373000000.0,73000000.0,-230000000.0,-40000000.0
Change In Income Tax Payable,373000000.0,73000000.0,-230000000.0,-40000000.0
Change In Receivables,-163000000.0,-222000000.0,-100000000.0,-116000000.0
Changes In Account Receivables,-163000000.0,-222000000.0,-100000000.0,-120000000.0
Other Non Cash Items,1777000000.0,1160000000.0,47000000.0,-150000000.0
Stock Based Compensation,1261000000.0,1376000000.0,1376000000.0,1021000000.0
Unrealized Gain Loss On Investment Securities,,,,-207000000.0
Provisionand Write Offof Assets,,,1741000000.0,1380000000.0
Deferred Tax,-811000000.0,-482000000.0,165000000.0,-269000000.0
Deferred Income Tax,-811000000.0,-482000000.0,165000000.0,-269000000.0
Depreciation Amortization Depletion,1317000000.0,1265000000.0,1189000000.0,912000000.0
Depreciation And Amortization,1317000000.0,1265000000.0,1189000000.0,912000000.0
Operating Gains Losses,304000000.0,-46000000.0,-1914000000.0,
Gain Loss On Investment Securities,304000000.0,-46000000.0,-1914000000.0,
Net Income From Continuing Operations,2419000000.0,4169000000.0,4202000000.0,2459000000.0
