,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Free Cash Flow,3398000000.0,6529400000.0,2003500000.0,2000400000.0
Repurchase Of Capital Stock,-2528500000.0,-2678100000.0,-6527600000.0,-463900000.0
Repayment Of Debt,0.0,0.0,-1500000000.0,0.0
Issuance Of Debt,0.0,0.0,3481900000.0,0.0
Issuance Of Capital Stock,1519500000.0,1672300000.0,2575200000.0,211800000.0
Capital Expenditure,-1616900000.0,-551900000.0,-614600000.0,-429600000.0
Interest Paid Supplemental Data,53700000.0,55800000.0,23200000.0,25000000.0
Income Tax Paid Supplemental Data,1502400000.0,1218400000.0,188100000.0,342300000.0
End Cash Position,3119400000.0,2898100000.0,2207300000.0,1630300000.0
Beginning Cash Position,2898100000.0,2207300000.0,1630300000.0,1480200000.0
Changes In Cash,221300000.0,690800000.0,577000000.0,150100000.0
Financing Cash Flow,-1009000000.0,-1005800000.0,-1970500000.0,-252100000.0
Cash Flow From Continuing Financing Activities,-1009000000.0,-1005800000.0,-1970500000.0,-252100000.0
Net Other Financing Charges,,,,-188000000.0
Net Common Stock Issuance,-1009000000.0,-1005800000.0,-3952400000.0,-252100000.0
Common Stock Payments,-2528500000.0,-2678100000.0,-6527600000.0,-463900000.0
Common Stock Issuance,1519500000.0,1672300000.0,2575200000.0,211800000.0
Net Issuance Payments Of Debt,0.0,0.0,1981900000.0,0.0
Net Long Term Debt Issuance,0.0,0.0,1981900000.0,0.0
Long Term Debt Payments,0.0,0.0,-1500000000.0,0.0
Long Term Debt Issuance,0.0,0.0,3481900000.0,0.0
Investing Cash Flow,-3784600000.0,-5384700000.0,-70600000.0,-2027800000.0
Cash Flow From Continuing Investing Activities,-3784600000.0,-5384700000.0,-70600000.0,-2027800000.0
Net Other Investing Changes,-230300000.0,,,
Net Investment Purchase And Sale,-1937400000.0,-4832800000.0,544000000.0,-1598200000.0
Sale Of Investment,5550500000.0,2215300000.0,3785000000.0,1604200000.0
Purchase Of Investment,-7487900000.0,-7048100000.0,-3241000000.0,-3202400000.0
Net Intangibles Purchase And Sale,-1026800000.0,,,
Purchase Of Intangibles,-1026800000.0,,,
Capital Expenditure Reported,-590100000.0,-551900000.0,-614600000.0,-429600000.0
Operating Cash Flow,5014900000.0,7081300000.0,2618100000.0,2430000000.0
Cash Flow From Continuing Operating Activities,5014900000.0,7081300000.0,2618100000.0,2430000000.0
Change In Working Capital,-243300000.0,-1916500000.0,-1503600000.0,-200500000.0
Change In Other Working Capital,32400000.0,-120200000.0,148100000.0,294000000.0
Change In Payables And Accrued Expense,-138400000.0,866100000.0,118900000.0,444500000.0
Change In Payable,-138400000.0,866100000.0,118900000.0,444500000.0
Change In Account Payable,-138400000.0,866100000.0,118900000.0,444500000.0
Change In Prepaid Assets,-148600000.0,-240700000.0,114900000.0,-130400000.0
Change In Inventory,-696500000.0,-494300000.0,-529400000.0,-335500000.0
Change In Receivables,707800000.0,-1927400000.0,-1356100000.0,-473100000.0
Changes In Account Receivables,707800000.0,-1927400000.0,-1356100000.0,-473100000.0
Other Non Cash Items,563000000.0,568700000.0,-135000000.0,-29300000.0
Stock Based Compensation,725000000.0,601700000.0,432000000.0,464300000.0
Deferred Tax,-746400000.0,-147100000.0,75600000.0,-130600000.0
Deferred Income Tax,-746400000.0,-147100000.0,75600000.0,-130600000.0
Depreciation Amortization Depletion,341400000.0,286200000.0,235900000.0,210300000.0
Depreciation And Amortization,341400000.0,286200000.0,235900000.0,210300000.0
Operating Gains Losses,36800000.0,-387000000.0,,
Gain Loss On Investment Securities,36800000.0,-387000000.0,,
Net Income From Continuing Operations,4338400000.0,8075300000.0,3513200000.0,2115800000.0
