,2023-01-31,2022-01-31,2021-01-31,2020-01-31
Free Cash Flow,1035303000.0,1181009000.0,1840500000.0,1616063000.0
Repurchase Of Capital Stock,-998851000.0,-707342000.0,-177689000.0,-1335665000.0
Repayment Of Debt,0.0,-65000000.0,-1580610000.0,
Issuance Of Debt,0.0,0.0,3770716000.0,
Capital Expenditure,-654070000.0,-557840000.0,-405433000.0,-555483000.0
Interest Paid Supplemental Data,80316000.0,84331000.0,72471000.0,12682000.0
Income Tax Paid Supplemental Data,362156000.0,564755000.0,8921000.0,506591000.0
End Cash Position,4612241000.0,4982382000.0,4953769000.0,1411410000.0
Beginning Cash Position,4982382000.0,4953769000.0,1411410000.0,1478079000.0
Changes In Cash,-370141000.0,28613000.0,3542359000.0,-66669000.0
Financing Cash Flow,-1405444000.0,-1152396000.0,1701859000.0,-1683249000.0
Cash Flow From Continuing Financing Activities,-1405444000.0,-1152396000.0,1701859000.0,-1683249000.0
Net Other Financing Charges,,,-232688000.0,
Proceeds From Stock Option Exercised,24702000.0,25069000.0,23534000.0,22209000.0
Cash Dividends Paid,-431295000.0,-405123000.0,-101404000.0,-369793000.0
Common Stock Dividend Paid,-431295000.0,-405123000.0,-101404000.0,-369793000.0
Net Common Stock Issuance,-998851000.0,-707342000.0,-177689000.0,-1335665000.0
Common Stock Payments,-998851000.0,-707342000.0,-177689000.0,-1335665000.0
Net Issuance Payments Of Debt,0.0,-65000000.0,2190106000.0,
Net Short Term Debt Issuance,0.0,0.0,0.0,
Short Term Debt Payments,0.0,0.0,-805601000.0,
Short Term Debt Issuance,0.0,0.0,805601000.0,
Net Long Term Debt Issuance,0.0,-65000000.0,2190106000.0,
Long Term Debt Payments,0.0,-65000000.0,-775009000.0,
Long Term Debt Issuance,0.0,0.0,2965115000.0,
Investing Cash Flow,-654070000.0,-557840000.0,-405433000.0,-554966000.0
Cash Flow From Continuing Investing Activities,-654070000.0,-557840000.0,-405433000.0,-554966000.0
Net Investment Purchase And Sale,,0.0,0.0,517000.0
Sale Of Investment,,0.0,0.0,517000.0
Net PPE Purchase And Sale,-654070000.0,-557840000.0,-405433000.0,-555483000.0
Purchase Of PPE,-654070000.0,-557840000.0,-405433000.0,-555483000.0
Operating Cash Flow,1689373000.0,1738849000.0,2245933000.0,2171546000.0
Cash Flow From Continuing Operating Activities,1689373000.0,1738849000.0,2245933000.0,2171546000.0
Change In Working Capital,-418676000.0,-494396000.0,1482597000.0,32279000.0
Change In Other Working Capital,17873000.0,-31852000.0,48559000.0,15064000.0
Change In Other Current Liabilities,-304454000.0,198595000.0,171444000.0,30513000.0
Change In Other Current Assets,-39487000.0,1420000.0,-39406000.0,-10315000.0
Change In Payables And Accrued Expense,-331386000.0,90732000.0,978643000.0,78914000.0
Change In Payable,-331386000.0,90732000.0,978643000.0,78914000.0
Change In Account Payable,-365262000.0,135311000.0,938837000.0,114153000.0
Change In Tax Payable,33876000.0,-44579000.0,39806000.0,-35239000.0
Change In Income Tax Payable,33876000.0,-44579000.0,39806000.0,-35239000.0
Change In Inventory,238778000.0,-753291000.0,323357000.0,-81897000.0
Stock Based Compensation,121936000.0,134217000.0,101568000.0,95438000.0
Deferred Tax,79417000.0,15775000.0,-27812000.0,32009000.0
Deferred Income Tax,79417000.0,15775000.0,-27812000.0,32009000.0
Depreciation Amortization Depletion,394655000.0,360664000.0,364245000.0,350892000.0
Depreciation And Amortization,394655000.0,360664000.0,364245000.0,350892000.0
Operating Gains Losses,,,239953000.0,
Net Income From Continuing Operations,1512041000.0,1722589000.0,85382000.0,1660928000.0
