,2023-09-30,2022-09-30,2021-09-30,2020-09-30
Free Cash Flow,3675100000.0,2556000000.0,4519100000.0,114200000.0
Repurchase Of Capital Stock,-984400000.0,-4013000000.0,0.0,-1698900000.0
Repayment Of Debt,-1253800000.0,-1036600000.0,-1896300000.0,-967700000.0
Issuance Of Debt,1612400000.0,1709700000.0,215100000.0,6134200000.0
Issuance Of Capital Stock,167400000.0,101600000.0,246200000.0,298800000.0
Capital Expenditure,-2333600000.0,-1841300000.0,-1470000000.0,-1483600000.0
Interest Paid Supplemental Data,524300000.0,474700000.0,501100000.0,396900000.0
Income Tax Paid Supplemental Data,1294200000.0,1157600000.0,756300000.0,1699100000.0
End Cash Position,3551500000.0,2818400000.0,6455700000.0,4350900000.0
Beginning Cash Position,2818400000.0,6455700000.0,4350900000.0,2686600000.0
Effect Of Exchange Rate Changes,-14200000.0,-250300000.0,86200000.0,64700000.0
Changes In Cash,747300000.0,-3387000000.0,2018600000.0,1599600000.0
Financing Cash Flow,-2990600000.0,-5638000000.0,-3651000000.0,1713300000.0
Cash Flow From Continuing Financing Activities,-2990600000.0,-5638000000.0,-3651000000.0,1713300000.0
Net Other Financing Charges,-100400000.0,-136400000.0,-97000000.0,-129600000.0
Cash Dividends Paid,-2431800000.0,-2263300000.0,-2119000000.0,-1923500000.0
Common Stock Dividend Paid,-2431800000.0,-2263300000.0,-2119000000.0,-1923500000.0
Net Common Stock Issuance,-817000000.0,-3911400000.0,246200000.0,-1400100000.0
Common Stock Payments,-984400000.0,-4013000000.0,0.0,-1698900000.0
Common Stock Issuance,167400000.0,101600000.0,246200000.0,298800000.0
Net Issuance Payments Of Debt,358600000.0,673100000.0,-1681200000.0,5166500000.0
Net Short Term Debt Issuance,-139200000.0,175000000.0,-431200000.0,438900000.0
Short Term Debt Payments,-253800000.0,-36600000.0,-646300000.0,-967700000.0
Short Term Debt Issuance,114600000.0,211600000.0,215100000.0,1406600000.0
Net Long Term Debt Issuance,497800000.0,498100000.0,-1250000000.0,4727600000.0
Long Term Debt Payments,-1000000000.0,-1000000000.0,-1250000000.0,0.0
Long Term Debt Issuance,1497800000.0,1498100000.0,0.0,4727600000.0
Investing Cash Flow,-2270800000.0,-2146300000.0,-319500000.0,-1711500000.0
Cash Flow From Continuing Investing Activities,-2270800000.0,-2146300000.0,-319500000.0,-1711500000.0
Net Other Investing Changes,53900000.0,-126300000.0,-81200000.0,-44400000.0
Net Investment Purchase And Sale,8900000.0,-238000000.0,56700000.0,-183500000.0
Sale Of Investment,619400000.0,139900000.0,488700000.0,260400000.0
Purchase Of Investment,-610500000.0,-377900000.0,-432000000.0,-443900000.0
Net Business Purchase And Sale,0.0,59300000.0,1175000000.0,0.0
Sale Of Business,0.0,59300000.0,1175000000.0,0.0
Purchase Of Business,,,,0.0
Net PPE Purchase And Sale,-2333600000.0,-1841300000.0,-1470000000.0,-1483600000.0
Purchase Of PPE,-2333600000.0,-1841300000.0,-1470000000.0,-1483600000.0
Operating Cash Flow,6008700000.0,4397300000.0,5989100000.0,1597800000.0
Cash Flow From Continuing Operating Activities,6008700000.0,4397300000.0,5989100000.0,1597800000.0
Dividend Received Cfo,222800000.0,231200000.0,336000000.0,227700000.0
Change In Working Capital,-1133400000.0,-2133000000.0,-501200000.0,-2676400000.0
Change In Other Working Capital,-204500000.0,263800000.0,352600000.0,311500000.0
Change In Other Current Liabilities,-1443800000.0,-1625600000.0,-1488100000.0,-1231400000.0
Change In Payables And Accrued Expense,152600000.0,195900000.0,476000000.0,-1425400000.0
Change In Payable,152600000.0,195900000.0,476000000.0,-1425400000.0
Change In Account Payable,100100000.0,345500000.0,189900000.0,-210800000.0
Change In Tax Payable,52500000.0,-149600000.0,286100000.0,-1214600000.0
Change In Income Tax Payable,52500000.0,-149600000.0,286100000.0,-1214600000.0
Change In Prepaid Assets,,,251100000.0,-317500000.0
Change In Inventory,366400000.0,-641000000.0,-49800000.0,-10900000.0
Change In Receivables,-4100000.0,-326100000.0,-43000000.0,-2700000.0
Changes In Account Receivables,-4100000.0,-326100000.0,-43000000.0,-2700000.0
Other Non Cash Items,1392700000.0,1429900000.0,1242600000.0,1222100000.0
Stock Based Compensation,302700000.0,271500000.0,319100000.0,248600000.0
Asset Impairment Charge,,,0.0,0.0
Deferred Tax,-59400000.0,-37800000.0,-146200000.0,-25800000.0
Deferred Income Tax,-59400000.0,-37800000.0,-146200000.0,-25800000.0
Depreciation Amortization Depletion,1450300000.0,1529400000.0,1524100000.0,1503200000.0
Depreciation And Amortization,1450300000.0,1529400000.0,1524100000.0,1503200000.0
Operating Gains Losses,-291700000.0,-177300000.0,-985600000.0,173700000.0
Earnings Losses From Equity Investments,-301800000.0,-268700000.0,-347300000.0,-280700000.0
Gain Loss On Sale Of Business,0.0,0.0,-864500000.0,0.0
Net Income From Continuing Operations,4124700000.0,3283400000.0,4200300000.0,924700000.0
