,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Free Cash Flow,-531091000.0,-551337000.0,774159000.0,-234490000.0
Issuance Of Capital Stock,0.0,0.0,749850000.0,548691000.0
Capital Expenditure,-77340000.0,-52330000.0,-82409000.0,-70753000.0
End Cash Position,323486000.0,424834000.0,558424000.0,274562000.0
Beginning Cash Position,424834000.0,558424000.0,274562000.0,78186000.0
Effect Of Exchange Rate Changes,-1194000.0,-1246000.0,198000.0,
Changes In Cash,-100154000.0,-132344000.0,283664000.0,196376000.0
Financing Cash Flow,125360000.0,77779000.0,846108000.0,637842000.0
Cash Flow From Continuing Financing Activities,125360000.0,77779000.0,846108000.0,637842000.0
Proceeds From Stock Option Exercised,125360000.0,77779000.0,96258000.0,89151000.0
Net Common Stock Issuance,0.0,0.0,749850000.0,548691000.0
Common Stock Issuance,0.0,0.0,749850000.0,548691000.0
Investing Cash Flow,228237000.0,288884000.0,-1419012000.0,-277729000.0
Cash Flow From Continuing Investing Activities,228237000.0,288884000.0,-1419012000.0,-277729000.0
Net Other Investing Changes,-20159000.0,,,
Net Investment Purchase And Sale,325736000.0,341214000.0,-1336603000.0,-206976000.0
Sale Of Investment,2788000000.0,3765500000.0,1146733000.0,786000000.0
Purchase Of Investment,-2462264000.0,-3424286000.0,-2483336000.0,-992976000.0
Net Business Purchase And Sale,,,0.0,
Purchase Of Business,,,0.0,
Net PPE Purchase And Sale,-77340000.0,-52330000.0,-82409000.0,-70753000.0
Purchase Of PPE,-77340000.0,-52330000.0,-82409000.0,-70753000.0
Operating Cash Flow,-453751000.0,-499007000.0,856568000.0,-163737000.0
Cash Flow From Continuing Operating Activities,-453751000.0,-499007000.0,856568000.0,-163737000.0
Change In Working Capital,-150540000.0,-88016000.0,42860000.0,-112763000.0
Change In Other Working Capital,,,184022000.0,-33600000.0
Change In Other Current Liabilities,204970000.0,127201000.0,184022000.0,40791000.0
Change In Prepaid Assets,-16306000.0,-66422000.0,-22231000.0,2459000.0
Change In Inventory,-226548000.0,-84527000.0,-30204000.0,-32693000.0
Change In Receivables,-112656000.0,-64268000.0,-88727000.0,-89720000.0
Changes In Account Receivables,-112656000.0,-64268000.0,-88727000.0,-89720000.0
Stock Based Compensation,221297000.0,173117000.0,147233000.0,127349000.0
Amortization Of Securities,-7065000.0,15933000.0,3104000.0,-4916000.0
Deferred Tax,553000.0,548000.0,-2053000.0,
Deferred Income Tax,553000.0,548000.0,-2053000.0,
Depreciation Amortization Depletion,82158000.0,78626000.0,63384000.0,33514000.0
Depreciation And Amortization,82158000.0,78626000.0,63384000.0,33514000.0
Amortization Cash Flow,23077000.0,23087000.0,16345000.0,
Amortization Of Intangibles,23077000.0,23087000.0,16345000.0,
Depreciation,59081000.0,55539000.0,47039000.0,33514000.0
Operating Gains Losses,10154000.0,-4744000.0,-11630000.0,-48271000.0
Gain Loss On Investment Securities,10154000.0,-4744000.0,-11604000.0,-50124000.0
Gain Loss On Sale Of PPE,0.0,0.0,-26000.0,1853000.0
Net Income From Continuing Operations,-610308000.0,-674471000.0,613670000.0,-158650000.0
