,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Free Cash Flow,1550000000.0,1610000000.0,1668000000.0,1654000000.0
Repurchase Of Capital Stock,-647000000.0,-1523000000.0,-1555000000.0,-2159000000.0
Repayment Of Debt,-6000000.0,-3565000000.0,-1538000000.0,-1711000000.0
Issuance Of Debt,499000000.0,4442000000.0,2130000000.0,2276000000.0
Capital Expenditure,-426000000.0,-388000000.0,-350000000.0,-363000000.0
Interest Paid Supplemental Data,411000000.0,393000000.0,358000000.0,337000000.0
Income Tax Paid Supplemental Data,275000000.0,82000000.0,38000000.0,10000000.0
End Cash Position,65000000.0,199000000.0,83000000.0,120000000.0
Beginning Cash Position,199000000.0,83000000.0,120000000.0,65000000.0
Changes In Cash,-134000000.0,116000000.0,-37000000.0,55000000.0
Financing Cash Flow,-1562000000.0,-1682000000.0,-1314000000.0,-1959000000.0
Cash Flow From Continuing Financing Activities,-1562000000.0,-1682000000.0,-1314000000.0,-1959000000.0
Net Other Financing Charges,-153000000.0,-125000000.0,-114000000.0,-147000000.0
Proceeds From Stock Option Exercised,4000000.0,10000000.0,0.0,8000000.0
Cash Dividends Paid,-1339000000.0,-268000000.0,-237000000.0,-226000000.0
Common Stock Dividend Paid,-1339000000.0,-268000000.0,-237000000.0,-226000000.0
Net Common Stock Issuance,-647000000.0,-1523000000.0,-1555000000.0,-2159000000.0
Common Stock Payments,-647000000.0,-1523000000.0,-1555000000.0,-2159000000.0
Net Issuance Payments Of Debt,573000000.0,224000000.0,592000000.0,565000000.0
Net Short Term Debt Issuance,80000000.0,-653000000.0,,
Net Long Term Debt Issuance,493000000.0,877000000.0,592000000.0,565000000.0
Long Term Debt Payments,-6000000.0,-3565000000.0,-1538000000.0,-1711000000.0
Long Term Debt Issuance,499000000.0,4442000000.0,2130000000.0,2276000000.0
Investing Cash Flow,-548000000.0,-200000000.0,-741000000.0,-3000000.0
Cash Flow From Continuing Investing Activities,-548000000.0,-200000000.0,-741000000.0,-3000000.0
Net Other Investing Changes,,227000000.0,11000000.0,
Net Investment Purchase And Sale,1000000.0,-4000000.0,-8000000.0,66000000.0
Sale Of Investment,,0.0,0.0,73000000.0
Purchase Of Investment,,-4000000.0,-8000000.0,-7000000.0
Net Investment Properties Purchase And Sale,15000000.0,,,
Sale Of Investment Properties,15000000.0,,,
Net Business Purchase And Sale,-138000000.0,-35000000.0,-394000000.0,294000000.0
Sale Of Business,,,,313000000.0
Purchase Of Business,-138000000.0,-35000000.0,-394000000.0,-19000000.0
Net PPE Purchase And Sale,-426000000.0,-388000000.0,-350000000.0,-363000000.0
Purchase Of PPE,-426000000.0,-388000000.0,-350000000.0,-363000000.0
Operating Cash Flow,1976000000.0,1998000000.0,2018000000.0,2017000000.0
Cash Flow From Continuing Operating Activities,1976000000.0,1998000000.0,2018000000.0,2017000000.0
Dividend Received Cfo,8000000.0,2000000.0,2000000.0,2000000.0
Change In Working Capital,-379000000.0,-411000000.0,-268000000.0,-21000000.0
Change In Other Working Capital,-174000000.0,-280000000.0,-223000000.0,-82000000.0
Change In Other Current Liabilities,-97000000.0,-71000000.0,-15000000.0,45000000.0
Change In Other Current Assets,-1000000.0,-8000000.0,-61000000.0,4000000.0
Change In Payables And Accrued Expense,-79000000.0,103000000.0,55000000.0,141000000.0
Change In Accrued Expense,-8000000.0,-1000000.0,13000000.0,32000000.0
Change In Interest Payable,-8000000.0,-1000000.0,13000000.0,32000000.0
Change In Payable,-71000000.0,104000000.0,42000000.0,109000000.0
Change In Account Payable,-71000000.0,104000000.0,42000000.0,109000000.0
Change In Prepaid Assets,-38000000.0,-47000000.0,14000000.0,-3000000.0
Change In Inventory,,,-2000000.0,11000000.0
Change In Receivables,10000000.0,-108000000.0,-36000000.0,-137000000.0
Changes In Account Receivables,,,,-137000000.0
Other Non Cash Items,15000000.0,4000000.0,44000000.0,17000000.0
Stock Based Compensation,197000000.0,202000000.0,223000000.0,250000000.0
Unrealized Gain Loss On Investment Securities,,,0.0,0.0
Provisionand Write Offof Assets,59000000.0,53000000.0,60000000.0,53000000.0
Asset Impairment Charge,61000000.0,24000000.0,976000000.0,
Amortization Of Securities,,,-3000000.0,-3000000.0
Deferred Tax,202000000.0,131000000.0,238000000.0,259000000.0
Deferred Income Tax,202000000.0,131000000.0,238000000.0,259000000.0
Depreciation Amortization Depletion,585000000.0,583000000.0,562000000.0,468000000.0
Depreciation And Amortization,585000000.0,583000000.0,562000000.0,468000000.0
Depreciation,585000000.0,583000000.0,562000000.0,
Operating Gains Losses,15000000.0,96000000.0,50000000.0,75000000.0
Earnings Losses From Equity Investments,5000000.0,18000000.0,13000000.0,18000000.0
Gain Loss On Investment Securities,10000000.0,-5000000.0,-3000000.0,
Net Income From Continuing Operations,1213000000.0,1314000000.0,131000000.0,914000000.0
