,2023-06-30,2022-06-30,2021-06-30,2020-06-30
Free Cash Flow,842299000.0,808895000.0,808010000.0,538501000.0
Repurchase Of Capital Stock,-150006000.0,,,
Repayment Of Debt,0.0,-1597828000.0,-1848118000.0,-38127000.0
Issuance Of Debt,0.0,1000000000.0,,0.0
Capital Expenditure,-25812000.0,-74601000.0,-33320000.0,-35709000.0
Interest Paid Supplemental Data,28493000.0,,,
Income Tax Paid Supplemental Data,102156000.0,,,
End Cash Position,2103915000.0,1385265000.0,919227000.0,1479969000.0
Other Cash Adjustment Outside Changein Cash,602000.0,6616000.0,-9317000.0,
Beginning Cash Position,1386686000.0,919227000.0,1479969000.0,1268441000.0
Effect Of Exchange Rate Changes,-1805000.0,-9194000.0,5406000.0,-1176000.0
Changes In Cash,718432000.0,468616000.0,-556831000.0,212704000.0
Financing Cash Flow,-148421000.0,-461732000.0,-1654805000.0,-42575000.0
Cash Flow From Continuing Financing Activities,-148421000.0,-461732000.0,-1654805000.0,-42575000.0
Net Other Financing Charges,1585000.0,149374000.0,198648000.0,
Interest Paid Cff,,-13310000.0,-6498000.0,-6250000.0
Proceeds From Stock Option Exercised,,32000.0,1163000.0,1802000.0
Cash Dividends Paid,,0.0,0.0,0.0
Net Common Stock Issuance,-150006000.0,,,
Common Stock Payments,-150006000.0,,,
Net Issuance Payments Of Debt,0.0,-597828000.0,-1848118000.0,-38127000.0
Net Short Term Debt Issuance,,-1548686000.0,,
Short Term Debt Payments,,-1548686000.0,,
Net Long Term Debt Issuance,0.0,-597828000.0,-1848118000.0,-38127000.0
Long Term Debt Payments,0.0,-1597828000.0,-1848118000.0,-38127000.0
Long Term Debt Issuance,0.0,1000000000.0,,0.0
Investing Cash Flow,-1258000.0,46852000.0,256644000.0,-318931000.0
Cash Flow From Continuing Investing Activities,-1258000.0,46852000.0,256644000.0,-318931000.0
Net Other Investing Changes,,3302000.0,-2803000.0,-2845000.0
Net Investment Purchase And Sale,30329000.0,130528000.0,384351000.0,-227165000.0
Sale Of Investment,74579000.0,263199000.0,503782000.0,758766000.0
Purchase Of Investment,-44250000.0,-132671000.0,-119431000.0,-985931000.0
Net Business Purchase And Sale,-5775000.0,-12377000.0,-91584000.0,-53212000.0
Purchase Of Business,-5775000.0,-12377000.0,-91584000.0,-53212000.0
Net Intangibles Purchase And Sale,-160000.0,-4018000.0,-1800000.0,0.0
Purchase Of Intangibles,-160000.0,-4018000.0,-1800000.0,0.0
Net PPE Purchase And Sale,-25652000.0,-70583000.0,-31520000.0,-35709000.0
Sale Of PPE,,,0.0,0.0
Purchase Of PPE,-25652000.0,-70583000.0,-31520000.0,-35709000.0
Operating Cash Flow,868111000.0,883496000.0,841330000.0,574210000.0
Cash Flow From Continuing Operating Activities,868111000.0,883496000.0,841330000.0,574210000.0
Taxes Refund Paid,,-66648000.0,-50272000.0,-17876000.0
Interest Received Cfo,,2086000.0,12513000.0,29217000.0
Change In Working Capital,308556000.0,270352000.0,284960000.0,143019000.0
Change In Other Working Capital,362799000.0,284937000.0,294371000.0,131535000.0
Change In Payables And Accrued Expense,153513000.0,140946000.0,64899000.0,51532000.0
Change In Accrued Expense,74611000.0,,,
Change In Payable,78902000.0,140946000.0,64899000.0,51532000.0
Change In Account Payable,78902000.0,,64899000.0,51532000.0
Change In Prepaid Assets,-38230000.0,-20767000.0,-13054000.0,-10608000.0
Change In Receivables,-169526000.0,-134764000.0,-61256000.0,-29440000.0
Changes In Account Receivables,-169526000.0,-134764000.0,-61256000.0,-29440000.0
Other Non Cash Items,1959000.0,23527000.0,115538000.0,21809000.0
Stock Based Compensation,948087000.0,707087000.0,385732000.0,313395000.0
Unrealized Gain Loss On Investment Securities,,2100000.0,2000000.0,
Asset Impairment Charge,61098000.0,0.0,7435000.0,
Deferred Tax,10613000.0,,,
Deferred Income Tax,10613000.0,,,
Depreciation Amortization Depletion,60923000.0,93958000.0,92848000.0,97398000.0
Depreciation And Amortization,60923000.0,93958000.0,92848000.0,97398000.0
Amortization Cash Flow,,32398000.0,,
Amortization Of Intangibles,,32398000.0,,
Depreciation,60923000.0,93958000.0,92848000.0,97398000.0
Operating Gains Losses,-36364000.0,415606000.0,625240000.0,333457000.0
Gain Loss On Investment Securities,19407000.0,427671000.0,616446000.0,334960000.0
Net Foreign Currency Exchange Gain Loss,-10613000.0,-12065000.0,7650000.0,-1503000.0
Gain Loss On Sale Of Business,-45158000.0,,,
Net Income From Continuing Operations,-486761000.0,-564572000.0,-634664000.0,-346209000.0
