,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Free Cash Flow,-520000000.0,-7775000000.0,-3727000000.0,-534000000.0
Repurchase Of Capital Stock,-3000000000.0,0.0,-19536000000.0,0.0
Repayment Of Debt,-6795000000.0,-12395000000.0,-40847000000.0,-4513000000.0
Issuance Of Debt,3714000000.0,14727000000.0,54080000000.0,2340000000.0
Issuance Of Capital Stock,0.0,0.0,19840000000.0,
Capital Expenditure,-17301000000.0,-21692000000.0,-12367000000.0,-7358000000.0
Interest Paid Supplemental Data,3485000000.0,3723000000.0,2733000000.0,1128000000.0
Income Tax Paid Supplemental Data,76000000.0,167000000.0,218000000.0,88000000.0
End Cash Position,4674000000.0,6703000000.0,10463000000.0,1528000000.0
Beginning Cash Position,6703000000.0,10463000000.0,1528000000.0,1203000000.0
Changes In Cash,-2029000000.0,-3760000000.0,8935000000.0,325000000.0
Financing Cash Flow,-6451000000.0,1709000000.0,13010000000.0,-2374000000.0
Cash Flow From Continuing Financing Activities,-6451000000.0,1709000000.0,13010000000.0,-2374000000.0
Net Other Financing Charges,-370000000.0,-623000000.0,-527000000.0,-201000000.0
Cash Dividends Paid,,,,0.0
Preferred Stock Dividend Paid,,,,0.0
Net Common Stock Issuance,-3000000000.0,0.0,304000000.0,0.0
Common Stock Payments,-3000000000.0,0.0,-19536000000.0,0.0
Common Stock Issuance,0.0,0.0,19840000000.0,
Net Issuance Payments Of Debt,-3081000000.0,2332000000.0,13233000000.0,-2173000000.0
Net Short Term Debt Issuance,0.0,-184000000.0,-667000000.0,-775000000.0
Short Term Debt Payments,0.0,-184000000.0,-19410000000.0,-775000000.0
Short Term Debt Issuance,0.0,0.0,18743000000.0,
Net Long Term Debt Issuance,-3081000000.0,2516000000.0,13900000000.0,-1398000000.0
Long Term Debt Payments,-6795000000.0,-12211000000.0,-21437000000.0,-3738000000.0
Long Term Debt Issuance,3714000000.0,14727000000.0,35337000000.0,2340000000.0
Investing Cash Flow,-12359000000.0,-19386000000.0,-12715000000.0,-4125000000.0
Cash Flow From Continuing Investing Activities,-12359000000.0,-19386000000.0,-12715000000.0,-4125000000.0
Net Other Investing Changes,4985000000.0,4182000000.0,2796000000.0,3226000000.0
Net Investment Purchase And Sale,0.0,0.0,632000000.0,
Sale Of Investment,0.0,0.0,,
Net Business Purchase And Sale,-52000000.0,-1916000000.0,-3776000000.0,-31000000.0
Sale Of Business,0.0,0.0,1224000000.0,
Purchase Of Business,-52000000.0,-1916000000.0,-5000000000.0,-31000000.0
Net Intangibles Purchase And Sale,-3331000000.0,-9366000000.0,-1333000000.0,-967000000.0
Purchase Of Intangibles,-3331000000.0,-9366000000.0,-1333000000.0,-967000000.0
Net PPE Purchase And Sale,-13961000000.0,-12286000000.0,-11034000000.0,-6353000000.0
Sale Of PPE,9000000.0,40000000.0,0.0,38000000.0
Purchase Of PPE,-13970000000.0,-12326000000.0,-11034000000.0,-6391000000.0
Operating Cash Flow,16781000000.0,13917000000.0,8640000000.0,6824000000.0
Cash Flow From Continuing Operating Activities,16781000000.0,13917000000.0,8640000000.0,6824000000.0
Change In Working Capital,-3055000000.0,-7114000000.0,-11885000000.0,-5559000000.0
Change In Other Working Capital,,,3465000000.0,1896000000.0
Change In Other Current Liabilities,-2488000000.0,-5889000000.0,-5877000000.0,-1987000000.0
Change In Other Current Assets,4473000000.0,4391000000.0,3063000000.0,1752000000.0
Change In Payables And Accrued Expense,558000000.0,549000000.0,-2123000000.0,17000000.0
Change In Inventory,744000000.0,201000000.0,-2222000000.0,-617000000.0
Change In Receivables,-6342000000.0,-6366000000.0,-4726000000.0,-4724000000.0
Changes In Account Receivables,-5158000000.0,-3225000000.0,-3273000000.0,-3709000000.0
Other Non Cash Items,414000000.0,236000000.0,367000000.0,257000000.0
Stock Based Compensation,595000000.0,540000000.0,694000000.0,495000000.0
Asset Impairment Charge,1503000000.0,452000000.0,1020000000.0,307000000.0
Deferred Tax,492000000.0,197000000.0,822000000.0,1091000000.0
Deferred Income Tax,492000000.0,197000000.0,822000000.0,1091000000.0
Depreciation Amortization Depletion,13651000000.0,16383000000.0,14151000000.0,6616000000.0
Depreciation And Amortization,13651000000.0,16383000000.0,14151000000.0,6616000000.0
Operating Gains Losses,591000000.0,199000000.0,407000000.0,149000000.0
Gain Loss On Sale Of PPE,,,,0.0
Net Income From Continuing Operations,2590000000.0,3024000000.0,3064000000.0,3468000000.0
