,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Free Cash Flow,7552000000.0,3483000000.0,2701000000.0,968000000.0
Repayment Of Debt,-3866000000.0,-14615000000.0,-12201000000.0,-389000000.0
Issuance Of Debt,0.0,8883000000.0,9713000000.0,10669000000.0
Issuance Of Capital Stock,0.0,0.0,12269000000.0,848000000.0
Capital Expenditure,-7172000000.0,-8014000000.0,-3242000000.0,-1437000000.0
Interest Paid Supplemental Data,152000000.0,266000000.0,444000000.0,455000000.0
Income Tax Paid Supplemental Data,1203000000.0,561000000.0,115000000.0,54000000.0
End Cash Position,16924000000.0,18144000000.0,19901000000.0,6783000000.0
Beginning Cash Position,18144000000.0,19901000000.0,6783000000.0,4277000000.0
Effect Of Exchange Rate Changes,-444000000.0,-183000000.0,334000000.0,8000000.0
Changes In Cash,-776000000.0,-1574000000.0,12784000000.0,2498000000.0
Financing Cash Flow,-3527000000.0,-5203000000.0,9973000000.0,1529000000.0
Cash Flow From Continuing Financing Activities,-3527000000.0,-5203000000.0,9973000000.0,1529000000.0
Net Other Financing Charges,-202000000.0,-178000000.0,-225000000.0,222000000.0
Proceeds From Stock Option Exercised,541000000.0,707000000.0,417000000.0,437000000.0
Net Common Stock Issuance,0.0,0.0,12269000000.0,848000000.0
Common Stock Issuance,0.0,0.0,12269000000.0,848000000.0
Net Issuance Payments Of Debt,-3866000000.0,-5732000000.0,-2488000000.0,459000000.0
Net Long Term Debt Issuance,-3866000000.0,-5732000000.0,-2488000000.0,459000000.0
Long Term Debt Payments,-3866000000.0,-14615000000.0,-12201000000.0,-389000000.0
Long Term Debt Issuance,0.0,8883000000.0,9713000000.0,10669000000.0
Investing Cash Flow,-11973000000.0,-7868000000.0,-3132000000.0,-1436000000.0
Cash Flow From Continuing Investing Activities,-11973000000.0,-7868000000.0,-3132000000.0,-1436000000.0
Net Other Investing Changes,76000000.0,6000000.0,123000000.0,46000000.0
Net Investment Purchase And Sale,-5813000000.0,-132000000.0,,
Sale Of Investment,22000000.0,,,
Purchase Of Investment,-5835000000.0,-132000000.0,,
Net Business Purchase And Sale,0.0,0.0,-13000000.0,-45000000.0
Sale Of Business,0.0,,,
Purchase Of Business,0.0,0.0,-13000000.0,-45000000.0
Net Intangibles Purchase And Sale,927000000.0,-1228000000.0,-10000000.0,-5000000.0
Sale Of Intangibles,936000000.0,272000000.0,,
Purchase Of Intangibles,-9000000.0,-1500000000.0,-10000000.0,-5000000.0
Net PPE Purchase And Sale,-7163000000.0,-6514000000.0,-3232000000.0,-105000000.0
Purchase Of PPE,-7163000000.0,-6514000000.0,-3232000000.0,-105000000.0
Capital Expenditure Reported,,,,-1327000000.0
Operating Cash Flow,14724000000.0,11497000000.0,5943000000.0,2405000000.0
Cash Flow From Continuing Operating Activities,14724000000.0,11497000000.0,5943000000.0,2405000000.0
Change In Working Capital,-3908000000.0,518000000.0,184000000.0,-349000000.0
Change In Other Working Capital,1286000000.0,979000000.0,328000000.0,743000000.0
Change In Other Current Liabilities,1904000000.0,476000000.0,495000000.0,-41000000.0
Change In Other Current Assets,-4121000000.0,-3405000000.0,-1416000000.0,-649000000.0
Change In Payables And Accrued Expense,6029000000.0,4578000000.0,2102000000.0,682000000.0
Change In Prepaid Assets,-1417000000.0,-271000000.0,-251000000.0,-288000000.0
Change In Inventory,-6465000000.0,-1709000000.0,-422000000.0,-429000000.0
Change In Receivables,-1124000000.0,-130000000.0,-652000000.0,-367000000.0
Changes In Account Receivables,-1124000000.0,-130000000.0,-652000000.0,-367000000.0
Other Non Cash Items,340000000.0,245000000.0,408000000.0,477000000.0
Stock Based Compensation,1560000000.0,2121000000.0,1734000000.0,898000000.0
Asset Impairment Charge,177000000.0,140000000.0,202000000.0,193000000.0
Depreciation Amortization Depletion,3747000000.0,2911000000.0,2322000000.0,2154000000.0
Depreciation And Amortization,3747000000.0,2911000000.0,2322000000.0,2154000000.0
Depreciation,3747000000.0,2911000000.0,,
Operating Gains Losses,221000000.0,-82000000.0,231000000.0,98000000.0
Net Foreign Currency Exchange Gain Loss,81000000.0,-55000000.0,114000000.0,-48000000.0
Gain Loss On Sale Of PPE,140000000.0,-27000000.0,117000000.0,146000000.0
Net Income From Continuing Operations,12587000000.0,5644000000.0,862000000.0,-775000000.0
