,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Free Cash Flow,456849000.0,318540000.0,324955000.0,19601000.0
Repayment Of Debt,0.0,0.0,-143000000.0,0.0
Issuance Of Debt,0.0,0.0,143000000.0,
Capital Expenditure,-91885000.0,-59973000.0,-80114000.0,-40604000.0
Interest Paid Supplemental Data,995000.0,518000.0,1554000.0,412000.0
Income Tax Paid Supplemental Data,4211000.0,3608000.0,4983000.0,19727000.0
End Cash Position,1030506000.0,754154000.0,437353000.0,130876000.0
Beginning Cash Position,754154000.0,437353000.0,130876000.0,207232000.0
Changes In Cash,276352000.0,316801000.0,306477000.0,-76356000.0
Financing Cash Flow,31992000.0,31926000.0,44679000.0,27280000.0
Cash Flow From Continuing Financing Activities,31992000.0,31926000.0,44679000.0,27280000.0
Net Other Financing Charges,-48595000.0,-58779000.0,-53138000.0,-19340000.0
Proceeds From Stock Option Exercised,80587000.0,90705000.0,97817000.0,46620000.0
Net Issuance Payments Of Debt,0.0,0.0,0.0,0.0
Net Short Term Debt Issuance,0.0,0.0,0.0,0.0
Short Term Debt Payments,0.0,0.0,-143000000.0,0.0
Short Term Debt Issuance,0.0,0.0,143000000.0,
Net Long Term Debt Issuance,,,-143000000.0,0.0
Long Term Debt Payments,,,-143000000.0,0.0
Long Term Debt Issuance,,,143000000.0,
Investing Cash Flow,-304374000.0,-93638000.0,-143271000.0,-163841000.0
Cash Flow From Continuing Investing Activities,-304374000.0,-93638000.0,-143271000.0,-163841000.0
Net Investment Purchase And Sale,-212489000.0,-20404000.0,-63157000.0,-123237000.0
Sale Of Investment,340806000.0,257983000.0,167602000.0,89539000.0
Purchase Of Investment,-553295000.0,-278387000.0,-230759000.0,-212776000.0
Net Business Purchase And Sale,0.0,-13261000.0,,0.0
Purchase Of Business,0.0,-13261000.0,,0.0
Net PPE Purchase And Sale,-84160000.0,-54804000.0,-74061000.0,-35693000.0
Purchase Of PPE,-84160000.0,-54804000.0,-74061000.0,-35693000.0
Capital Expenditure Reported,-7725000.0,-5169000.0,-6053000.0,-4911000.0
Operating Cash Flow,548734000.0,378513000.0,405069000.0,60205000.0
Cash Flow From Continuing Operating Activities,548734000.0,378513000.0,405069000.0,60205000.0
Change In Working Capital,-94151000.0,-169678000.0,14955000.0,-162700000.0
Change In Other Current Liabilities,-48346000.0,-43990000.0,-17095000.0,-10342000.0
Change In Payables And Accrued Expense,195287000.0,317006000.0,516759000.0,198608000.0
Change In Accrued Expense,8168000.0,7596000.0,35446000.0,6845000.0
Change In Payable,187119000.0,309410000.0,481313000.0,191763000.0
Change In Account Payable,187119000.0,309410000.0,481313000.0,191763000.0
Change In Prepaid Assets,50655000.0,1648000.0,-66655000.0,-19597000.0
Change In Receivables,-291747000.0,-444342000.0,-418054000.0,-331369000.0
Changes In Account Receivables,-291747000.0,-444342000.0,-418054000.0,-331369000.0
Other Non Cash Items,44737000.0,46118000.0,35459000.0,19955000.0
Stock Based Compensation,498642000.0,337413000.0,111775000.0,80758000.0
Provisionand Write Offof Assets,3203000.0,1456000.0,3149000.0,
Asset Impairment Charge,,,3149000.0,2702000.0
Deferred Tax,-11507000.0,-16777000.0,-31218000.0,-10490000.0
Deferred Income Tax,-11507000.0,-16777000.0,-31218000.0,-10490000.0
Depreciation Amortization Depletion,54425000.0,42219000.0,28632000.0,21662000.0
Depreciation And Amortization,54425000.0,42219000.0,28632000.0,21662000.0
Net Income From Continuing Operations,53385000.0,137762000.0,242317000.0,108318000.0
