,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Free Cash Flow,5923000000.0,6294000000.0,5490000000.0,5802000000.0
Repurchase Of Capital Stock,-3615000000.0,-527000000.0,-2553000000.0,-2960000000.0
Repayment Of Debt,-500000000.0,-550000000.0,-500000000.0,-750000000.0
Issuance Of Debt,1494000000.0,1495000000.0,1498000000.0,1491000000.0
Issuance Of Capital Stock,241000000.0,377000000.0,470000000.0,539000000.0
Capital Expenditure,-2797000000.0,-2462000000.0,-649000000.0,-847000000.0
End Cash Position,3050000000.0,4631000000.0,3107000000.0,2437000000.0
Beginning Cash Position,4631000000.0,3107000000.0,2437000000.0,2438000000.0
Changes In Cash,-1581000000.0,1524000000.0,670000000.0,-1000000.0
Financing Cash Flow,-6718000000.0,-3137000000.0,-4547000000.0,-4730000000.0
Cash Flow From Continuing Financing Activities,-6718000000.0,-3137000000.0,-4547000000.0,-4730000000.0
Net Other Financing Charges,-41000000.0,-46000000.0,-36000000.0,-42000000.0
Cash Dividends Paid,-4297000000.0,-3886000000.0,-3426000000.0,-3008000000.0
Common Stock Dividend Paid,-4297000000.0,-3886000000.0,-3426000000.0,-3008000000.0
Net Common Stock Issuance,-3374000000.0,-150000000.0,-2083000000.0,-2421000000.0
Common Stock Payments,-3615000000.0,-527000000.0,-2553000000.0,-2960000000.0
Common Stock Issuance,241000000.0,377000000.0,470000000.0,539000000.0
Net Issuance Payments Of Debt,994000000.0,945000000.0,998000000.0,741000000.0
Net Short Term Debt Issuance,,,-500000000.0,-750000000.0
Short Term Debt Payments,,,-500000000.0,-750000000.0
Net Long Term Debt Issuance,994000000.0,945000000.0,1498000000.0,1491000000.0
Long Term Debt Payments,-500000000.0,-550000000.0,-500000000.0,-750000000.0
Long Term Debt Issuance,1494000000.0,1495000000.0,1498000000.0,1491000000.0
Investing Cash Flow,-3583000000.0,-4095000000.0,-922000000.0,-1920000000.0
Cash Flow From Continuing Investing Activities,-3583000000.0,-4095000000.0,-922000000.0,-1920000000.0
Net Other Investing Changes,40000000.0,13000000.0,-32000000.0,62000000.0
Net Investment Purchase And Sale,-826000000.0,-1646000000.0,-241000000.0,-1135000000.0
Sale Of Investment,13657000000.0,8478000000.0,5545000000.0,2309000000.0
Purchase Of Investment,-14483000000.0,-10124000000.0,-5786000000.0,-3444000000.0
Capital Expenditure Reported,-2797000000.0,-2462000000.0,-649000000.0,-847000000.0
Operating Cash Flow,8720000000.0,8756000000.0,6139000000.0,6649000000.0
Cash Flow From Continuing Operating Activities,8720000000.0,8756000000.0,6139000000.0,6649000000.0
Change In Working Capital,-813000000.0,-165000000.0,-428000000.0,313000000.0
Change In Other Working Capital,22000000.0,7000000.0,63000000.0,-15000000.0
Change In Payables And Accrued Expense,200000000.0,13000000.0,-118000000.0,-286000000.0
Change In Payable,200000000.0,13000000.0,-118000000.0,-286000000.0
Change In Account Payable,106000000.0,33000000.0,63000000.0,-93000000.0
Change In Tax Payable,94000000.0,-20000000.0,-181000000.0,-193000000.0
Change In Income Tax Payable,94000000.0,-20000000.0,-181000000.0,-193000000.0
Change In Prepaid Assets,6000000.0,57000000.0,-79000000.0,265000000.0
Change In Inventory,-847000000.0,45000000.0,46000000.0,216000000.0
Change In Receivables,-194000000.0,-287000000.0,-340000000.0,133000000.0
Changes In Account Receivables,-194000000.0,-287000000.0,-340000000.0,133000000.0
Other Non Cash Items,-290000000.0,10000000.0,-103000000.0,-6000000.0
Stock Based Compensation,289000000.0,230000000.0,224000000.0,217000000.0
Deferred Tax,-191000000.0,15000000.0,-137000000.0,81000000.0
Deferred Income Tax,-191000000.0,15000000.0,-137000000.0,81000000.0
Depreciation Amortization Depletion,979000000.0,954000000.0,992000000.0,1050000000.0
Depreciation And Amortization,979000000.0,954000000.0,992000000.0,1050000000.0
Amortization Cash Flow,54000000.0,199000000.0,259000000.0,342000000.0
Amortization Of Intangibles,54000000.0,199000000.0,259000000.0,342000000.0
Depreciation,925000000.0,755000000.0,733000000.0,708000000.0
Operating Gains Losses,-3000000.0,-57000000.0,-4000000.0,-23000000.0
Net Income From Continuing Operations,8749000000.0,7769000000.0,5595000000.0,5017000000.0
