,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Free Cash Flow,784300000.0,887300000.0,821400000.0,739500000.0
Repurchase Of Capital Stock,-1662500000.0,-475000000.0,-348800000.0,-300000000.0
Repayment Of Debt,-350000000.0,-450000000.0,-465000000.0,-250000000.0
Issuance Of Debt,780000000.0,560000000.0,514800000.0,699700000.0
Capital Expenditure,-274700000.0,-268400000.0,-246800000.0,-216800000.0
Interest Paid Supplemental Data,134300000.0,129000000.0,134300000.0,119900000.0
Income Tax Paid Supplemental Data,324500000.0,175000000.0,156500000.0,139800000.0
End Cash Position,292700000.0,280300000.0,218800000.0,184600000.0
Other Cash Adjustment Outside Changein Cash,,0.0,300000.0,-300000.0
Beginning Cash Position,280300000.0,218800000.0,184600000.0,139500000.0
Effect Of Exchange Rate Changes,-17800000.0,-3300000.0,6700000.0,6100000.0
Changes In Cash,30200000.0,64800000.0,27200000.0,39300000.0
Financing Cash Flow,-1330200000.0,-498900000.0,-445200000.0,10900000.0
Cash Flow From Continuing Financing Activities,-1330200000.0,-498900000.0,-445200000.0,10900000.0
Net Other Financing Charges,-35000000.0,-30000000.0,-58400000.0,-27700000.0
Proceeds From Stock Option Exercised,132500000.0,84300000.0,88000000.0,52400000.0
Cash Dividends Paid,-195200000.0,-188200000.0,-175800000.0,-163500000.0
Common Stock Dividend Paid,-195200000.0,-188200000.0,-175800000.0,-163500000.0
Net Common Stock Issuance,-1662500000.0,-475000000.0,-348800000.0,-300000000.0
Common Stock Payments,-1662500000.0,-475000000.0,-348800000.0,-300000000.0
Net Issuance Payments Of Debt,430000000.0,110000000.0,49800000.0,449700000.0
Net Short Term Debt Issuance,430000000.0,110000000.0,-445000000.0,-170000000.0
Short Term Debt Payments,-350000000.0,-450000000.0,-465000000.0,-250000000.0
Short Term Debt Issuance,780000000.0,560000000.0,20000000.0,80000000.0
Net Long Term Debt Issuance,0.0,0.0,494800000.0,619700000.0
Long Term Debt Payments,,-450000000.0,0.0,-250000000.0
Long Term Debt Issuance,0.0,0.0,494800000.0,619700000.0
Investing Cash Flow,301400000.0,-592000000.0,-595800000.0,-927900000.0
Cash Flow From Continuing Investing Activities,301400000.0,-592000000.0,-595800000.0,-927900000.0
Net Other Investing Changes,-2300000.0,200000.0,30900000.0,-7400000.0
Net Investment Purchase And Sale,,,-94800000.0,0.0
Sale Of Investment,,,0.0,0.0
Purchase Of Investment,,,-94800000.0,
Net Business Purchase And Sale,578400000.0,-323800000.0,-285100000.0,-703700000.0
Sale Of Business,1073300000.0,,,
Purchase Of Business,-494900000.0,-323800000.0,-285100000.0,-703700000.0
Capital Expenditure Reported,-274700000.0,-268400000.0,-246800000.0,-216800000.0
Operating Cash Flow,1059000000.0,1155700000.0,1068200000.0,956300000.0
Cash Flow From Continuing Operating Activities,1059000000.0,1155700000.0,1068200000.0,956300000.0
Change In Working Capital,-23500000.0,-153200000.0,-77400000.0,152600000.0
Change In Other Working Capital,90100000.0,32400000.0,21200000.0,26400000.0
Change In Other Current Liabilities,-72900000.0,-77100000.0,-100800000.0,14000000.0
Change In Other Current Assets,46600000.0,41300000.0,43100000.0,51300000.0
Change In Payables And Accrued Expense,-21200000.0,-86500000.0,23800000.0,150900000.0
Change In Payable,-21200000.0,-86500000.0,23800000.0,
Change In Account Payable,-21200000.0,-80800000.0,24300000.0,
Change In Tax Payable,,-5700000.0,-500000.0,
Change In Income Tax Payable,,-5700000.0,-500000.0,
Change In Prepaid Assets,-8400000.0,-33600000.0,-66500000.0,-19700000.0
Change In Receivables,-57700000.0,-29700000.0,1800000.0,-70300000.0
Changes In Account Receivables,-57700000.0,-29700000.0,1800000.0,-70300000.0
Other Non Cash Items,1100000.0,1400000.0,-17600000.0,10100000.0
Stock Based Compensation,56500000.0,55700000.0,47600000.0,42700000.0
Provisionand Write Offof Assets,7000000.0,17700000.0,13100000.0,7200000.0
Asset Impairment Charge,377400000.0,134000000.0,,
Deferred Tax,-261000000.0,49800000.0,31100000.0,-29300000.0
Deferred Income Tax,-261000000.0,49800000.0,31100000.0,-29300000.0
Depreciation Amortization Depletion,340000000.0,383600000.0,358100000.0,323700000.0
Depreciation And Amortization,340000000.0,383600000.0,358100000.0,323700000.0
Amortization Cash Flow,142900000.0,176700000.0,165900000.0,138000000.0
Amortization Of Intangibles,142900000.0,176700000.0,165900000.0,138000000.0
Depreciation,197100000.0,206900000.0,192200000.0,185700000.0
Operating Gains Losses,-392800000.0,400000.0,600000.0,-600000.0
Gain Loss On Investment Securities,,,,-900000.0
Gain Loss On Sale Of PPE,1100000.0,400000.0,600000.0,300000.0
Net Income From Continuing Operations,954300000.0,666300000.0,712700000.0,449900000.0
