,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Free Cash Flow,3925200000.0,2408500000.0,2993707000.0,1493879000.0
Repurchase Of Capital Stock,-172000000.0,-1561300000.0,-739407000.0,-192015000.0
Repayment Of Debt,-85500000.0,-47000000.0,-42275000.0,-39185000.0
Issuance Of Debt,0.0,22600000.0,13251000.0,10046000.0
Issuance Of Capital Stock,,,,343244000.0
Capital Expenditure,-204700000.0,-235000000.0,-259798000.0,-75451000.0
Interest Paid Supplemental Data,52300000.0,56300000.0,54520000.0,55554000.0
Income Tax Paid Supplemental Data,1057800000.0,476300000.0,191776000.0,24730000.0
End Cash Position,10512000000.0,6800100000.0,5988845000.0,3120681000.0
Beginning Cash Position,6800100000.0,5988900000.0,3120681000.0,2658253000.0
Effect Of Exchange Rate Changes,-29200000.0,-13400000.0,20552000.0,1643000.0
Changes In Cash,3741100000.0,824600000.0,2847612000.0,460785000.0
Financing Cash Flow,-67700000.0,-1478000000.0,-505281000.0,126773000.0
Cash Flow From Continuing Financing Activities,-67700000.0,-1478000000.0,-505281000.0,126773000.0
Net Other Financing Charges,3500000.0,5700000.0,-1796000.0,4683000.0
Proceeds From Stock Option Exercised,186300000.0,102000000.0,264946000.0,343244000.0
Net Common Stock Issuance,-172000000.0,-1561300000.0,-739407000.0,-192015000.0
Common Stock Payments,-172000000.0,-1561300000.0,-739407000.0,-192015000.0
Common Stock Issuance,,,,343244000.0
Net Issuance Payments Of Debt,-85500000.0,-24400000.0,-29024000.0,-29139000.0
Net Long Term Debt Issuance,-85500000.0,-24400000.0,-29024000.0,-29139000.0
Long Term Debt Payments,-85500000.0,-47000000.0,-42275000.0,-39185000.0
Long Term Debt Issuance,0.0,22600000.0,13251000.0,10046000.0
Investing Cash Flow,-321100000.0,-340900000.0,99388000.0,-1235318000.0
Cash Flow From Continuing Investing Activities,-321100000.0,-340900000.0,99388000.0,-1235318000.0
Net Investment Purchase And Sale,179500000.0,-105900000.0,359186000.0,-5655000.0
Sale Of Investment,920000000.0,499300000.0,809909000.0,570860000.0
Purchase Of Investment,-740500000.0,-605200000.0,-450723000.0,-576515000.0
Net Business Purchase And Sale,-295900000.0,0.0,,-1154212000.0
Purchase Of Business,-295900000.0,0.0,,-1154212000.0
Net Intangibles Purchase And Sale,,,,0.0
Purchase Of Intangibles,,,,0.0
Net PPE Purchase And Sale,-204700000.0,-235000000.0,-259798000.0,-75451000.0
Purchase Of PPE,-204700000.0,-235000000.0,-259798000.0,-75451000.0
Operating Cash Flow,4129900000.0,2643500000.0,3253505000.0,1569330000.0
Cash Flow From Continuing Operating Activities,4129900000.0,2643500000.0,3253505000.0,1569330000.0
Change In Working Capital,340800000.0,-105200000.0,-54454000.0,-66101000.0
Change In Other Current Liabilities,498900000.0,16800000.0,425092000.0,37997000.0
Change In Payables And Accrued Expense,663300000.0,337300000.0,173474000.0,150096000.0
Change In Accrued Expense,542500000.0,305400000.0,122198000.0,172881000.0
Change In Payable,120800000.0,31900000.0,51276000.0,-22785000.0
Change In Account Payable,120800000.0,31900000.0,51276000.0,-22785000.0
Change In Prepaid Assets,-326400000.0,-91800000.0,-297562000.0,35440000.0
Change In Inventory,-136400000.0,-92800000.0,-132014000.0,-64047000.0
Change In Receivables,-358600000.0,-274700000.0,-223444000.0,-225587000.0
Changes In Account Receivables,-358600000.0,-274700000.0,-223444000.0,-225587000.0
Other Non Cash Items,-45700000.0,11300000.0,91932000.0,21401000.0
Stock Based Compensation,491300000.0,441400000.0,429461000.0,360489000.0
Asset Impairment Charge,,,,0.0
Deferred Tax,-275900000.0,-154600000.0,277341000.0,167387000.0
Deferred Income Tax,-275900000.0,-154600000.0,277341000.0,167387000.0
Depreciation Amortization Depletion,148300000.0,125600000.0,109515000.0,106941000.0
Depreciation And Amortization,148300000.0,125600000.0,109515000.0,106941000.0
Depreciation,148300000.0,125600000.0,109515000.0,106941000.0
Operating Gains Losses,149100000.0,-17100000.0,-311937000.0,-197597000.0
Gain Loss On Investment Securities,149100000.0,-17100000.0,-311937000.0,-197597000.0
Gain Loss On Sale Of Business,,,,0.0
Net Income From Continuing Operations,3322000000.0,2342100000.0,2711647000.0,1176810000.0
