,2023-08-31,2022-08-31,2021-08-31,2020-08-31
Free Cash Flow,141000000.0,2165000000.0,4176000000.0,4110000000.0
Repurchase Of Capital Stock,-150000000.0,-187000000.0,-110000000.0,-1589000000.0
Repayment Of Debt,-8978000000.0,-8360000000.0,-15257000000.0,-21414000000.0
Issuance Of Debt,6276000000.0,11958000000.0,12726000000.0,20367000000.0
Capital Expenditure,-2117000000.0,-1734000000.0,-1379000000.0,-1374000000.0
End Cash Position,856000000.0,2558000000.0,1270000000.0,746000000.0
Beginning Cash Position,2558000000.0,1270000000.0,746000000.0,1207000000.0
Effect Of Exchange Rate Changes,20000000.0,-47000000.0,-66000000.0,-1000000.0
Changes In Cash,-1722000000.0,1335000000.0,590000000.0,-460000000.0
Financing Cash Flow,-887000000.0,-1499000000.0,-9036000000.0,-4647000000.0
Cash Flow From Continuing Financing Activities,-886000000.0,-1499000000.0,-9036000000.0,-4646000000.0
Net Other Financing Charges,3580000000.0,-3267000000.0,-3928000000.0,-158000000.0
Proceeds From Stock Option Exercised,45000000.0,27000000.0,59000000.0,55000000.0
Cash Dividends Paid,-1659000000.0,-1659000000.0,-1617000000.0,-1747000000.0
Common Stock Dividend Paid,,-1659000000.0,,-1747000000.0
Net Common Stock Issuance,-150000000.0,-187000000.0,-110000000.0,-1589000000.0
Common Stock Payments,-150000000.0,-187000000.0,-110000000.0,-1589000000.0
Net Issuance Payments Of Debt,-2703000000.0,3587000000.0,-3440000000.0,-1208000000.0
Net Short Term Debt Issuance,-1000000.0,-11000000.0,-909000000.0,-161000000.0
Net Long Term Debt Issuance,-2702000000.0,3598000000.0,-2531000000.0,-1047000000.0
Long Term Debt Payments,-8978000000.0,-8360000000.0,-15257000000.0,-21414000000.0
Long Term Debt Issuance,6276000000.0,11958000000.0,12726000000.0,20367000000.0
Investing Cash Flow,-3094000000.0,-1064000000.0,4072000000.0,-1297000000.0
Cash Flow From Continuing Investing Activities,-3093000000.0,-1065000000.0,4072000000.0,-1297000000.0
Net Other Investing Changes,4569000000.0,1551000000.0,499000000.0,71000000.0
Net Business Purchase And Sale,-7313000000.0,-2189000000.0,4096000000.0,-718000000.0
Sale Of Business,0.0,0.0,5527000000.0,
Purchase Of Business,-7313000000.0,-2189000000.0,-1431000000.0,-718000000.0
Net PPE Purchase And Sale,-350000000.0,-426000000.0,-523000000.0,-650000000.0
Sale Of PPE,1767000000.0,1308000000.0,856000000.0,724000000.0
Purchase Of PPE,-2117000000.0,-1734000000.0,-1379000000.0,-1374000000.0
Operating Cash Flow,2258000000.0,3899000000.0,5555000000.0,5484000000.0
Cash Flow From Continuing Operating Activities,2257000000.0,3899000000.0,5555000000.0,5484000000.0
Change In Working Capital,7444000000.0,495000000.0,428000000.0,941000000.0
Change In Other Working Capital,213000000.0,86000000.0,-128000000.0,-237000000.0
Change In Other Current Assets,-188000000.0,-72000000.0,-46000000.0,-31000000.0
Change In Payables And Accrued Expense,7060000000.0,106000000.0,1888000000.0,983000000.0
Change In Accrued Expense,5817000000.0,-138000000.0,1046000000.0,1008000000.0
Change In Payable,1243000000.0,244000000.0,842000000.0,-25000000.0
Change In Account Payable,1243000000.0,244000000.0,842000000.0,-25000000.0
Change In Tax Payable,,,160000000.0,-221000000.0
Change In Income Tax Payable,,,160000000.0,-221000000.0
Change In Inventory,287000000.0,-433000000.0,165000000.0,63000000.0
Change In Receivables,72000000.0,808000000.0,-1451000000.0,163000000.0
Changes In Account Receivables,72000000.0,808000000.0,-1451000000.0,163000000.0
Other Non Cash Items,-156000000.0,-2722000000.0,-64000000.0,464000000.0
Stock Based Compensation,385000000.0,391000000.0,155000000.0,137000000.0
Asset Impairment Charge,1293000000.0,834000000.0,49000000.0,2016000000.0
Deferred Tax,-2371000000.0,-366000000.0,233000000.0,-43000000.0
Deferred Income Tax,-2371000000.0,-366000000.0,233000000.0,-43000000.0
Depreciation Amortization Depletion,2257000000.0,1990000000.0,1973000000.0,1927000000.0
Depreciation And Amortization,2257000000.0,1990000000.0,1973000000.0,1927000000.0
Operating Gains Losses,-3066000000.0,-788000000.0,269000000.0,-382000000.0
Earnings Losses From Equity Investments,-286000000.0,-235000000.0,498000000.0,-382000000.0
Gain Loss On Investment Securities,-925000000.0,,,
Gain Loss On Sale Of Business,-1855000000.0,-559000000.0,-643000000.0,
Net Income From Continuing Operations,-3528000000.0,4065000000.0,2512000000.0,424000000.0
