,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Free Cash Flow,3317000000.0,2425000000.0,2337000000.0,3110000000.0
Repurchase Of Capital Stock,0.0,0.0,-969000000.0,-633000000.0
Repayment Of Debt,-9710000000.0,-574000000.0,-2693000000.0,-2939000000.0
Issuance Of Debt,2393000000.0,0.0,2479000000.0,1479000000.0
Capital Expenditure,-987000000.0,-373000000.0,-402000000.0,-289000000.0
End Cash Position,3930000000.0,3905000000.0,2122000000.0,1552000000.0
Beginning Cash Position,3905000000.0,2122000000.0,1552000000.0,986000000.0
Effect Of Exchange Rate Changes,-61000000.0,-106000000.0,83000000.0,-38000000.0
Changes In Cash,86000000.0,1889000000.0,487000000.0,604000000.0
Financing Cash Flow,-7742000000.0,-853000000.0,-1549000000.0,-2357000000.0
Cash Flow From Continuing Financing Activities,-7742000000.0,-853000000.0,-1549000000.0,-2357000000.0
Net Other Financing Charges,-425000000.0,-279000000.0,-366000000.0,-262000000.0
Proceeds From Stock Option Exercised,,,,-2000000.0
Net Common Stock Issuance,0.0,0.0,-969000000.0,-633000000.0
Common Stock Payments,0.0,0.0,-969000000.0,-633000000.0
Net Issuance Payments Of Debt,-7317000000.0,-574000000.0,-214000000.0,-1460000000.0
Net Short Term Debt Issuance,-2000000.0,0.0,0.0,-225000000.0
Short Term Debt Payments,-2395000000.0,0.0,-500000000.0,-225000000.0
Short Term Debt Issuance,2393000000.0,0.0,500000000.0,0.0
Net Long Term Debt Issuance,-7315000000.0,-574000000.0,-214000000.0,-1235000000.0
Long Term Debt Payments,-7315000000.0,-574000000.0,-2193000000.0,-2714000000.0
Long Term Debt Issuance,0.0,0.0,1979000000.0,1479000000.0
Investing Cash Flow,3524000000.0,-56000000.0,-703000000.0,-438000000.0
Cash Flow From Continuing Investing Activities,3524000000.0,-56000000.0,-703000000.0,-438000000.0
Net Other Investing Changes,9000000.0,93000000.0,100000000.0,-1000000.0
Dividends Received Cfi,,,,0.0
Net Investment Purchase And Sale,1058000000.0,226000000.0,-250000000.0,54000000.0
Sale Of Investment,1058000000.0,599000000.0,,
Purchase Of Investment,0.0,-373000000.0,-250000000.0,
Net Business Purchase And Sale,3444000000.0,-2000000.0,-151000000.0,-202000000.0
Sale Of Business,3612000000.0,,69000000.0,125000000.0
Purchase Of Business,-168000000.0,-2000000.0,-220000000.0,-327000000.0
Net PPE Purchase And Sale,-987000000.0,-373000000.0,-402000000.0,-289000000.0
Purchase Of PPE,-987000000.0,-373000000.0,-402000000.0,-289000000.0
Operating Cash Flow,4304000000.0,2798000000.0,2739000000.0,3399000000.0
Cash Flow From Continuing Operating Activities,4304000000.0,2798000000.0,2739000000.0,3399000000.0
Change In Working Capital,-10982000000.0,-3237000000.0,-3099000000.0,-2973000000.0
Change In Other Working Capital,1399000000.0,-3469000000.0,-3073000000.0,-3092000000.0
Change In Other Current Assets,,,-20000000.0,
Change In Payables And Accrued Expense,-12562000000.0,185000000.0,-131000000.0,122000000.0
Change In Payable,-12562000000.0,185000000.0,-131000000.0,122000000.0
Change In Account Payable,,185000000.0,-131000000.0,122000000.0
Change In Receivables,181000000.0,47000000.0,105000000.0,-3000000.0
Changes In Account Receivables,,,,-7000000.0
Other Non Cash Items,4032000000.0,105000000.0,14000000.0,42000000.0
Stock Based Compensation,412000000.0,178000000.0,110000000.0,142000000.0
Asset Impairment Charge,,0.0,124000000.0,155000000.0
Deferred Tax,-2842000000.0,-511000000.0,-186000000.0,-504000000.0
Deferred Income Tax,-2842000000.0,-511000000.0,-186000000.0,-504000000.0
Depreciation Amortization Depletion,21354000000.0,5083000000.0,4315000000.0,4200000000.0
Depreciation And Amortization,21354000000.0,5083000000.0,4315000000.0,4200000000.0
Amortization Cash Flow,14161000000.0,3501000000.0,2956000000.0,2853000000.0
Amortization Of Intangibles,14161000000.0,3501000000.0,2956000000.0,2853000000.0
Depreciation,7193000000.0,1582000000.0,1359000000.0,1347000000.0
Operating Gains Losses,-373000000.0,-17000000.0,106000000.0,124000000.0
Earnings Losses From Equity Investments,211000000.0,63000000.0,167000000.0,48000000.0
Gain Loss On Investment Securities,-700000000.0,-19000000.0,-139000000.0,48000000.0
Gain Loss On Sale Of PPE,116000000.0,,,
Gain Loss On Sale Of Business,,,2000000.0,0.0
Net Income From Continuing Operations,-7297000000.0,1197000000.0,1355000000.0,2213000000.0
