,2023-01-31,2022-01-31,2021-01-31,2020-01-31
Free Cash Flow,1296943000.0,1378430000.0,1012111000.0,620054000.0
Repurchase Of Capital Stock,-74666000.0,,,
Repayment Of Debt,-1843605000.0,-37614000.0,-268762000.0,-30000.0
Issuance Of Debt,2978077000.0,0.0,747795000.0,0.0
Capital Expenditure,-360252000.0,-272274000.0,-256330000.0,-244544000.0
Interest Paid Supplemental Data,59510000.0,13310000.0,14373000.0,3306000.0
Income Tax Paid Supplemental Data,88569000.0,12563000.0,9939000.0,9010000.0
End Cash Position,1895240000.0,1540745000.0,1387921000.0,734721000.0
Beginning Cash Position,1540745000.0,1387921000.0,734721000.0,642203000.0
Effect Of Exchange Rate Changes,-595000.0,-705000.0,1334000.0,-282000.0
Changes In Cash,355090000.0,153529000.0,651866000.0,92800000.0
Financing Cash Flow,1203821000.0,110251000.0,625049000.0,125124000.0
Cash Flow From Continuing Financing Activities,1203821000.0,110251000.0,625049000.0,125124000.0
Net Other Financing Charges,-7959000.0,-463000.0,-2657000.0,-519000.0
Proceeds From Stock Option Exercised,151974000.0,148328000.0,148673000.0,125673000.0
Net Common Stock Issuance,-74666000.0,,,
Common Stock Payments,-74666000.0,,,
Net Issuance Payments Of Debt,1134472000.0,-37614000.0,479033000.0,-30000.0
Net Long Term Debt Issuance,1134472000.0,-37614000.0,479033000.0,-30000.0
Long Term Debt Payments,-1843605000.0,-37614000.0,-268762000.0,-30000.0
Long Term Debt Issuance,2978077000.0,0.0,747795000.0,0.0
Investing Cash Flow,-2505926000.0,-1607426000.0,-1241624000.0,-896922000.0
Cash Flow From Continuing Investing Activities,-2505926000.0,-1607426000.0,-1241624000.0,-896922000.0
Net Other Investing Changes,,,,-9000.0
Net Investment Purchase And Sale,-2141438000.0,26548000.0,-979178000.0,-79458000.0
Sale Of Investment,5064696000.0,3008288000.0,1820189000.0,1743403000.0
Purchase Of Investment,-7206134000.0,-2981740000.0,-2799367000.0,-1822861000.0
Net Investment Properties Purchase And Sale,-4236000.0,-171501000.0,-6116000.0,-99308000.0
Purchase Of Investment Properties,-4236000.0,-171501000.0,-6116000.0,-99308000.0
Net Business Purchase And Sale,0.0,-1190199000.0,0.0,-473603000.0
Purchase Of Business,0.0,-1190199000.0,0.0,-473603000.0
Net Intangibles Purchase And Sale,-700000.0,-8007000.0,-2950000.0,-850000.0
Purchase Of Intangibles,-700000.0,-8007000.0,-2950000.0,-850000.0
Capital Expenditure Reported,-359552000.0,-264267000.0,-253380000.0,-243694000.0
Operating Cash Flow,1657195000.0,1650704000.0,1268441000.0,864598000.0
Cash Flow From Continuing Operating Activities,1657195000.0,1650704000.0,1268441000.0,864598000.0
Change In Working Capital,48224000.0,108062000.0,13956000.0,32486000.0
Change In Other Working Capital,159156000.0,291063000.0,143027000.0,205850000.0
Change In Payables And Accrued Expense,221738000.0,60085000.0,-21948000.0,20513000.0
Change In Accrued Expense,135965000.0,50671000.0,-18472000.0,220000.0
Change In Payable,85773000.0,9414000.0,-3476000.0,20293000.0
Change In Account Payable,85773000.0,9414000.0,-3476000.0,20293000.0
Change In Prepaid Assets,-14070000.0,-35153000.0,52117000.0,-17736000.0
Change In Receivables,-318600000.0,-207933000.0,-159240000.0,-176141000.0
Other Non Cash Items,285961000.0,214807000.0,238405000.0,176937000.0
Stock Based Compensation,1294622000.0,1100584000.0,1004854000.0,859571000.0
Depreciation Amortization Depletion,364357000.0,343723000.0,293657000.0,276278000.0
Depreciation And Amortization,364357000.0,343723000.0,293657000.0,276278000.0
Operating Gains Losses,30780000.0,-145845000.0,,
Gain Loss On Investment Securities,30780000.0,-145845000.0,,
Net Income From Continuing Operations,-366749000.0,29373000.0,-282431000.0,-480674000.0
