,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Free Cash Flow,-706000000.0,-2055000000.0,-2521000000.0,-962000000.0
Repayment Of Debt,-601000000.0,-417000000.0,-1001000000.0,-949000000.0
Issuance Of Debt,2164000000.0,2710000000.0,2940000000.0,2920000000.0
Issuance Of Capital Stock,322000000.0,366000000.0,727000000.0,458000000.0
Capital Expenditure,-4638000000.0,-4244000000.0,-5369000000.0,-4225000000.0
Interest Paid Supplemental Data,887000000.0,788000000.0,758000000.0,698000000.0
Income Tax Paid Supplemental Data,15000000.0,4000000.0,-12000000.0,
End Cash Position,111000000.0,166000000.0,129000000.0,248000000.0
Beginning Cash Position,166000000.0,129000000.0,248000000.0,147000000.0
Changes In Cash,-55000000.0,37000000.0,-119000000.0,101000000.0
Financing Cash Flow,666000000.0,2135000000.0,1773000000.0,1181000000.0
Cash Flow From Continuing Financing Activities,666000000.0,2135000000.0,1773000000.0,1181000000.0
Net Other Financing Charges,-15000000.0,-10000000.0,-26000000.0,-14000000.0
Cash Dividends Paid,-1012000000.0,-935000000.0,-856000000.0,-791000000.0
Common Stock Dividend Paid,-1012000000.0,-935000000.0,-856000000.0,-791000000.0
Net Common Stock Issuance,322000000.0,366000000.0,727000000.0,458000000.0
Common Stock Issuance,322000000.0,366000000.0,727000000.0,458000000.0
Net Issuance Payments Of Debt,1371000000.0,2714000000.0,1928000000.0,1528000000.0
Net Short Term Debt Issuance,-192000000.0,421000000.0,-11000000.0,-443000000.0
Net Long Term Debt Issuance,1563000000.0,2293000000.0,1939000000.0,1971000000.0
Long Term Debt Payments,-601000000.0,-417000000.0,-1001000000.0,-949000000.0
Long Term Debt Issuance,2164000000.0,2710000000.0,2940000000.0,2920000000.0
Investing Cash Flow,-4653000000.0,-4287000000.0,-4740000000.0,-4343000000.0
Cash Flow From Continuing Investing Activities,-4653000000.0,-4287000000.0,-4740000000.0,-4343000000.0
Net Other Investing Changes,20000000.0,-29000000.0,-35000000.0,-98000000.0
Net Investment Purchase And Sale,-35000000.0,-14000000.0,-20000000.0,-20000000.0
Sale Of Investment,1297000000.0,743000000.0,1378000000.0,975000000.0
Purchase Of Investment,-1332000000.0,-757000000.0,-1398000000.0,-995000000.0
Net Business Purchase And Sale,0.0,0.0,684000000.0,
Sale Of Business,0.0,0.0,684000000.0,
Capital Expenditure Reported,-4638000000.0,-4244000000.0,-5369000000.0,-4225000000.0
Operating Cash Flow,3932000000.0,2189000000.0,2848000000.0,3263000000.0
Cash Flow From Continuing Operating Activities,3932000000.0,2189000000.0,2848000000.0,3263000000.0
Dividend Received Cfo,37000000.0,42000000.0,42000000.0,40000000.0
Change In Working Capital,-115000000.0,-1444000000.0,-555000000.0,-265000000.0
Change In Other Working Capital,521000000.0,-1108000000.0,-269000000.0,-201000000.0
Change In Other Current Liabilities,102000000.0,-1000000.0,29000000.0,-15000000.0
Change In Other Current Assets,-58000000.0,-34000000.0,-45000000.0,25000000.0
Change In Payables And Accrued Expense,195000000.0,138000000.0,-33000000.0,-12000000.0
Change In Payable,195000000.0,138000000.0,-33000000.0,-12000000.0
Change In Account Payable,195000000.0,138000000.0,-33000000.0,-12000000.0
Change In Inventory,-203000000.0,-126000000.0,-80000000.0,-84000000.0
Change In Receivables,-672000000.0,-313000000.0,-157000000.0,22000000.0
Changes In Account Receivables,-429000000.0,-164000000.0,-154000000.0,-20000000.0
Other Non Cash Items,-197000000.0,-156000000.0,-252000000.0,-37000000.0
Stock Based Compensation,20000000.0,31000000.0,73000000.0,58000000.0
Provisionand Write Offof Assets,73000000.0,60000000.0,60000000.0,42000000.0
Deferred Tax,-140000000.0,-79000000.0,-8000000.0,143000000.0
Deferred Income Tax,-140000000.0,-79000000.0,-8000000.0,143000000.0
Depreciation Amortization Depletion,2554000000.0,2257000000.0,2082000000.0,1904000000.0
Depreciation And Amortization,2554000000.0,2257000000.0,2082000000.0,1904000000.0
Depreciation,2554000000.0,2257000000.0,2082000000.0,1904000000.0
Operating Gains Losses,-36000000.0,-119000000.0,-67000000.0,6000000.0
Earnings Losses From Equity Investments,-36000000.0,-62000000.0,-40000000.0,-39000000.0
Gain Loss On Investment Securities,,-57000000.0,-27000000.0,45000000.0
Net Income From Continuing Operations,1736000000.0,1597000000.0,1473000000.0,1372000000.0
