,2023-01-31,2022-01-31,2021-01-31,2020-01-31
Free Cash Flow,1175168000.0,1459658000.0,1385362000.0,113667000.0
Repurchase Of Capital Stock,-1000003000.0,,,0.0
Repayment Of Debt,,,0.0,0.0
Issuance Of Debt,,,0.0,0.0
Issuance Of Capital Stock,0.0,0.0,1979206000.0,542492000.0
Capital Expenditure,-115094000.0,-145608000.0,-85815000.0,-38225000.0
Income Tax Paid Supplemental Data,309084000.0,38979000.0,3181000.0,1070000.0
End Cash Position,1100243000.0,1073353000.0,2293116000.0,334082000.0
Beginning Cash Position,1073353000.0,2293116000.0,334082000.0,65968000.0
Effect Of Exchange Rate Changes,-8108000.0,,,
Changes In Cash,34998000.0,-1219763000.0,1959034000.0,268114000.0
Financing Cash Flow,-936942000.0,34068000.0,2050277000.0,615690000.0
Cash Flow From Continuing Financing Activities,-936942000.0,34068000.0,2050277000.0,615690000.0
Net Other Financing Charges,774000.0,-39667000.0,4088000.0,
Proceeds From Stock Option Exercised,62287000.0,73735000.0,66983000.0,73198000.0
Net Preferred Stock Issuance,,,,0.0
Preferred Stock Payments,,,,0.0
Net Common Stock Issuance,-1000003000.0,0.0,1979206000.0,542492000.0
Common Stock Payments,-1000003000.0,,,
Common Stock Issuance,0.0,0.0,1979206000.0,542492000.0
Net Issuance Payments Of Debt,,,0.0,0.0
Net Long Term Debt Issuance,,,0.0,0.0
Long Term Debt Payments,,,0.0,0.0
Long Term Debt Issuance,,,0.0,0.0
Investing Cash Flow,-318322000.0,-2859097000.0,-1562420000.0,-499468000.0
Cash Flow From Continuing Investing Activities,-318322000.0,-2859097000.0,-1562420000.0,-499468000.0
Net Other Investing Changes,300000.0,,-3341000.0,-1569000.0
Net Investment Purchase And Sale,-82975000.0,-2709988000.0,-1438778000.0,-456674000.0
Sale Of Investment,2835196000.0,2029910000.0,617692000.0,343554000.0
Purchase Of Investment,-2918171000.0,-4739898000.0,-2056470000.0,-800228000.0
Net Business Purchase And Sale,-120553000.0,-3501000.0,-34486000.0,-3000000.0
Purchase Of Business,-120553000.0,-3501000.0,-34486000.0,-3000000.0
Net Intangibles Purchase And Sale,-11268000.0,-13018000.0,-5843000.0,-141000.0
Purchase Of Intangibles,-11268000.0,-13018000.0,-5843000.0,-141000.0
Net PPE Purchase And Sale,-103826000.0,-132590000.0,-79972000.0,-38084000.0
Purchase Of PPE,-103826000.0,-132590000.0,-79972000.0,-38084000.0
Operating Cash Flow,1290262000.0,1605266000.0,1471177000.0,151892000.0
Cash Flow From Continuing Operating Activities,1290262000.0,1605266000.0,1471177000.0,151892000.0
Change In Working Capital,-412837000.0,-186454000.0,319852000.0,-12259000.0
Change In Other Working Capital,-171228000.0,46516000.0,358656000.0,33572000.0
Change In Other Current Liabilities,-23839000.0,-17004000.0,-6379000.0,-5460000.0
Change In Payables And Accrued Expense,32141000.0,99151000.0,255135000.0,49149000.0
Change In Accrued Expense,20530000.0,101369000.0,251654000.0,51179000.0
Change In Payable,11611000.0,-2218000.0,3481000.0,-2030000.0
Change In Account Payable,11611000.0,-2218000.0,3481000.0,-2030000.0
Change In Prepaid Assets,-18066000.0,-155934000.0,-68521000.0,-24805000.0
Change In Receivables,-231845000.0,-159183000.0,-219039000.0,-64715000.0
Changes In Account Receivables,-231845000.0,-159183000.0,-219039000.0,-64715000.0
Other Non Cash Items,303214000.0,200261000.0,142327000.0,42918000.0
Stock Based Compensation,1285752000.0,477287000.0,275818000.0,73109000.0
Provisionand Write Offof Assets,50285000.0,36747000.0,32007000.0,6370000.0
Amortization Of Securities,1206000.0,25316000.0,,
Deferred Tax,-160961000.0,-327957000.0,,
Deferred Income Tax,-160961000.0,-327957000.0,,
Depreciation Amortization Depletion,82321000.0,48188000.0,28857000.0,16449000.0
Depreciation And Amortization,82321000.0,48188000.0,28857000.0,16449000.0
Depreciation,,,28857000.0,16449000.0
Operating Gains Losses,37571000.0,-43761000.0,,
Gain Loss On Investment Securities,37571000.0,-43761000.0,,
Net Income From Continuing Operations,103711000.0,1375639000.0,672316000.0,25305000.0
