,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Tax Effect Of Unusual Items,-4295625.942685,-30469230.0,-3142936.922702,0.0
Tax Rate For Calcs,0.048265,0.27,0.020765,0.27
Normalized EBITDA,2183000000.0,388560000.0,-4233019000.0,-287573000.0
Total Unusual Items,-89000000.0,-112849000.0,-151355000.0,0.0
Total Unusual Items Excluding Goodwill,-89000000.0,-112849000.0,-151355000.0,0.0
Net Income From Continuing Operation Net Minority Interest,1893000000.0,-352034000.0,-4584716000.0,-674339000.0
Reconciled Depreciation,81000000.0,138319000.0,125876000.0,114162000.0
Reconciled Cost Of Revenue,1499000000.0,1155833000.0,876042000.0,1196313000.0
EBITDA,2094000000.0,275711000.0,-4384374000.0,-287573000.0
EBIT,2013000000.0,137392000.0,-4510250000.0,-401735000.0
Net Interest Income,162000000.0,-424865000.0,-144571000.0,75934000.0
Interest Expense,24000000.0,437599000.0,171688000.0,9968000.0
Interest Income,186000000.0,12734000.0,27117000.0,85902000.0
Normalized Income,1977704374.057315,-269654230.0,-4436503936.922702,-674339000.0
Net Income From Continuing And Discontinued Operation,1893000000.0,-352034000.0,-4584716000.0,-674339000.0
Total Expenses,6508000000.0,5449594000.0,6816991000.0,5306782000.0
Total Operating Income As Reported,1802000000.0,429317000.0,-3590147000.0,-501543000.0
Diluted Average Shares,680000000.0,616000000.0,284363000.0,530945000.0
Basic Average Shares,637000000.0,616000000.0,284363000.0,530945000.0
Diluted EPS,2.79,-0.57,-16.12,-1.270073
Basic EPS,2.97,-0.57,-16.12,-1.270073
Diluted NI Availto Com Stockholders,1893000000.0,-352034000.0,-4584716000.0,-674339000.0
Net Income Common Stockholders,1893000000.0,-352034000.0,-4584716000.0,-674339000.0
Net Income,1893000000.0,-352034000.0,-4584716000.0,-674339000.0
Net Income Including Noncontrolling Interests,1893000000.0,-352034000.0,-4584716000.0,-674339000.0
Net Income Continuous Operations,1893000000.0,-352034000.0,-4584716000.0,-674339000.0
Tax Provision,96000000.0,51827000.0,-97222000.0,262636000.0
Pretax Income,1989000000.0,-300207000.0,-4681938000.0,-411703000.0
Other Income Expense,-64000000.0,-417508000.0,-1098575000.0,13906000.0
Other Non Operating Income Expenses,25000000.0,-304659000.0,-947220000.0,13906000.0
Special Income Charges,-89000000.0,-112849000.0,-151355000.0,0.0
Restructuring And Mergern Acquisition,89000000.0,112849000.0,151355000.0,0.0
Net Non Operating Interest Income Expense,162000000.0,-424865000.0,-144571000.0,75934000.0
Interest Expense Non Operating,24000000.0,437599000.0,171688000.0,9968000.0
Interest Income Non Operating,186000000.0,12734000.0,27117000.0,85902000.0
Operating Income,1891000000.0,542166000.0,-3438792000.0,-501543000.0
Operating Expense,5009000000.0,4293761000.0,5940949000.0,4110469000.0
Other Operating Expenses,1041000000.0,847057000.0,877901000.0,815074000.0
Research And Development,1502000000.0,1425048000.0,2752872000.0,976695000.0
Selling General And Administration,2466000000.0,2021656000.0,2310176000.0,2318700000.0
Selling And Marketing Expense,1516000000.0,1186332000.0,1175325000.0,1621519000.0
General And Administrative Expense,950000000.0,835324000.0,1134851000.0,697181000.0
Other Gand A,950000000.0,835324000.0,1134851000.0,697181000.0
Gross Profit,6900000000.0,4835927000.0,2502157000.0,3608926000.0
Cost Of Revenue,1499000000.0,1155833000.0,876042000.0,1196313000.0
Total Revenue,8399000000.0,5991760000.0,3378199000.0,4805239000.0
Operating Revenue,8399000000.0,5991760000.0,3378199000.0,4805239000.0
