,2023-10-31,2022-10-31,2021-10-31,2020-10-31
Tax Effect Of Unusual Items,-13017510.0,-31019517.0,-80893620.0,-3611253.0
Tax Rate For Calcs,0.081,0.113,0.27,0.069
Normalized EBITDA,6326457000.0,5871165000.0,2887779000.0,2368182000.0
Total Unusual Items,-160710000.0,-274509000.0,-299606000.0,-52337000.0
Total Unusual Items Excluding Goodwill,-160710000.0,-274509000.0,-299606000.0,-52337000.0
Net Income From Continuing Operation Net Minority Interest,3314579000.0,2748561000.0,1390422000.0,1220761000.0
Reconciled Depreciation,2293103000.0,2297499000.0,1074634000.0,810923000.0
Reconciled Cost Of Revenue,3094836000.0,3196552000.0,2255451000.0,1531110000.0
EBITDA,6165747000.0,5596656000.0,2588173000.0,2315845000.0
EBIT,3872644000.0,3299157000.0,1513539000.0,1504922000.0
Net Interest Income,-223354000.0,-193502000.0,-183605000.0,-189000000.0
Interest Expense,264641000.0,200408000.0,184825000.0,193305000.0
Interest Income,41287000.0,6906000.0,1220000.0,4305000.0
Normalized Income,3462271490.0,2992050483.0,1609134380.0,1269486747.0
Net Income From Continuing And Discontinued Operation,3314579000.0,2748561000.0,1390422000.0,1220761000.0
Total Expenses,8321717000.0,8460744000.0,5541629000.0,4052475000.0
Total Operating Income As Reported,3823112000.0,3278700000.0,1692201000.0,1498244000.0
Diluted Average Shares,505959000.0,523178000.0,401288000.0,371973000.0
Basic Average Shares,502232000.0,519226000.0,397462000.0,368633000.0
Diluted EPS,6.55,5.25,3.46,3.28
Basic EPS,6.6,5.29,3.5,3.31
Diluted NI Availto Com Stockholders,3314579000.0,2748561000.0,1390422000.0,1220761000.0
Net Income Common Stockholders,3314579000.0,2748561000.0,1390422000.0,1220761000.0
Otherunder Preferred Stock Dividend,,,0.0,0.0
Net Income,3314579000.0,2748561000.0,1390422000.0,1220761000.0
Net Income Including Noncontrolling Interests,3314579000.0,2748561000.0,1390422000.0,1220761000.0
Net Income Continuous Operations,3314579000.0,2748561000.0,1390422000.0,1220761000.0
Tax Provision,293424000.0,350188000.0,-61708000.0,90856000.0
Pretax Income,3608003000.0,3098749000.0,1328714000.0,1311617000.0
Other Income Expense,-152465000.0,-260958000.0,-264338000.0,-49964000.0
Other Non Operating Income Expenses,8245000.0,13551000.0,35268000.0,2373000.0
Special Income Charges,-160710000.0,-274509000.0,-299606000.0,-52337000.0
Other Special Charges,,,215150000.0,
Restructuring And Mergern Acquisition,160710000.0,274509000.0,84456000.0,52337000.0
Net Non Operating Interest Income Expense,-223354000.0,-193502000.0,-183605000.0,-189000000.0
Interest Expense Non Operating,264641000.0,200408000.0,184825000.0,193305000.0
Interest Income Non Operating,41287000.0,6906000.0,1220000.0,4305000.0
Operating Income,3983822000.0,3553209000.0,1776657000.0,1550581000.0
Operating Expense,3893396000.0,3979265000.0,2748355000.0,2139897000.0
Depreciation Amortization Depletion Income Statement,959618000.0,1012572000.0,536811000.0,429455000.0
Depreciation And Amortization In Income Statement,959618000.0,1012572000.0,536811000.0,429455000.0
Amortization,959618000.0,1012572000.0,536811000.0,429455000.0
Amortization Of Intangibles Income Statement,959618000.0,1012572000.0,536811000.0,429455000.0
Research And Development,1660194000.0,1700518000.0,1296126000.0,1050519000.0
Selling General And Administration,1273584000.0,1266175000.0,915418000.0,659923000.0
Gross Profit,7877218000.0,7532474000.0,4525012000.0,3690478000.0
Cost Of Revenue,4428321000.0,4481479000.0,2793274000.0,1912578000.0
Total Revenue,12305539000.0,12013953000.0,7318286000.0,5603056000.0
Operating Revenue,12305539000.0,12013953000.0,7318286000.0,5603056000.0
