,2023-06-30,2022-06-30,2021-06-30,2020-06-30
Tax Effect Of Unusual Items,-3880800.0,-4477500.0,272400.0,-2475000.0
Tax Rate For Calcs,0.231,0.225,0.227,0.225
Normalized EBITDA,5257000000.0,4421000000.0,3930400000.0,3780700000.0
Total Unusual Items,-16800000.0,-19900000.0,1200000.0,-11000000.0
Total Unusual Items Excluding Goodwill,-16800000.0,-19900000.0,1200000.0,-11000000.0
Net Income From Continuing Operation Net Minority Interest,3412000000.0,2948900000.0,2598500000.0,2466500000.0
Reconciled Depreciation,549300000.0,515100000.0,510700000.0,480000000.0
Reconciled Cost Of Revenue,9953400000.0,9461900000.0,8640300000.0,8445100000.0
EBITDA,5240200000.0,4401100000.0,3931600000.0,3769700000.0
EBIT,4690900000.0,3886000000.0,3420900000.0,3289700000.0
Net Interest Income,709600000.0,410900000.0,399200000.0,522600000.0
Interest Expense,253300000.0,81900000.0,59700000.0,107100000.0
Interest Income,962900000.0,492800000.0,458900000.0,629700000.0
Normalized Income,3424919200.0,2964322500.0,2597572400.0,2475025000.0
Net Income From Continuing And Discontinued Operation,3412000000.0,2948900000.0,2598500000.0,2466500000.0
Total Expenses,13504800000.0,12695100000.0,11680800000.0,11448100000.0
Diluted Average Shares,415700000.0,421100000.0,428100000.0,432700000.0
Basic Average Shares,413700000.0,418800000.0,426300000.0,430800000.0
Diluted EPS,8.21,7.0,6.07,5.7
Basic EPS,8.25,7.04,6.1,5.73
Diluted NI Availto Com Stockholders,3412000000.0,2948900000.0,2598500000.0,2466500000.0
Net Income Common Stockholders,3412000000.0,2948900000.0,2598500000.0,2466500000.0
Net Income,3412000000.0,2948900000.0,2598500000.0,2466500000.0
Net Income Including Noncontrolling Interests,3412000000.0,2948900000.0,2598500000.0,2466500000.0
Net Income Continuous Operations,3412000000.0,2948900000.0,2598500000.0,2466500000.0
Tax Provision,1025600000.0,855200000.0,762700000.0,716100000.0
Pretax Income,4437600000.0,3804100000.0,3361200000.0,3182600000.0
Other Income Expense,34000000.0,41800000.0,59800000.0,63500000.0
Other Non Operating Income Expenses,50800000.0,61700000.0,58600000.0,74500000.0
Special Income Charges,-2100000.0,-15500000.0,-11800000.0,-24100000.0
Gain On Sale Of Ppe,0.0,7500000.0,8100000.0,5800000.0
Write Off,2100000.0,23000000.0,19900000.0,29900000.0
Impairment Of Capital Assets,,,,29900000.0
Gain On Sale Of Security,-14700000.0,-4400000.0,13000000.0,13100000.0
Net Non Operating Interest Income Expense,709600000.0,410900000.0,399200000.0,522600000.0
Interest Expense Non Operating,253300000.0,81900000.0,59700000.0,107100000.0
Interest Income Non Operating,962900000.0,492800000.0,458900000.0,629700000.0
Operating Income,3694000000.0,3351400000.0,2902200000.0,2596500000.0
Operating Expense,3551400000.0,3233200000.0,3040500000.0,3003000000.0
Selling General And Administration,3551400000.0,3233200000.0,3040500000.0,3003000000.0
Gross Profit,7245400000.0,6584600000.0,5942700000.0,5599500000.0
Cost Of Revenue,9953400000.0,9461900000.0,8640300000.0,8445100000.0
Total Revenue,17198800000.0,16046500000.0,14583000000.0,14044600000.0
Operating Revenue,17198800000.0,16046500000.0,14583000000.0,14044600000.0
