,2023-01-31,2022-01-31,2021-01-31,2020-01-31
Tax Effect Of Unusual Items,0.0,0.0,0.0,-136194.029851
Tax Rate For Calcs,0.130021,0.119887,0.27,0.272388
Normalized EBITDA,1139000000.0,765700000.0,752900000.0,471300000.0
Total Unusual Items,16000000.0,4400000.0,0.0,-500000.0
Total Unusual Items Excluding Goodwill,16000000.0,4400000.0,0.0,-500000.0
Net Income From Continuing Operation Net Minority Interest,823000000.0,497000000.0,1208200000.0,214500000.0
Reconciled Depreciation,150000000.0,148100000.0,123800000.0,127300000.0
Reconciled Cost Of Revenue,370000000.0,311100000.0,250800000.0,236500000.0
EBITDA,1139000000.0,765700000.0,752900000.0,470800000.0
EBIT,989000000.0,617600000.0,629100000.0,343500000.0
Net Interest Income,-43000000.0,-52900000.0,-82400000.0,-48200000.0
Interest Expense,43000000.0,65000000.0,82400000.0,54000000.0
Normalized Income,823000000.0,497000000.0,1208200000.0,214863805.970149
Net Income From Continuing And Discontinued Operation,823000000.0,497000000.0,1208200000.0,214500000.0
Total Expenses,4016000000.0,3768800000.0,3161300000.0,2930800000.0
Total Operating Income As Reported,989000000.0,617600000.0,629100000.0,343000000.0
Diluted Average Shares,218000000.0,222000000.0,222000000.0,222500000.0
Basic Average Shares,216000000.0,220000000.0,219000000.0,219700000.0
Diluted EPS,3.78,2.24,5.44,0.96
Basic EPS,3.81,2.26,5.52,0.98
Diluted NI Availto Com Stockholders,823000000.0,497000000.0,1208200000.0,214500000.0
Net Income Common Stockholders,823000000.0,497000000.0,1208200000.0,214500000.0
Net Income,823000000.0,497000000.0,1208200000.0,214500000.0
Net Income Including Noncontrolling Interests,823000000.0,497000000.0,1208200000.0,214500000.0
Net Income Continuous Operations,823000000.0,497000000.0,1208200000.0,214500000.0
Tax Provision,123000000.0,67700000.0,-661500000.0,80300000.0
Pretax Income,946000000.0,564700000.0,546700000.0,294800000.0
Other Income Expense,28000000.0,12100000.0,-31300000.0,-500000.0
Other Non Operating Income Expenses,12000000.0,7700000.0,6900000.0,5200000.0
Special Income Charges,,0.0,0.0,-500000.0
Restructuring And Mergern Acquisition,,0.0,0.0,500000.0
Gain On Sale Of Security,16000000.0,4400000.0,-38200000.0,600000.0
Net Non Operating Interest Income Expense,-43000000.0,-52900000.0,-82400000.0,-48200000.0
Total Other Finance Cost,,52900000.0,,48200000.0
Interest Expense Non Operating,43000000.0,65000000.0,82400000.0,54000000.0
Operating Income,989000000.0,617600000.0,629100000.0,343500000.0
Operating Expense,3536000000.0,3350300000.0,2824200000.0,2605900000.0
Depreciation Amortization Depletion Income Statement,40000000.0,40700000.0,37500000.0,38900000.0
Depreciation And Amortization In Income Statement,40000000.0,40700000.0,37500000.0,38900000.0
Amortization,40000000.0,40700000.0,37500000.0,38900000.0
Amortization Of Intangibles Income Statement,40000000.0,40700000.0,37500000.0,38900000.0
Research And Development,1219000000.0,1114800000.0,932500000.0,851100000.0
Selling General And Administration,2277000000.0,2194800000.0,1854200000.0,1715900000.0
Selling And Marketing Expense,1745000000.0,1623100000.0,1440300000.0,1310300000.0
General And Administrative Expense,532000000.0,571700000.0,413900000.0,405600000.0
Other Gand A,532000000.0,571700000.0,413900000.0,405600000.0
Gross Profit,4525000000.0,3967900000.0,3453300000.0,2949400000.0
Cost Of Revenue,480000000.0,418500000.0,337100000.0,324900000.0
Total Revenue,5005000000.0,4386400000.0,3790400000.0,3274300000.0
Operating Revenue,4716000000.0,4232700000.0,3662200000.0,3138500000.0
