,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Tax Effect Of Unusual Items,-4535388.0,0.0,0.0,5592879.902462
Tax Rate For Calcs,0.396,0.237,0.27,0.199674
Normalized EBITDA,665501000.0,976400000.0,387171000.0,486473000.0
Total Unusual Items,-11453000.0,0.0,0.0,28010000.0
Total Unusual Items Excluding Goodwill,-11453000.0,0.0,0.0,28010000.0
Net Income From Continuing Operation Net Minority Interest,361573000.0,772020000.0,1775888000.0,442776000.0
Reconciled Depreciation,125793000.0,108729000.0,93538000.0,78990000.0
Reconciled Cost Of Revenue,1100860000.0,1017229000.0,708706000.0,662899000.0
EBITDA,654048000.0,976400000.0,387171000.0,514483000.0
EBIT,654048000.0,976400000.0,387171000.0,514483000.0
Net Interest Income,5367000.0,3103000.0,3125000.0,12482000.0
Interest Income,5367000.0,3103000.0,3125000.0,12482000.0
Normalized Income,368490612.0,772020000.0,1775888000.0,420358879.902462
Net Income From Continuing And Discontinued Operation,361573000.0,772020000.0,1775888000.0,442776000.0
Total Expenses,3080587000.0,2976184000.0,2084770000.0,1892313000.0
Total Operating Income As Reported,642595000.0,976400000.0,387171000.0,542493000.0
Diluted Average Shares,78420000.0,79670000.0,79230000.0,80100000.0
Basic Average Shares,78190000.0,78917000.0,78760000.0,79424000.0
Diluted EPS,4.61,9.69,22.41,5.53
Basic EPS,4.62,9.78,22.55,5.57
Diluted NI Availto Com Stockholders,361573000.0,772020000.0,1775888000.0,442776000.0
Net Income Common Stockholders,361573000.0,772020000.0,1775888000.0,442776000.0
Net Income,361573000.0,772020000.0,1775888000.0,442776000.0
Net Income Including Noncontrolling Interests,361573000.0,772020000.0,1775888000.0,442776000.0
Net Income Continuous Operations,361573000.0,772020000.0,1775888000.0,442776000.0
Earnings From Equity Interest Net Of Tax,,0.0,0.0,-7528000.0
Tax Provision,237484000.0,240403000.0,-1396939000.0,112347000.0
Pretax Income,599057000.0,1012423000.0,378949000.0,562651000.0
Other Income Expense,-60358000.0,32920000.0,-11347000.0,35686000.0
Other Non Operating Income Expenses,-48905000.0,32920000.0,-11347000.0,7676000.0
Special Income Charges,-11453000.0,0.0,0.0,28010000.0
Other Special Charges,,,,-51000000.0
Write Off,,,,22990000.0
Impairment Of Capital Assets,,0.0,0.0,22990000.0
Restructuring And Mergern Acquisition,11453000.0,,,
Net Non Operating Interest Income Expense,5367000.0,3103000.0,3125000.0,12482000.0
Interest Income Non Operating,5367000.0,3103000.0,3125000.0,12482000.0
Operating Income,654048000.0,976400000.0,387171000.0,514483000.0
Operating Expense,1979727000.0,1958955000.0,1376064000.0,1229414000.0
Research And Development,305258000.0,250315000.0,175307000.0,157361000.0
Selling General And Administration,1674469000.0,1708640000.0,1200757000.0,1072053000.0
Gross Profit,2633775000.0,2935355000.0,1763235000.0,1743897000.0
Cost Of Revenue,1100860000.0,1017229000.0,708706000.0,662899000.0
Total Revenue,3734635000.0,3952584000.0,2471941000.0,2406796000.0
Operating Revenue,3734635000.0,3952584000.0,2471941000.0,2406796000.0
