,2023-10-31,2022-10-31,2021-10-31,2020-10-31
Tax Effect Of Unusual Items,0.0,565337.544414,-40557229.360508,0.0
Tax Rate For Calcs,0.111457,0.141334,0.130409,0.131301
Normalized EBITDA,8469000000.0,8267000000.0,7712000000.0,4782000000.0
Total Unusual Items,0.0,4000000.0,-311000000.0,
Total Unusual Items Excluding Goodwill,0.0,4000000.0,-311000000.0,
Net Income From Continuing Operation Net Minority Interest,6856000000.0,6525000000.0,5888000000.0,3619000000.0
Reconciled Depreciation,515000000.0,444000000.0,394000000.0,376000000.0
Reconciled Cost Of Revenue,14133000000.0,13792000000.0,12149000000.0,9510000000.0
EBITDA,8469000000.0,8271000000.0,7401000000.0,4782000000.0
EBIT,7954000000.0,7827000000.0,7007000000.0,4406000000.0
Net Interest Income,62000000.0,-189000000.0,-118000000.0,-199000000.0
Interest Expense,238000000.0,228000000.0,236000000.0,240000000.0
Interest Income,300000000.0,39000000.0,118000000.0,41000000.0
Normalized Income,6856000000.0,6521565337.544414,6158442770.639492,3619000000.0
Net Income From Continuing And Discontinued Operation,6856000000.0,6525000000.0,5888000000.0,3619000000.0
Total Expenses,18863000000.0,18001000000.0,15863000000.0,12837000000.0
Total Operating Income As Reported,7654000000.0,7788000000.0,6889000000.0,4365000000.0
Diluted Average Shares,845000000.0,877000000.0,919000000.0,923000000.0
Basic Average Shares,840000000.0,871000000.0,910000000.0,916000000.0
Diluted EPS,8.11,7.44,6.4,3.92
Basic EPS,8.16,7.49,6.47,3.95
Diluted NI Availto Com Stockholders,6856000000.0,6525000000.0,5888000000.0,3619000000.0
Net Income Common Stockholders,6856000000.0,6525000000.0,5888000000.0,3619000000.0
Net Income,6856000000.0,6525000000.0,5888000000.0,3619000000.0
Net Income Including Noncontrolling Interests,6856000000.0,6525000000.0,5888000000.0,3619000000.0
Net Income Continuous Operations,6856000000.0,6525000000.0,5888000000.0,3619000000.0
Tax Provision,860000000.0,1074000000.0,883000000.0,547000000.0
Pretax Income,7716000000.0,7599000000.0,6771000000.0,4166000000.0
Other Income Expense,,4000000.0,-311000000.0,
Special Income Charges,0.0,4000000.0,-311000000.0,
Other Special Charges,,,154000000.0,
Restructuring And Mergern Acquisition,0.0,-4000000.0,157000000.0,
Net Non Operating Interest Income Expense,62000000.0,-189000000.0,-118000000.0,-199000000.0
Interest Expense Non Operating,238000000.0,228000000.0,236000000.0,240000000.0
Interest Income Non Operating,300000000.0,39000000.0,118000000.0,41000000.0
Operating Income,7654000000.0,7784000000.0,7200000000.0,4365000000.0
Operating Expense,4730000000.0,4209000000.0,3714000000.0,3327000000.0
Research And Development,3102000000.0,2771000000.0,2485000000.0,2234000000.0
Selling General And Administration,1628000000.0,1438000000.0,1229000000.0,1093000000.0
Selling And Marketing Expense,776000000.0,703000000.0,609000000.0,526000000.0
General And Administrative Expense,852000000.0,735000000.0,620000000.0,567000000.0
Other Gand A,852000000.0,735000000.0,620000000.0,567000000.0
Gross Profit,12384000000.0,11993000000.0,10914000000.0,7692000000.0
Cost Of Revenue,14133000000.0,13792000000.0,12149000000.0,9510000000.0
Total Revenue,26517000000.0,25785000000.0,23063000000.0,17202000000.0
Operating Revenue,26517000000.0,25785000000.0,23063000000.0,17202000000.0
