,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Tax Effect Of Unusual Items,0.0,0.0,0.0,0.0
Tax Rate For Calcs,0.21,0.13982,0.27,0.083333
Normalized EBITDA,3372000000.0,3703000000.0,1322000000.0,466000000.0
Total Unusual Items,0.0,-7000000.0,-54000000.0,-176000000.0
Total Unusual Items Excluding Goodwill,0.0,-7000000.0,-54000000.0,-176000000.0
Net Income From Continuing Operation Net Minority Interest,1320000000.0,3162000000.0,2490000000.0,341000000.0
Reconciled Depreciation,2100000000.0,463000000.0,354000000.0,258000000.0
Reconciled Cost Of Revenue,12998000000.0,8505000000.0,5416000000.0,3863000000.0
EBITDA,3372000000.0,3703000000.0,1322000000.0,466000000.0
EBIT,1272000000.0,3703000000.0,1322000000.0,466000000.0
Net Interest Income,-88000000.0,-34000000.0,-47000000.0,-94000000.0
Interest Expense,88000000.0,34000000.0,47000000.0,94000000.0
Interest Income,65000000.0,8000000.0,8000000.0,15000000.0
Normalized Income,1320000000.0,3162000000.0,2490000000.0,341000000.0
Net Income From Continuing And Discontinued Operation,1320000000.0,3162000000.0,2490000000.0,341000000.0
Total Expenses,22337000000.0,12786000000.0,8394000000.0,6100000000.0
Total Operating Income As Reported,1264000000.0,3648000000.0,1369000000.0,631000000.0
Diluted Average Shares,1571000000.0,1229000000.0,1207000000.0,1120000000.0
Basic Average Shares,1561000000.0,1213000000.0,1184000000.0,1091000000.0
Diluted EPS,0.84,2.57,2.06,0.3
Basic EPS,0.85,2.61,2.1,0.31
Diluted NI Availto Com Stockholders,1320000000.0,3162000000.0,2490000000.0,341000000.0
Average Dilution Earnings,0.0,,1000000.0,
Net Income Common Stockholders,1320000000.0,3162000000.0,2490000000.0,341000000.0
Net Income,1320000000.0,3162000000.0,2490000000.0,341000000.0
Net Income Including Noncontrolling Interests,1320000000.0,3162000000.0,2490000000.0,341000000.0
Net Income Continuous Operations,1320000000.0,3162000000.0,2490000000.0,341000000.0
Earnings From Equity Interest Net Of Tax,14000000.0,6000000.0,5000000.0,0.0
Tax Provision,-122000000.0,513000000.0,-1210000000.0,31000000.0
Pretax Income,1184000000.0,3669000000.0,1275000000.0,372000000.0
Other Income Expense,8000000.0,55000000.0,-47000000.0,-165000000.0
Other Non Operating Income Expenses,8000000.0,55000000.0,-47000000.0,-165000000.0
Special Income Charges,0.0,-7000000.0,-54000000.0,-176000000.0
Gain On Sale Of Business,,,,0.0
Other Special Charges,,7000000.0,54000000.0,176000000.0
Earnings From Equity Interest,-62000000.0,56000000.0,,
Net Non Operating Interest Income Expense,-88000000.0,-34000000.0,-47000000.0,-94000000.0
Interest Expense Non Operating,88000000.0,34000000.0,47000000.0,94000000.0
Interest Income Non Operating,65000000.0,8000000.0,8000000.0,15000000.0
Operating Income,1264000000.0,3648000000.0,1369000000.0,631000000.0
Operating Expense,9339000000.0,4281000000.0,2978000000.0,2237000000.0
Other Operating Expenses,-102000000.0,-12000000.0,,-60000000.0
Depreciation Amortization Depletion Income Statement,2100000000.0,,,
Depreciation And Amortization In Income Statement,2100000000.0,,,
Amortization,2100000000.0,,,
Amortization Of Intangibles Income Statement,2100000000.0,,,
Research And Development,5005000000.0,2845000000.0,1983000000.0,1547000000.0
Selling General And Administration,2336000000.0,1448000000.0,995000000.0,750000000.0
Gross Profit,10603000000.0,7929000000.0,4347000000.0,2868000000.0
Cost Of Revenue,12998000000.0,8505000000.0,5416000000.0,3863000000.0
Total Revenue,23601000000.0,16434000000.0,9763000000.0,6731000000.0
Operating Revenue,23601000000.0,16434000000.0,9763000000.0,6731000000.0
