,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Tax Effect Of Unusual Items,0.0,0.0,0.0,0.0
Tax Rate For Calcs,0.21,0.12558,0.118413,0.169863
Normalized EBITDA,38352000000.0,74256000000.0,51076000000.0,37365000000.0
Total Unusual Items,-16266000000.0,14652000000.0,,203000000.0
Total Unusual Items Excluding Goodwill,-16266000000.0,14652000000.0,,203000000.0
Net Income From Continuing Operation Net Minority Interest,-2722000000.0,33364000000.0,21331000000.0,11588000000.0
Reconciled Depreciation,41921000000.0,34296000000.0,25251000000.0,21789000000.0
Reconciled Cost Of Revenue,446343000000.0,403507000000.0,334564000000.0,241699000000.0
EBITDA,38352000000.0,74256000000.0,51076000000.0,37365000000.0
EBIT,-3569000000.0,39960000000.0,25825000000.0,15576000000.0
Net Interest Income,-1378000000.0,-1361000000.0,-1092000000.0,-768000000.0
Interest Expense,2367000000.0,1809000000.0,1647000000.0,1600000000.0
Interest Income,989000000.0,448000000.0,555000000.0,832000000.0
Normalized Income,-2722000000.0,33364000000.0,21331000000.0,11588000000.0
Net Income From Continuing And Discontinued Operation,-2722000000.0,33364000000.0,21331000000.0,11588000000.0
Total Expenses,501735000000.0,444943000000.0,363165000000.0,265981000000.0
Total Operating Income As Reported,12248000000.0,24879000000.0,22899000000.0,14541000000.0
Diluted Average Shares,10189000000.0,10300000000.0,10200000000.0,10080000000.0
Basic Average Shares,10189000000.0,10120000000.0,10000000000.0,9880000000.0
Diluted EPS,-0.27,3.2405,2.0915,1.1505
Basic EPS,-0.27,3.298,2.132,1.173
Diluted NI Availto Com Stockholders,-2722000000.0,33364000000.0,21331000000.0,11588000000.0
Net Income Common Stockholders,-2722000000.0,33364000000.0,21331000000.0,11588000000.0
Net Income,-2722000000.0,33364000000.0,21331000000.0,11588000000.0
Net Income Including Noncontrolling Interests,-2722000000.0,33364000000.0,21331000000.0,11588000000.0
Net Income Continuous Operations,-2722000000.0,33364000000.0,21331000000.0,11588000000.0
Earnings From Equity Interest Net Of Tax,-3000000.0,4000000.0,16000000.0,-14000000.0
Tax Provision,-3217000000.0,4791000000.0,2863000000.0,2374000000.0
Pretax Income,-5936000000.0,38151000000.0,24178000000.0,13976000000.0
Other Income Expense,-16806000000.0,14633000000.0,2371000000.0,203000000.0
Other Non Operating Income Expenses,-16806000000.0,14633000000.0,2371000000.0,203000000.0
Gain On Sale Of Security,-16266000000.0,14652000000.0,,203000000.0
Net Non Operating Interest Income Expense,-1378000000.0,-1361000000.0,-1092000000.0,-768000000.0
Interest Expense Non Operating,2367000000.0,1809000000.0,1647000000.0,1600000000.0
Interest Income Non Operating,989000000.0,448000000.0,555000000.0,832000000.0
Operating Income,12248000000.0,24879000000.0,22899000000.0,14541000000.0
Operating Expense,55392000000.0,41436000000.0,28601000000.0,24282000000.0
Other Operating Expenses,1263000000.0,62000000.0,-75000000.0,201000000.0
Research And Development,,,42740000000.0,35931000000.0
Selling General And Administration,54129000000.0,41374000000.0,28676000000.0,24081000000.0
Selling And Marketing Expense,42238000000.0,32551000000.0,22008000000.0,18878000000.0
General And Administrative Expense,11891000000.0,8823000000.0,6668000000.0,5203000000.0
Other Gand A,11891000000.0,8823000000.0,6668000000.0,5203000000.0
Gross Profit,67640000000.0,66315000000.0,51500000000.0,38823000000.0
Cost Of Revenue,446343000000.0,403507000000.0,334564000000.0,241699000000.0
Total Revenue,513983000000.0,469822000000.0,386064000000.0,280522000000.0
Operating Revenue,513983000000.0,469822000000.0,386064000000.0,280522000000.0
