,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Tax Effect Of Unusual Items,0.0,0.0,0.0,0.0
Tax Rate For Calcs,0.089699,0.117836,0.122,0.202
Normalized EBITDA,613763000.0,542972000.0,521512000.0,541213000.0
Total Unusual Items,-60000.0,12945000.0,3454000.0,-2177000.0
Total Unusual Items Excluding Goodwill,-60000.0,12945000.0,3454000.0,-2177000.0
Net Income From Continuing Operation Net Minority Interest,523710000.0,454627000.0,433887000.0,451295000.0
Reconciled Depreciation,15722000.0,15213000.0,16599000.0,15169000.0
Reconciled Cost Of Revenue,250641000.0,257984000.0,225264000.0,166273000.0
EBITDA,613763000.0,542972000.0,521512000.0,541213000.0
EBIT,598041000.0,527759000.0,504913000.0,526044000.0
Net Interest Income,-17009000.0,-10327000.0,-5915000.0,9335000.0
Interest Expense,22726000.0,12405000.0,10988000.0,3461000.0
Interest Income,5717000.0,2078000.0,5073000.0,12796000.0
Normalized Income,523710000.0,454627000.0,433887000.0,451295000.0
Net Income From Continuing And Discontinued Operation,523710000.0,454627000.0,433887000.0,451295000.0
Total Expenses,1472895000.0,1393444000.0,1184941000.0,1000852000.0
Total Operating Income As Reported,592658000.0,513271000.0,496356000.0,515040000.0
Diluted Average Shares,87490000.0,88102000.0,87288000.0,85925000.0
Basic Average Shares,87051000.0,87100000.0,85840000.0,84259000.0
Diluted EPS,5.99,5.16,4.97,5.25
Basic EPS,6.02,5.22,5.05,5.36
Diluted NI Availto Com Stockholders,523710000.0,454627000.0,433887000.0,451295000.0
Net Income Common Stockholders,523710000.0,454627000.0,433887000.0,451295000.0
Net Income,523710000.0,454627000.0,433887000.0,451295000.0
Net Income Including Noncontrolling Interests,523710000.0,454627000.0,433887000.0,451295000.0
Net Income Continuous Operations,523710000.0,454627000.0,433887000.0,451295000.0
Tax Provision,51605000.0,60727000.0,60038000.0,71288000.0
Pretax Income,575315000.0,515354000.0,493925000.0,522583000.0
Other Income Expense,-334000.0,12410000.0,3484000.0,-1792000.0
Other Non Operating Income Expenses,-334000.0,12410000.0,3484000.0,-1792000.0
Gain On Sale Of Security,-60000.0,12945000.0,3454000.0,-2177000.0
Net Non Operating Interest Income Expense,-17009000.0,-10327000.0,-5915000.0,9335000.0
Interest Expense Non Operating,22726000.0,12405000.0,10988000.0,3461000.0
Interest Income Non Operating,5717000.0,2078000.0,5073000.0,12796000.0
Operating Income,592658000.0,513271000.0,496356000.0,515040000.0
Operating Expense,1222254000.0,1135460000.0,959677000.0,834579000.0
Depreciation Amortization Depletion Income Statement,15722000.0,15213000.0,16599000.0,15169000.0
Depreciation And Amortization In Income Statement,15722000.0,15213000.0,16599000.0,15169000.0
Amortization,15722000.0,15213000.0,16599000.0,15169000.0
Amortization Of Intangibles Income Statement,15722000.0,15213000.0,16599000.0,15169000.0
Research And Development,433661000.0,404870000.0,355371000.0,298210000.0
Selling General And Administration,772871000.0,715377000.0,587707000.0,521200000.0
Gross Profit,1814912000.0,1648731000.0,1456033000.0,1349619000.0
Cost Of Revenue,250641000.0,257984000.0,225264000.0,166273000.0
Total Revenue,2065553000.0,1906715000.0,1681297000.0,1515892000.0
Operating Revenue,2065553000.0,1906715000.0,1681297000.0,1515892000.0
