,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Tax Effect Of Unusual Items,0.0,0.0,0.0,0.0
Tax Rate For Calcs,0.14,0.152,0.143,0.048
Normalized EBITDA,8213100000.0,7007400000.0,4542300000.0,3556600000.0
Net Income From Continuing Operation Net Minority Interest,6395800000.0,5883200000.0,3553700000.0,2581100000.0
Reconciled Depreciation,875900000.0,471000000.0,490800000.0,828300000.0
Reconciled Cost Of Revenue,10660700000.0,8802000000.0,7181300000.0,6919900000.0
EBITDA,8213100000.0,7007400000.0,4542300000.0,3556600000.0
EBIT,7337200000.0,6536400000.0,4051500000.0,2728300000.0
Net Interest Income,-44600000.0,-44600000.0,-34900000.0,-25000000.0
Interest Expense,60800000.0,54600000.0,43400000.0,36600000.0
Interest Income,16200000.0,10000000.0,8400000.0,11600000.0
Normalized Income,6395800000.0,5883200000.0,3553700000.0,2581100000.0
Net Income From Continuing And Discontinued Operation,6395800000.0,5883200000.0,3553700000.0,2581100000.0
Total Expenses,13852400000.0,12074600000.0,9927000000.0,9103300000.0
Total Operating Income As Reported,7321000000.0,6750100000.0,4051500000.0,2716700000.0
Diluted Average Shares,398000000.0,410400000.0,419100000.0,421600000.0
Basic Average Shares,397700000.0,409800000.0,418300000.0,420800000.0
Diluted EPS,14.13,14.34,8.48,6.15
Basic EPS,14.14,14.36,8.49,6.16
Diluted NI Availto Com Stockholders,6395800000.0,5883200000.0,3553700000.0,2581100000.0
Net Income Common Stockholders,6395800000.0,5883200000.0,3553700000.0,2581100000.0
Otherunder Preferred Stock Dividend,-138000000.0,-199100000.0,-88600000.0,-18200000.0
Net Income,6395800000.0,5883200000.0,3553700000.0,2581100000.0
Net Income Including Noncontrolling Interests,6395800000.0,5883200000.0,3553700000.0,2581100000.0
Net Income Continuous Operations,6395800000.0,5883200000.0,3553700000.0,2581100000.0
Earnings From Equity Interest Net Of Tax,138000000.0,199100000.0,88600000.0,18200000.0
Tax Provision,1018600000.0,1021400000.0,551500000.0,128800000.0
Pretax Income,7276400000.0,6705500000.0,4016600000.0,2691700000.0
Other Income Expense,,213700000.0,,
Other Non Operating Income Expenses,,213700000.0,,
Net Non Operating Interest Income Expense,-44600000.0,-44600000.0,-34900000.0,-25000000.0
Total Other Finance Cost,44600000.0,44600000.0,34900000.0,25000000.0
Interest Expense Non Operating,60800000.0,54600000.0,43400000.0,36600000.0
Interest Income Non Operating,16200000.0,10000000.0,8400000.0,11600000.0
Operating Income,7321000000.0,6536400000.0,4051500000.0,2716700000.0
Operating Expense,3191700000.0,3272600000.0,2745700000.0,2183400000.0
Research And Development,2282100000.0,2547000000.0,2200800000.0,1662900000.0
Selling General And Administration,909600000.0,725600000.0,544900000.0,520500000.0
Gross Profit,10512700000.0,9809000000.0,6797200000.0,4900100000.0
Cost Of Revenue,10660700000.0,8802000000.0,7181300000.0,6919900000.0
Total Revenue,21173400000.0,18611000000.0,13978500000.0,11820000000.0
Operating Revenue,21173400000.0,18611000000.0,13978500000.0,11820000000.0
