,2023-10-31,2022-10-31,2021-10-31,2020-10-31
Tax Effect Of Unusual Items,-16404583.692124,-4304568.119672,-634441.980783,-53460000.0
Tax Rate For Calcs,0.067232,0.075519,0.004287,0.27
Normalized EBITDA,20798000000.0,19212000000.0,14839000000.0,11323000000.0
Total Unusual Items,-244000000.0,-57000000.0,-148000000.0,-198000000.0
Total Unusual Items Excluding Goodwill,-244000000.0,-57000000.0,-148000000.0,-198000000.0
Net Income From Continuing Operation Net Minority Interest,14082000000.0,11495000000.0,6736000000.0,2961000000.0
Reconciled Depreciation,3835000000.0,4984000000.0,6041000000.0,6905000000.0
Reconciled Cost Of Revenue,8688000000.0,7636000000.0,6541000000.0,5868000000.0
EBITDA,20554000000.0,19155000000.0,14691000000.0,11125000000.0
EBIT,16719000000.0,14171000000.0,8650000000.0,4220000000.0
Net Interest Income,-1622000000.0,-1737000000.0,-1885000000.0,-1777000000.0
Interest Expense,1622000000.0,1737000000.0,1885000000.0,1777000000.0
Interest Income,,100000000.0,16000000.0,53000000.0
Normalized Income,14309595416.307877,11547695431.880327,6883365558.019217,3105540000.0
Net Income From Continuing And Discontinued Operation,14082000000.0,11495000000.0,6736000000.0,2960000000.0
Total Expenses,19368000000.0,18921000000.0,18783000000.0,19676000000.0
Total Operating Income As Reported,16207000000.0,14225000000.0,8519000000.0,4014000000.0
Diluted Average Shares,427000000.0,424060141.0,430075179.0,422055129.0
Basic Average Shares,415000000.0,410025054.0,411027560.0,403007510.0
Diluted EPS,32.98,26.463676,14.9625,6.314175
Basic EPS,33.93,27.371401,15.66075,6.60345
Diluted NI Availto Com Stockholders,14082000000.0,11223000000.0,6437000000.0,2663000000.0
Net Income Common Stockholders,14082000000.0,11223000000.0,6437000000.0,2663000000.0
Preferred Stock Dividends,,272000000.0,299000000.0,297000000.0
Net Income,14082000000.0,11495000000.0,6736000000.0,2960000000.0
Minority Interests,,,,0.0
Net Income Including Noncontrolling Interests,14082000000.0,11495000000.0,6736000000.0,2960000000.0
Net Income Discontinuous Operations,,0.0,0.0,-1000000.0
Net Income Continuous Operations,14082000000.0,11495000000.0,6736000000.0,2961000000.0
Tax Provision,1015000000.0,939000000.0,29000000.0,-518000000.0
Pretax Income,15097000000.0,12434000000.0,6765000000.0,2443000000.0
Other Income Expense,268000000.0,-111000000.0,-17000000.0,8000000.0
Other Non Operating Income Expenses,512000000.0,-54000000.0,131000000.0,206000000.0
Special Income Charges,-244000000.0,-57000000.0,-148000000.0,-198000000.0
Other Special Charges,,,,-116000000.0
Write Off,,,,0.0
Restructuring And Mergern Acquisition,244000000.0,57000000.0,148000000.0,198000000.0
Gain On Sale Of Security,,-169000000.0,99000000.0,31000000.0
Net Non Operating Interest Income Expense,-1622000000.0,-1737000000.0,-1885000000.0,-1777000000.0
Interest Expense Non Operating,1622000000.0,1737000000.0,1885000000.0,1777000000.0
Interest Income Non Operating,,100000000.0,16000000.0,53000000.0
Operating Income,16451000000.0,14282000000.0,8667000000.0,4212000000.0
Operating Expense,8239000000.0,7813000000.0,8177000000.0,9304000000.0
Depreciation Amortization Depletion Income Statement,1394000000.0,1512000000.0,1976000000.0,2401000000.0
Depreciation And Amortization In Income Statement,1394000000.0,1512000000.0,1976000000.0,2401000000.0
Amortization,1394000000.0,1512000000.0,1976000000.0,2401000000.0
Amortization Of Intangibles Income Statement,1394000000.0,1512000000.0,1976000000.0,2401000000.0
Research And Development,5253000000.0,4919000000.0,4854000000.0,4968000000.0
Selling General And Administration,1592000000.0,1382000000.0,1347000000.0,1935000000.0
Gross Profit,24690000000.0,22095000000.0,16844000000.0,13516000000.0
Cost Of Revenue,11129000000.0,11108000000.0,10606000000.0,10372000000.0
Total Revenue,35819000000.0,33203000000.0,27450000000.0,23888000000.0
Operating Revenue,35819000000.0,33203000000.0,27450000000.0,23888000000.0
