,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Tax Effect Of Unusual Items,0.0,0.0,0.0,-57540000.0
Tax Rate For Calcs,0.19,0.19,0.2,0.21
Normalized EBITDA,9327000000.0,7565000000.0,8371000000.0,7016000000.0
Total Unusual Items,-790000000.0,1186000000.0,1472000000.0,-274000000.0
Total Unusual Items Excluding Goodwill,-790000000.0,1186000000.0,1472000000.0,-274000000.0
Net Income From Continuing Operation Net Minority Interest,3288000000.0,112000000.0,3196000000.0,1335000000.0
Reconciled Depreciation,5480000000.0,6530000000.0,3149000000.0,3762000000.0
Reconciled Cost Of Revenue,12391000000.0,12437000000.0,5299000000.0,4921000000.0
EBITDA,9327000000.0,7565000000.0,8371000000.0,6742000000.0
EBIT,3847000000.0,1035000000.0,5222000000.0,2980000000.0
Net Interest Income,-1251000000.0,-1257000000.0,-1219000000.0,-1260000000.0
Interest Expense,1346000000.0,1300000000.0,1306000000.0,1432000000.0
Interest Income,95000000.0,43000000.0,87000000.0,172000000.0
Normalized Income,3288000000.0,112000000.0,3196000000.0,1551460000.0
Net Income From Continuing And Discontinued Operation,3288000000.0,112000000.0,3196000000.0,1335000000.0
Total Expenses,40594000000.0,36361000000.0,21455000000.0,21186000000.0
Rent Expense Supplemental,268000000.0,262000000.0,228000000.0,
Total Operating Income As Reported,3757000000.0,1056000000.0,5162000000.0,2924000000.0
Diluted Average Shares,3120000000.0,2854000000.0,2626000000.0,2602000000.0
Basic Average Shares,3096000000.0,2836000000.0,2624000000.0,2602000000.0
Diluted EPS,1.055,0.04,1.22,0.515
Basic EPS,1.06,0.04,1.22,0.515
Diluted NI Availto Com Stockholders,3288000000.0,112000000.0,3196000000.0,1335000000.0
Net Income Common Stockholders,3288000000.0,112000000.0,3196000000.0,1335000000.0
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0
Net Income,3288000000.0,112000000.0,3196000000.0,1335000000.0
Minority Interests,-5000000.0,-3000000.0,52000000.0,107000000.0
Net Income Including Noncontrolling Interests,3293000000.0,115000000.0,3144000000.0,1227000000.0
Net Income Continuous Operations,3293000000.0,115000000.0,3144000000.0,1227000000.0
Tax Provision,-792000000.0,-380000000.0,772000000.0,321000000.0
Pretax Income,2501000000.0,-265000000.0,3916000000.0,1548000000.0
Special Income Charges,-804000000.0,1190000000.0,1468000000.0,-274000000.0
Other Special Charges,573000000.0,-1237000000.0,-1286000000.0,-612000000.0
Impairment Of Capital Assets,0.0,,12000000.0,0.0
Restructuring And Mergern Acquisition,231000000.0,47000000.0,-194000000.0,274000000.0
Net Non Operating Interest Income Expense,-1251000000.0,-1257000000.0,-1219000000.0,-1260000000.0
Total Other Finance Cost,,,-6000000.0,-20000000.0
Interest Expense Non Operating,1346000000.0,1300000000.0,1306000000.0,1432000000.0
Interest Income Non Operating,95000000.0,43000000.0,87000000.0,172000000.0
Operating Income,3757000000.0,1056000000.0,5162000000.0,3198000000.0
Operating Expense,28203000000.0,23924000000.0,16156000000.0,16265000000.0
Other Operating Expenses,-514000000.0,-1492000000.0,-1528000000.0,-1541000000.0
Depreciation And Amortization In Income Statement,,1000000.0,2000000.0,4000000.0
Amortization,,1000000.0,2000000.0,4000000.0
Depreciation Income Statement,,0.0,0.0,0.0
Research And Development,9762000000.0,9736000000.0,5991000000.0,5958000000.0
Selling General And Administration,18955000000.0,15680000000.0,11693000000.0,11848000000.0
Selling And Marketing Expense,18955000000.0,15680000000.0,11693000000.0,11848000000.0
Gross Profit,31960000000.0,24980000000.0,21318000000.0,19463000000.0
Cost Of Revenue,12391000000.0,12437000000.0,5299000000.0,4921000000.0
Total Revenue,44351000000.0,37417000000.0,26617000000.0,24384000000.0
Operating Revenue,44351000000.0,37417000000.0,26617000000.0,24384000000.0
