,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Tax Effect Of Unusual Items,102379200.0,981000.0,20448600.0,1124700.0
Tax Rate For Calcs,0.176,0.03,0.197,0.163
Normalized EBITDA,2686100000.0,3656600000.0,4807300000.0,7518700000.0
Total Unusual Items,581700000.0,32700000.0,103800000.0,6900000.0
Total Unusual Items Excluding Goodwill,581700000.0,32700000.0,103800000.0,6900000.0
Net Income From Continuing Operation Net Minority Interest,3046900000.0,1556100000.0,4000600000.0,5888500000.0
Reconciled Depreciation,365900000.0,881300000.0,464800000.0,489900000.0
Reconciled Cost Of Revenue,2278300000.0,2109700000.0,1805200000.0,1955400000.0
EBITDA,3267800000.0,3689300000.0,4911100000.0,7525600000.0
EBIT,2901900000.0,2808000000.0,4446300000.0,7035700000.0
Net Interest Income,-157300000.0,-242600000.0,-180500000.0,-67400000.0
Interest Expense,246600000.0,253600000.0,222500000.0,187400000.0
Interest Income,89300000.0,11000000.0,42000000.0,120000000.0
Normalized Income,2567579200.0,1524381000.0,3917248600.0,5882724700.0
Net Income From Continuing And Discontinued Operation,3046900000.0,1556100000.0,4000600000.0,5888500000.0
Total Expenses,7271500000.0,8173700000.0,8998300000.0,7342200000.0
Total Operating Income As Reported,,2840700000.0,4550100000.0,7042600000.0
Diluted Average Shares,146000000.0,149600000.0,161300000.0,187400000.0
Basic Average Shares,145300000.0,149100000.0,160900000.0,187100000.0
Diluted EPS,20.87,10.4,24.8,31.42
Basic EPS,20.96,10.44,24.86,31.47
Diluted NI Availto Com Stockholders,3046900000.0,1556100000.0,4000600000.0,5888500000.0
Net Income Common Stockholders,3046900000.0,1556100000.0,4000600000.0,5888500000.0
Net Income,3046900000.0,1556100000.0,4000600000.0,5888500000.0
Minority Interests,85300000.0,-171500000.0,-59900000.0,0.0
Net Income Including Noncontrolling Interests,2961600000.0,1727600000.0,4060500000.0,5888500000.0
Net Income Continuous Operations,2961600000.0,1727600000.0,4060500000.0,5888500000.0
Earnings From Equity Interest Net Of Tax,2600000.0,34900000.0,5300000.0,-79400000.0
Tax Provision,632800000.0,52500000.0,992300000.0,1158000000.0
Pretax Income,3591800000.0,1745200000.0,5047500000.0,7125900000.0
Other Income Expense,689900000.0,-1062800000.0,601200000.0,90200000.0
Other Non Operating Income Expenses,108200000.0,-1095500000.0,497400000.0,83300000.0
Special Income Charges,581700000.0,32700000.0,103800000.0,6900000.0
Gain On Sale Of Ppe,503700000.0,,,
Gain On Sale Of Business,1505400000.0,0.0,92500000.0,-55300000.0
Other Special Charges,917000000.0,18000000.0,75000000.0,
Restructuring And Mergern Acquisition,-78000000.0,-50700000.0,-86300000.0,-62200000.0
Gain On Sale Of Security,-312800000.0,-847300000.0,675000000.0,197700000.0
Net Non Operating Interest Income Expense,-157300000.0,-242600000.0,-180500000.0,-67400000.0
Interest Expense Non Operating,246600000.0,253600000.0,222500000.0,187400000.0
Interest Income Non Operating,89300000.0,11000000.0,42000000.0,120000000.0
Operating Income,2901900000.0,2808000000.0,4446300000.0,7035700000.0
Operating Expense,4993200000.0,6064000000.0,7193100000.0,5386800000.0
Other Operating Expenses,-7400000.0,7200000.0,232900000.0,241600000.0
Depreciation Amortization Depletion Income Statement,365900000.0,881300000.0,464800000.0,489900000.0
Depreciation And Amortization In Income Statement,365900000.0,881300000.0,464800000.0,489900000.0
Amortization,365900000.0,881300000.0,464800000.0,489900000.0
Amortization Of Intangibles Income Statement,365900000.0,881300000.0,464800000.0,489900000.0
Research And Development,2231100000.0,2501200000.0,3990900000.0,2280600000.0
Selling General And Administration,2403600000.0,2674300000.0,2504500000.0,2374700000.0
Gross Profit,7895100000.0,8872000000.0,11639400000.0,12422500000.0
Cost Of Revenue,2278300000.0,2109700000.0,1805200000.0,1955400000.0
Total Revenue,10173400000.0,10981700000.0,13444600000.0,14377900000.0
Operating Revenue,9688300000.0,10505400000.0,12670000000.0,13670200000.0
