,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Tax Effect Of Unusual Items,43878409.380576,-2662116.040956,-326970000.0,133368747.901981
Tax Rate For Calcs,0.220495,0.204778,0.27,0.183451
Normalized EBITDA,4722000000.0,2411000000.0,2776000000.0,6138000000.0
Total Unusual Items,199000000.0,-13000000.0,-1211000000.0,727000000.0
Total Unusual Items Excluding Goodwill,199000000.0,-13000000.0,-1211000000.0,727000000.0
Net Income From Continuing Operation Net Minority Interest,3058000000.0,1165000000.0,59000000.0,4865000000.0
Reconciled Depreciation,607000000.0,599000000.0,642000000.0,641000000.0
EBITDA,4921000000.0,2398000000.0,1565000000.0,6865000000.0
EBIT,4314000000.0,1799000000.0,923000000.0,6224000000.0
Net Interest Income,-391000000.0,-334000000.0,-356000000.0,-114000000.0
Interest Expense,391000000.0,334000000.0,356000000.0,266000000.0
Interest Income,219000000.0,16000000.0,54000000.0,152000000.0
Normalized Income,2902878409.380576,1175337883.959044,943030000.0,4271368747.901981
Net Income From Continuing And Discontinued Operation,3058000000.0,1165000000.0,59000000.0,4865000000.0
Total Expenses,12187000000.0,8449000000.0,6216000000.0,9721000000.0
Total Operating Income As Reported,5102000000.0,2496000000.0,-631000000.0,5345000000.0
Diluted Average Shares,40052000.0,41362000.0,41160000.0,43509000.0
Basic Average Shares,39872000.0,41042000.0,40974000.0,43082000.0
Diluted EPS,76.35,28.17,1.44,111.82
Basic EPS,76.7,28.39,1.45,112.93
Diluted NI Availto Com Stockholders,3058000000.0,1165000000.0,59000000.0,4865000000.0
Net Income Common Stockholders,3058000000.0,1165000000.0,59000000.0,4865000000.0
Net Income,3058000000.0,1165000000.0,59000000.0,4865000000.0
Net Income Including Noncontrolling Interests,3058000000.0,1165000000.0,59000000.0,4865000000.0
Net Income Continuous Operations,3058000000.0,1165000000.0,59000000.0,4865000000.0
Tax Provision,865000000.0,300000000.0,508000000.0,1093000000.0
Pretax Income,3923000000.0,1465000000.0,567000000.0,5958000000.0
Other Income Expense,-589000000.0,-710000000.0,343000000.0,727000000.0
Other Non Operating Income Expenses,-788000000.0,-697000000.0,1554000000.0,
Special Income Charges,199000000.0,-13000000.0,-1211000000.0,
Other Special Charges,,242000000.0,,
Write Off,,0.0,100000000.0,
Impairment Of Capital Assets,0.0,0.0,1062000000.0,
Restructuring And Mergern Acquisition,-199000000.0,13000000.0,149000000.0,
Gain On Sale Of Security,-1006000000.0,-458000000.0,1604000000.0,727000000.0
Net Non Operating Interest Income Expense,-391000000.0,-334000000.0,-356000000.0,-114000000.0
Interest Expense Non Operating,391000000.0,334000000.0,356000000.0,266000000.0
Interest Income Non Operating,219000000.0,16000000.0,54000000.0,152000000.0
Operating Income,4903000000.0,2509000000.0,580000000.0,5345000000.0
Operating Expense,12187000000.0,8449000000.0,6216000000.0,9721000000.0
Other Operating Expenses,526000000.0,412000000.0,299000000.0,285000000.0
Depreciation Amortization Depletion Income Statement,451000000.0,421000000.0,458000000.0,469000000.0
Depreciation And Amortization In Income Statement,451000000.0,421000000.0,458000000.0,469000000.0
Research And Development,,,,285000000.0
Selling General And Administration,11736000000.0,8028000000.0,5758000000.0,9252000000.0
Selling And Marketing Expense,7811000000.0,4682000000.0,2934000000.0,5922000000.0
General And Administrative Expense,3925000000.0,3346000000.0,2824000000.0,3330000000.0
Other Gand A,1460000000.0,1032000000.0,880000000.0,1082000000.0
Salaries And Wages,2465000000.0,2314000000.0,1944000000.0,2248000000.0
Total Revenue,17090000000.0,10958000000.0,6796000000.0,15066000000.0
Operating Revenue,17090000000.0,10958000000.0,6796000000.0,15066000000.0
