,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Tax Effect Of Unusual Items,-148050000.0,-72630000.0,-4528710000.0,-142020000.0
Tax Rate For Calcs,0.21,0.27,0.27,0.27
Normalized EBITDA,2040000000.0,2101000000.0,3152000000.0,2934000000.0
Total Unusual Items,-705000000.0,-269000000.0,-16773000000.0,-526000000.0
Total Unusual Items Excluding Goodwill,-705000000.0,-269000000.0,-16773000000.0,-526000000.0
Net Income From Continuing Operation Net Minority Interest,-601000000.0,-219000000.0,-9940000000.0,128000000.0
Reconciled Depreciation,1061000000.0,1105000000.0,1317000000.0,1418000000.0
Reconciled Cost Of Revenue,16756000000.0,16487000000.0,17506000000.0,19406000000.0
EBITDA,1335000000.0,1832000000.0,-13621000000.0,2408000000.0
EBIT,274000000.0,727000000.0,-14938000000.0,990000000.0
Net Interest Income,-252000000.0,-299000000.0,-264000000.0,-237000000.0
Interest Expense,252000000.0,299000000.0,264000000.0,237000000.0
Normalized Income,-44050000.0,-22630000.0,2304290000.0,511980000.0
Net Income From Continuing And Discontinued Operation,-601000000.0,-219000000.0,-9940000000.0,128000000.0
Total Expenses,19266000000.0,18957000000.0,19910000000.0,22238000000.0
Total Operating Income As Reported,1185000000.0,1310000000.0,-15978000000.0,1074000000.0
Diluted Average Shares,987000000.0,824000000.0,675000000.0,557000000.0
Basic Average Shares,987000000.0,824000000.0,675000000.0,555000000.0
Diluted EPS,-0.61,-0.27,-14.73,0.23
Basic EPS,-0.61,-0.27,-14.73,0.23
Diluted NI Availto Com Stockholders,-601000000.0,-219000000.0,-9940000000.0,128000000.0
Net Income Common Stockholders,-601000000.0,-219000000.0,-9940000000.0,128000000.0
Otherunder Preferred Stock Dividend,,,,0.0
Net Income,-601000000.0,-219000000.0,-9940000000.0,128000000.0
Minority Interests,-23000000.0,111000000.0,5821000000.0,-143000000.0
Net Income Including Noncontrolling Interests,-578000000.0,-330000000.0,-15761000000.0,271000000.0
Net Income Continuous Operations,-578000000.0,-330000000.0,-15761000000.0,271000000.0
Tax Provision,600000000.0,758000000.0,559000000.0,482000000.0
Pretax Income,22000000.0,428000000.0,-15202000000.0,753000000.0
Other Income Expense,-1616000000.0,-852000000.0,-15733000000.0,-610000000.0
Other Non Operating Income Expenses,-911000000.0,-583000000.0,1040000000.0,-84000000.0
Special Income Charges,-705000000.0,-269000000.0,-16773000000.0,-526000000.0
Impairment Of Capital Assets,0.0,0.0,14773000000.0,
Restructuring And Mergern Acquisition,705000000.0,269000000.0,2000000000.0,526000000.0
Earnings From Equity Interest,,,0.0,0.0
Net Non Operating Interest Income Expense,-252000000.0,-299000000.0,-264000000.0,-237000000.0
Total Other Finance Cost,,,,237000000.0
Interest Expense Non Operating,252000000.0,299000000.0,264000000.0,237000000.0
Operating Income,1890000000.0,1579000000.0,795000000.0,1600000000.0
Operating Expense,2510000000.0,2470000000.0,2404000000.0,2832000000.0
Selling General And Administration,2510000000.0,2470000000.0,2404000000.0,2832000000.0
Gross Profit,4400000000.0,4049000000.0,3199000000.0,4432000000.0
Cost Of Revenue,16756000000.0,16487000000.0,17506000000.0,19406000000.0
Total Revenue,21156000000.0,20536000000.0,20705000000.0,23838000000.0
Operating Revenue,21156000000.0,20536000000.0,20705000000.0,23838000000.0
