,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Tax Effect Of Unusual Items,-10333.831406,98849.011302,-645050.0,-2327670.0
Tax Rate For Calcs,0.187888,0.094322,0.07,0.27
Normalized EBITDA,1203782000.0,915069000.0,812848000.0,629769000.0
Total Unusual Items,-55000.0,1048000.0,-9215000.0,-8621000.0
Total Unusual Items Excluding Goodwill,-55000.0,1048000.0,-9215000.0,-8621000.0
Net Income From Continuing Operation Net Minority Interest,848952000.0,695955000.0,590644000.0,988979000.0
Reconciled Depreciation,135430000.0,130702000.0,150136000.0,123351000.0
Reconciled Cost Of Revenue,254663000.0,195944000.0,173371000.0,155134000.0
EBITDA,1203727000.0,916117000.0,803633000.0,621148000.0
EBIT,1068297000.0,785415000.0,653497000.0,497797000.0
Net Interest Income,-22934000.0,-16980000.0,-20749000.0,-18829000.0
Interest Expense,22934000.0,16980000.0,20749000.0,18829000.0
Interest Income,10099000.0,2634000.0,3817000.0,9509000.0
Normalized Income,848996666.168594,695005849.011302,599213950.0,995272330.0
Net Income From Continuing And Discontinued Operation,848952000.0,695955000.0,590644000.0,988979000.0
Total Expenses,2487977000.0,2210203000.0,2028124000.0,1835902000.0
Total Operating Income As Reported,1073686000.0,779089000.0,645552000.0,491796000.0
Diluted Average Shares,275011000.0,278858000.0,279641000.0,280515000.0
Basic Average Shares,271198000.0,273504000.0,273728000.0,273239000.0
Diluted EPS,3.09,2.5,2.11,3.53
Basic EPS,3.13,2.54,2.16,3.62
Diluted NI Availto Com Stockholders,848952000.0,695955000.0,590644000.0,988979000.0
Net Income Common Stockholders,848952000.0,695955000.0,590644000.0,988979000.0
Net Income,848952000.0,695955000.0,590644000.0,988979000.0
Net Income Including Noncontrolling Interests,848952000.0,695955000.0,590644000.0,988979000.0
Net Income Continuous Operations,848952000.0,695955000.0,590644000.0,988979000.0
Tax Provision,196411000.0,72480000.0,42104000.0,-510011000.0
Pretax Income,1045363000.0,768435000.0,632748000.0,478968000.0
Other Income Expense,-5444000.0,7374000.0,-1270000.0,-2620000.0
Other Non Operating Income Expenses,-5389000.0,6326000.0,7945000.0,6001000.0
Special Income Charges,-55000.0,1048000.0,-9215000.0,-8621000.0
Restructuring And Mergern Acquisition,55000.0,-1048000.0,9215000.0,8621000.0
Gain On Sale Of Security,-14630000.0,3954000.0,4356000.0,-2798000.0
Net Non Operating Interest Income Expense,-22934000.0,-16980000.0,-20749000.0,-18829000.0
Interest Expense Non Operating,22934000.0,16980000.0,20749000.0,18829000.0
Interest Income Non Operating,10099000.0,2634000.0,3817000.0,9509000.0
Operating Income,1073741000.0,778041000.0,654767000.0,500417000.0
Operating Expense,2116354000.0,1903197000.0,1722626000.0,1569545000.0
Depreciation Amortization Depletion Income Statement,18470000.0,19640000.0,18009000.0,12128000.0
Depreciation And Amortization In Income Statement,18470000.0,19640000.0,18009000.0,12128000.0
Amortization,18470000.0,19640000.0,18009000.0,12128000.0
Amortization Of Intangibles Income Statement,18470000.0,19640000.0,18009000.0,12128000.0
Research And Development,1251544000.0,1134277000.0,1033732000.0,935938000.0
Selling General And Administration,846340000.0,749280000.0,670885000.0,621479000.0
Selling And Marketing Expense,604224000.0,560262000.0,516460000.0,481673000.0
General And Administrative Expense,242116000.0,189018000.0,154425000.0,139806000.0
Other Gand A,242116000.0,189018000.0,154425000.0,139806000.0
Gross Profit,3190095000.0,2681238000.0,2377393000.0,2069962000.0
Cost Of Revenue,371623000.0,307006000.0,305498000.0,266357000.0
Total Revenue,3561718000.0,2988244000.0,2682891000.0,2336319000.0
Operating Revenue,3561718000.0,2988244000.0,2682891000.0,2336319000.0
