,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Tax Effect Of Unusual Items,210000.0,169020000.0,3278000.0,7263000.0
Tax Rate For Calcs,0.21,0.27,0.298,0.269
Normalized EBITDA,2135000000.0,4363000000.0,4818000000.0,5382000000.0
Total Unusual Items,1000000.0,626000000.0,11000000.0,27000000.0
Total Unusual Items Excluding Goodwill,1000000.0,626000000.0,11000000.0,27000000.0
Net Income From Continuing Operation Net Minority Interest,-160000000.0,-205000000.0,589000000.0,1125000000.0
Reconciled Depreciation,2427000000.0,4540000000.0,3636000000.0,3063000000.0
Reconciled Cost Of Revenue,20967000000.0,15181000000.0,13240000000.0,14046000000.0
EBITDA,2136000000.0,4989000000.0,4829000000.0,5409000000.0
EBIT,-291000000.0,449000000.0,1193000000.0,2346000000.0
Net Interest Income,-251000000.0,-199000000.0,-357000000.0,-429000000.0
Interest Expense,251000000.0,297000000.0,357000000.0,429000000.0
Interest Income,93000000.0,98000000.0,,
Normalized Income,-160790000.0,-661980000.0,581278000.0,1105263000.0
Net Income From Continuing And Discontinued Operation,-160000000.0,-205000000.0,589000000.0,1125000000.0
Total Expenses,23946000000.0,19970000000.0,17358000000.0,17628000000.0
Total Operating Income As Reported,495000000.0,-346000000.0,256000000.0,1323000000.0
Diluted Average Shares,329000000.0,326000000.0,326300000.0,326300000.0
Basic Average Shares,328000000.0,326000000.0,326300000.0,326300000.0
Diluted EPS,-0.49,-0.628834,1.805087,3.447747
Basic EPS,-0.49,-0.628834,1.805087,3.447747
Diluted NI Availto Com Stockholders,-160000000.0,-205000000.0,589000000.0,1125000000.0
Net Income Common Stockholders,-160000000.0,-205000000.0,589000000.0,1125000000.0
Net Income,-160000000.0,-205000000.0,589000000.0,1125000000.0
Minority Interests,7000000.0,-122000000.0,10000000.0,-92000000.0
Net Income Including Noncontrolling Interests,-167000000.0,-83000000.0,579000000.0,1217000000.0
Net Income Continuous Operations,-167000000.0,-83000000.0,579000000.0,1217000000.0
Earnings From Equity Interest Net Of Tax,-13000000.0,-10000000.0,-8000000.0,-184000000.0
Tax Provision,-388000000.0,225000000.0,249000000.0,516000000.0
Pretax Income,-542000000.0,152000000.0,836000000.0,1917000000.0
Other Income Expense,-785000000.0,672000000.0,948000000.0,1050000000.0
Other Non Operating Income Expenses,-786000000.0,46000000.0,937000000.0,1023000000.0
Special Income Charges,1000000.0,201000000.0,11000000.0,27000000.0
Gain On Sale Of Ppe,1000000.0,201000000.0,11000000.0,27000000.0
Gain On Sale Of Security,-807000000.0,425000000.0,,
Net Non Operating Interest Income Expense,-251000000.0,-199000000.0,-357000000.0,-429000000.0
Interest Expense Non Operating,251000000.0,297000000.0,357000000.0,429000000.0
Interest Income Non Operating,93000000.0,98000000.0,,
Operating Income,494000000.0,-321000000.0,245000000.0,1296000000.0
Operating Expense,1643000000.0,3252000000.0,2605000000.0,2054000000.0
Other Operating Expenses,49000000.0,4555000000.0,5168000000.0,4718000000.0
Other Taxes,552000000.0,249000000.0,482000000.0,519000000.0
Depreciation Amortization Depletion Income Statement,1091000000.0,3003000000.0,2123000000.0,1535000000.0
Depreciation And Amortization In Income Statement,1091000000.0,3003000000.0,2123000000.0,1535000000.0
Gross Profit,2137000000.0,2931000000.0,2850000000.0,3350000000.0
Cost Of Revenue,22303000000.0,16718000000.0,14753000000.0,15574000000.0
Total Revenue,24440000000.0,19649000000.0,17603000000.0,18924000000.0
Operating Revenue,24440000000.0,19649000000.0,17603000000.0,18924000000.0
