,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Tax Effect Of Unusual Items,0.0,0.0,-22991166.899117,-14266145.619087
Tax Rate For Calcs,0.216162,0.167188,0.145514,0.180584
Normalized EBITDA,20921000000.0,19770000000.0,18012000000.0,16233000000.0
Total Unusual Items,-379000000.0,-559000000.0,-158000000.0,-79000000.0
Total Unusual Items Excluding Goodwill,-379000000.0,-559000000.0,-158000000.0,-79000000.0
Net Income From Continuing Operation Net Minority Interest,5055000000.0,4654000000.0,3222000000.0,1668000000.0
Reconciled Depreciation,8903000000.0,9345000000.0,9704000000.0,9926000000.0
Reconciled Cost Of Revenue,32876000000.0,27981000000.0,26548000000.0,25865000000.0
EBITDA,20921000000.0,19770000000.0,17854000000.0,16154000000.0
EBIT,12018000000.0,10425000000.0,8150000000.0,6228000000.0
Net Interest Income,-4556000000.0,-4037000000.0,-3848000000.0,-3797000000.0
Interest Expense,4556000000.0,4037000000.0,3848000000.0,3797000000.0
Normalized Income,5055000000.0,4654000000.0,3357008833.100883,1732733854.380913
Net Income From Continuing And Discontinued Operation,5055000000.0,4654000000.0,3222000000.0,1668000000.0
Total Expenses,42060000000.0,41156000000.0,39692000000.0,39253000000.0
Total Operating Income As Reported,11962000000.0,10526000000.0,8405000000.0,6511000000.0
Diluted Average Shares,164433596.0,193042948.0,209273247.0,223786380.0
Basic Average Shares,161501355.0,183669369.0,203316483.0,219506735.0
Diluted EPS,30.74,24.47,15.4,7.45
Basic EPS,31.3,25.34,15.85,7.6
Diluted NI Availto Com Stockholders,5055000000.0,4654000000.0,3222000000.0,1668000000.0
Average Dilution Earnings,0.0,70000000.0,,
Net Income Common Stockholders,5055000000.0,4654000000.0,3222000000.0,1668000000.0
Net Income,5055000000.0,4654000000.0,3222000000.0,1668000000.0
Minority Interests,-794000000.0,-666000000.0,-454000000.0,-324000000.0
Net Income Including Noncontrolling Interests,5849000000.0,5320000000.0,3676000000.0,1992000000.0
Net Income Continuous Operations,5849000000.0,5320000000.0,3676000000.0,1992000000.0
Tax Provision,1613000000.0,1068000000.0,626000000.0,439000000.0
Pretax Income,7462000000.0,6388000000.0,4302000000.0,2431000000.0
Other Income Expense,56000000.0,-101000000.0,-255000000.0,-283000000.0
Other Non Operating Income Expenses,56000000.0,-101000000.0,-97000000.0,-204000000.0
Special Income Charges,-284000000.0,-473000000.0,-143000000.0,-25000000.0
Gain On Sale Of Ppe,-8000000.0,-80000000.0,32000000.0,-42000000.0
Other Special Charges,276000000.0,393000000.0,143000000.0,25000000.0
Restructuring And Mergern Acquisition,,,,10000000.0
Earnings From Equity Interest,-100000000.0,-176000000.0,,
Gain On Sale Of Security,-95000000.0,-86000000.0,-15000000.0,-54000000.0
Net Non Operating Interest Income Expense,-4556000000.0,-4037000000.0,-3848000000.0,-3797000000.0
Total Other Finance Cost,,,,3797000000.0
Interest Expense Non Operating,4556000000.0,4037000000.0,3848000000.0,3797000000.0
Operating Income,11962000000.0,10526000000.0,8405000000.0,6511000000.0
Operating Expense,9184000000.0,13175000000.0,13144000000.0,13388000000.0
Other Operating Expenses,281000000.0,329000000.0,58000000.0,103000000.0
Depreciation Amortization Depletion Income Statement,8903000000.0,9345000000.0,9704000000.0,9926000000.0
Depreciation And Amortization In Income Statement,8903000000.0,9345000000.0,9704000000.0,9926000000.0
Selling General And Administration,3339000000.0,3501000000.0,3382000000.0,3359000000.0
Selling And Marketing Expense,3339000000.0,3071000000.0,3031000000.0,3044000000.0
General And Administrative Expense,,430000000.0,351000000.0,315000000.0
Salaries And Wages,,430000000.0,351000000.0,315000000.0
Gross Profit,21146000000.0,23701000000.0,21549000000.0,19899000000.0
Cost Of Revenue,32876000000.0,27981000000.0,26548000000.0,25865000000.0
Total Revenue,54022000000.0,51682000000.0,48097000000.0,45764000000.0
Operating Revenue,53143000000.0,50837000000.0,47254000000.0,44912000000.0
