,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Tax Effect Of Unusual Items,-1869630000.0,93374587.545174,242523711.340206,141767945.398917
Tax Rate For Calcs,0.21,0.275441,0.239175,0.21611
Normalized EBITDA,35904000000.0,36839000000.0,30739000000.0,33860000000.0
Total Unusual Items,-8903000000.0,339000000.0,1014000000.0,656000000.0
Total Unusual Items Excluding Goodwill,-8903000000.0,339000000.0,1014000000.0,656000000.0
Net Income From Continuing Operation Net Minority Interest,5370000000.0,14159000000.0,10534000000.0,13057000000.0
Reconciled Depreciation,13821000000.0,13804000000.0,13100000000.0,12953000000.0
Reconciled Cost Of Revenue,38213000000.0,38450000000.0,33121000000.0,34440000000.0
EBITDA,27001000000.0,37178000000.0,31753000000.0,34516000000.0
EBIT,13180000000.0,23374000000.0,18653000000.0,21563000000.0
Net Interest Income,-3896000000.0,-4281000000.0,-4588000000.0,-4567000000.0
Interest Expense,3896000000.0,4281000000.0,4588000000.0,4567000000.0
Normalized Income,12403370000.0,13913374587.545174,9762523711.340206,12542767945.398916
Net Income From Continuing And Discontinued Operation,5370000000.0,14159000000.0,10534000000.0,13057000000.0
Total Expenses,98803000000.0,95568000000.0,86071000000.0,87817000000.0
Total Operating Income As Reported,14041000000.0,20817000000.0,17493000000.0,21125000000.0
Diluted Average Shares,4430000000.0,4654000000.0,4624000000.0,4610000000.0
Basic Average Shares,4220119392.0,4533230325.0,4580656172.0,4553034645.0
Diluted EPS,1.21,3.04,2.28,2.83
Basic EPS,1.272476,3.12338,2.299671,2.867758
Diluted NI Availto Com Stockholders,5370000000.0,14159000000.0,10534000000.0,13057000000.0
Net Income Common Stockholders,5370000000.0,14159000000.0,10534000000.0,13057000000.0
Net Income,5370000000.0,14159000000.0,10534000000.0,13057000000.0
Minority Interests,445000000.0,325000000.0,-167000000.0,-266000000.0
Net Income Including Noncontrolling Interests,4925000000.0,13833000000.0,10701000000.0,13323000000.0
Net Income Continuous Operations,4925000000.0,13834000000.0,10701000000.0,13323000000.0
Tax Provision,4359000000.0,5259000000.0,3364000000.0,3673000000.0
Pretax Income,9284000000.0,19093000000.0,14065000000.0,16996000000.0
Other Income Expense,-9443000000.0,2556000000.0,1160000000.0,438000000.0
Other Non Operating Income Expenses,-3000000.0,211000000.0,259000000.0,287000000.0
Special Income Charges,-8583000000.0,,,
Impairment Of Capital Assets,8583000000.0,,,
Earnings From Equity Interest,-537000000.0,2006000000.0,-113000000.0,-505000000.0
Gain On Sale Of Security,-320000000.0,339000000.0,1014000000.0,656000000.0
Net Non Operating Interest Income Expense,-3896000000.0,-4281000000.0,-4588000000.0,-4567000000.0
Interest Expense Non Operating,3896000000.0,4281000000.0,4588000000.0,4567000000.0
Operating Income,22624000000.0,20817000000.0,17493000000.0,21125000000.0
Operating Expense,60590000000.0,57118000000.0,52950000000.0,53377000000.0
Other Operating Expenses,38263000000.0,35619000000.0,33109000000.0,32807000000.0
Depreciation Amortization Depletion Income Statement,13821000000.0,13804000000.0,13100000000.0,12953000000.0
Depreciation And Amortization In Income Statement,13821000000.0,13804000000.0,13100000000.0,12953000000.0
Amortization,5097000000.0,5176000000.0,4780000000.0,4290000000.0
Amortization Of Intangibles Income Statement,5097000000.0,5176000000.0,4780000000.0,4290000000.0
Depreciation Income Statement,8724000000.0,8628000000.0,8320000000.0,8663000000.0
Selling General And Administration,46769000000.0,43314000000.0,39850000000.0,40424000000.0
Selling And Marketing Expense,8506000000.0,7695000000.0,6741000000.0,7617000000.0
General And Administrative Expense,38263000000.0,35619000000.0,33109000000.0,32807000000.0
Other Gand A,38263000000.0,35619000000.0,33109000000.0,32807000000.0
Gross Profit,83214000000.0,77935000000.0,70443000000.0,74502000000.0
Cost Of Revenue,38213000000.0,38450000000.0,33121000000.0,34440000000.0
Total Revenue,121427000000.0,116385000000.0,103564000000.0,108942000000.0
Operating Revenue,121427000000.0,116385000000.0,103564000000.0,108942000000.0
