,2023-08-31,2022-08-31,2021-08-31,2020-08-31
Tax Effect Of Unusual Items,0.0,0.0,0.0,0.0
Tax Rate For Calcs,0.258631,0.245536,0.239671,0.243712
Normalized EBITDA,10724000000.0,7998000000.0,6851000000.0,5527000000.0
Total Unusual Items,29000000.0,106000000.0,56000000.0,7000000.0
Total Unusual Items Excluding Goodwill,29000000.0,106000000.0,56000000.0,7000000.0
Net Income From Continuing Operation Net Minority Interest,6292000000.0,5844000000.0,5007000000.0,4002000000.0
Reconciled Depreciation,2077000000.0,1900000000.0,1781000000.0,1645000000.0
Reconciled Cost Of Revenue,212586000000.0,199382000000.0,170684000000.0,144939000000.0
EBITDA,10724000000.0,7998000000.0,6851000000.0,5527000000.0
EBIT,8647000000.0,7998000000.0,6851000000.0,5527000000.0
Net Interest Income,373000000.0,47000000.0,-28000000.0,-68000000.0
Interest Expense,160000000.0,158000000.0,171000000.0,160000000.0
Interest Income,533000000.0,205000000.0,143000000.0,92000000.0
Normalized Income,6292000000.0,5844000000.0,5007000000.0,4002000000.0
Net Income From Continuing And Discontinued Operation,6292000000.0,5844000000.0,5007000000.0,4002000000.0
Total Expenses,234176000000.0,219161000000.0,189221000000.0,161326000000.0
Total Operating Income As Reported,8114000000.0,7793000000.0,6708000000.0,5435000000.0
Diluted Average Shares,444452000.0,444757000.0,444346000.0,443901000.0
Basic Average Shares,443854000.0,443651000.0,443089000.0,442297000.0
Diluted EPS,14.16,13.14,11.27,9.02
Basic EPS,14.18,13.17,11.3,9.05
Diluted NI Availto Com Stockholders,6292000000.0,5844000000.0,5007000000.0,4002000000.0
Net Income Common Stockholders,6292000000.0,5844000000.0,5007000000.0,4002000000.0
Net Income,6292000000.0,5844000000.0,5007000000.0,4002000000.0
Minority Interests,0.0,-71000000.0,-72000000.0,-57000000.0
Net Income Including Noncontrolling Interests,6292000000.0,5915000000.0,5079000000.0,4059000000.0
Net Income Continuous Operations,6292000000.0,5915000000.0,5079000000.0,4059000000.0
Tax Provision,2195000000.0,1925000000.0,1601000000.0,1308000000.0
Pretax Income,8487000000.0,7840000000.0,6680000000.0,5367000000.0
Other Income Expense,29000000.0,106000000.0,56000000.0,7000000.0
Other Non Operating Income Expenses,,38000000.0,46000000.0,-4000000.0
Gain On Sale Of Security,29000000.0,106000000.0,56000000.0,7000000.0
Net Non Operating Interest Income Expense,373000000.0,47000000.0,-28000000.0,-68000000.0
Total Other Finance Cost,-34000000.0,-38000000.0,-46000000.0,4000000.0
Interest Expense Non Operating,160000000.0,158000000.0,171000000.0,160000000.0
Interest Income Non Operating,533000000.0,205000000.0,143000000.0,92000000.0
Operating Income,8114000000.0,7793000000.0,6708000000.0,5435000000.0
Operating Expense,21590000000.0,19779000000.0,18537000000.0,16387000000.0
Other Operating Expenses,,,76000000.0,55000000.0
Selling General And Administration,21590000000.0,19779000000.0,18461000000.0,16332000000.0
Gross Profit,29704000000.0,27572000000.0,25245000000.0,21822000000.0
Cost Of Revenue,212586000000.0,199382000000.0,170684000000.0,144939000000.0
Total Revenue,242290000000.0,226954000000.0,195929000000.0,166761000000.0
Operating Revenue,242290000000.0,226954000000.0,195929000000.0,166761000000.0
