,2023-07-31,2022-07-31,2021-07-31,2020-07-31
Tax Effect Of Unusual Items,0.0,-3134752.881903,0.0,0.0
Tax Rate For Calcs,0.203681,0.187049,0.16522,0.126033
Normalized EBITDA,1646253000.0,1513006000.0,1265177000.0,923967000.0
Total Unusual Items,0.0,-16759000.0,,0.0
Total Unusual Items Excluding Goodwill,0.0,-16759000.0,,0.0
Net Income From Continuing Operation Net Minority Interest,1237741000.0,1090130000.0,936495000.0,699907000.0
Reconciled Depreciation,159684000.0,138605000.0,123084000.0,104257000.0
Reconciled Cost Of Revenue,1990224000.0,1776167000.0,1247390000.0,1117915000.0
EBITDA,1646253000.0,1496247000.0,1265177000.0,923967000.0
EBIT,1486569000.0,1357642000.0,1142093000.0,819710000.0
Net Interest Income,65928000.0,-16688000.0,-20247000.0,-18871000.0
Interest Expense,,16688000.0,20247000.0,18871000.0
Interest Income,,,,1359000.0
Normalized Income,1237741000.0,1103754247.118097,936495000.0,699907000.0
Net Income From Continuing And Discontinued Operation,1237741000.0,1090130000.0,936495000.0,699907000.0
Total Expenses,2382949000.0,2125924000.0,1556085000.0,1389484000.0
Total Operating Income As Reported,1486569000.0,1374997000.0,1136426000.0,816099000.0
Diluted Average Shares,966647000.0,964604000.0,961160000.0,954624000.0
Basic Average Shares,953574000.0,949676000.0,945008000.0,932808000.0
Diluted EPS,1.28,1.13,0.97,0.7325
Basic EPS,1.3,1.15,0.99,0.75
Diluted NI Availto Com Stockholders,1237741000.0,1090130000.0,936495000.0,699907000.0
Net Income Common Stockholders,1237741000.0,1090130000.0,936495000.0,699907000.0
Net Income,1237741000.0,1090130000.0,936495000.0,699907000.0
Minority Interests,,,,0.0
Net Income Including Noncontrolling Interests,1237741000.0,1090130000.0,936495000.0,699907000.0
Net Income Continuous Operations,1237741000.0,1090130000.0,936495000.0,699907000.0
Tax Provision,316587000.0,250824000.0,185351000.0,100932000.0
Pretax Income,1554328000.0,1340954000.0,1121846000.0,800839000.0
Other Income Expense,1831000.0,-17355000.0,5667000.0,3611000.0
Other Non Operating Income Expenses,1831000.0,-596000.0,5667000.0,3611000.0
Special Income Charges,0.0,-16759000.0,,0.0
Other Special Charges,,16759000.0,,
Impairment Of Capital Assets,,,,0.0
Net Non Operating Interest Income Expense,65928000.0,-16688000.0,-20247000.0,-18871000.0
Total Other Finance Cost,-65928000.0,,,
Interest Expense Non Operating,,16688000.0,20247000.0,18871000.0
Interest Income Non Operating,,,,1359000.0
Operating Income,1486569000.0,1374997000.0,1136426000.0,816099000.0
Operating Expense,250422000.0,231224000.0,206665000.0,191703000.0
Depreciation Amortization Depletion Income Statement,17381000.0,20072000.0,21054000.0,24391000.0
Depreciation And Amortization In Income Statement,17381000.0,20072000.0,21054000.0,24391000.0
Selling General And Administration,233041000.0,211152000.0,185611000.0,167312000.0
General And Administrative Expense,233041000.0,211152000.0,185611000.0,167312000.0
Other Gand A,200294000.0,177314000.0,149978000.0,149745000.0
Salaries And Wages,32747000.0,33838000.0,35633000.0,17567000.0
Gross Profit,1736991000.0,1606221000.0,1343091000.0,1007802000.0
Cost Of Revenue,2132527000.0,1894700000.0,1349420000.0,1197781000.0
Total Revenue,3869518000.0,3500921000.0,2692511000.0,2205583000.0
Operating Revenue,3869518000.0,3500921000.0,2692511000.0,2205583000.0
