,2023-01-31,2022-01-31,2021-01-31,2020-01-31
Tax Effect Of Unusual Items,0.0,0.0,0.0,0.0
Tax Rate For Calcs,0.21,0.21,0.27,0.27
Normalized EBITDA,-40754000.0,-65982000.0,-46167000.0,-115827000.0
Net Income From Continuing Operation Net Minority Interest,-183245000.0,-234802000.0,-92629000.0,-141779000.0
Reconciled Depreciation,93810000.0,68810000.0,40143000.0,23513000.0
Reconciled Cost Of Revenue,601231000.0,383221000.0,229545000.0,141627000.0
EBITDA,-40754000.0,-65982000.0,-46167000.0,-115827000.0
EBIT,-134564000.0,-134792000.0,-86310000.0,-139340000.0
Net Interest Income,27176000.0,-25231000.0,-1559000.0,-442000.0
Interest Expense,25319000.0,25231000.0,1559000.0,442000.0
Interest Income,52495000.0,,,
Normalized Income,-183245000.0,-234802000.0,-92629000.0,-141779000.0
Net Income From Continuing And Discontinued Operation,-183245000.0,-234802000.0,-92629000.0,-141779000.0
Total Expenses,2431348000.0,1594142000.0,966967000.0,627478000.0
Total Operating Income As Reported,-190112000.0,-142548000.0,-92529000.0,-146065000.0
Diluted Average Shares,233139000.0,227142000.0,217756000.0,148062000.0
Basic Average Shares,233139000.0,227142000.0,217756000.0,148062000.0
Diluted EPS,-0.79,-1.03,-0.43,-0.96
Basic EPS,-0.79,-1.03,-0.43,-0.96
Diluted NI Availto Com Stockholders,-183245000.0,-234802000.0,-92629000.0,-141779000.0
Net Income Common Stockholders,-183245000.0,-234802000.0,-92629000.0,-141779000.0
Otherunder Preferred Stock Dividend,,,,0.0
Net Income,-183245000.0,-234802000.0,-92629000.0,-141779000.0
Minority Interests,-960000.0,-2424000.0,,
Net Income Including Noncontrolling Interests,-182285000.0,-232378000.0,-92629000.0,-141779000.0
Net Income Continuous Operations,-182285000.0,-232378000.0,-92629000.0,-141779000.0
Tax Provision,22402000.0,72355000.0,4760000.0,1997000.0
Pretax Income,-159883000.0,-160023000.0,-87869000.0,-139782000.0
Other Income Expense,3053000.0,7756000.0,6219000.0,6725000.0
Other Non Operating Income Expenses,3053000.0,7756000.0,6219000.0,6725000.0
Net Non Operating Interest Income Expense,27176000.0,-25231000.0,-1559000.0,-442000.0
Interest Expense Non Operating,25319000.0,25231000.0,1559000.0,442000.0
Interest Income Non Operating,52495000.0,,,
Operating Income,-190112000.0,-142548000.0,-92529000.0,-146065000.0
Operating Expense,1830117000.0,1210921000.0,737422000.0,485851000.0
Research And Development,608364000.0,371283000.0,214670000.0,130188000.0
Selling General And Administration,1221753000.0,839638000.0,522752000.0,355663000.0
Selling And Marketing Expense,904409000.0,616546000.0,401316000.0,266595000.0
General And Administrative Expense,317344000.0,223092000.0,121436000.0,89068000.0
Other Gand A,317344000.0,223092000.0,121436000.0,89068000.0
Gross Profit,1640005000.0,1068373000.0,644893000.0,339786000.0
Cost Of Revenue,601231000.0,383221000.0,229545000.0,141627000.0
Total Revenue,2241236000.0,1451594000.0,874438000.0,481413000.0
Operating Revenue,2241236000.0,1451594000.0,874438000.0,481413000.0
