,2023-07-31,2022-07-31,2021-07-31,2020-07-31
Tax Effect Of Unusual Items,-93987000.0,-1104000.0,-178086000.0,-94757000.0
Tax Rate For Calcs,0.177,0.184,0.201,0.197
Normalized EBITDA,18002000000.0,16800000000.0,16444000000.0,16844000000.0
Total Unusual Items,-531000000.0,-6000000.0,-886000000.0,-481000000.0
Total Unusual Items Excluding Goodwill,-531000000.0,-6000000.0,-886000000.0,-481000000.0
Net Income From Continuing Operation Net Minority Interest,12613000000.0,11812000000.0,10591000000.0,11214000000.0
Reconciled Depreciation,1726000000.0,1957000000.0,1862000000.0,1808000000.0
Reconciled Cost Of Revenue,19801000000.0,17665000000.0,16277000000.0,15951000000.0
EBITDA,17471000000.0,16794000000.0,15558000000.0,16363000000.0
EBIT,15745000000.0,14837000000.0,13696000000.0,14555000000.0
Net Interest Income,535000000.0,116000000.0,184000000.0,335000000.0
Interest Expense,427000000.0,360000000.0,434000000.0,585000000.0
Interest Income,962000000.0,476000000.0,618000000.0,920000000.0
Normalized Income,13050013000.0,11816896000.0,11298914000.0,11600243000.0
Net Income From Continuing And Discontinued Operation,12613000000.0,11812000000.0,10591000000.0,11214000000.0
Total Expenses,41436000000.0,37582000000.0,36099000000.0,35200000000.0
Total Operating Income As Reported,15031000000.0,13969000000.0,12833000000.0,13620000000.0
Diluted Average Shares,4105000000.0,4192000000.0,4236000000.0,4254000000.0
Basic Average Shares,4093000000.0,4170000000.0,4222000000.0,4236000000.0
Diluted EPS,3.07,2.82,2.5,2.64
Basic EPS,3.08,2.83,2.51,2.65
Diluted NI Availto Com Stockholders,12613000000.0,11812000000.0,10591000000.0,11214000000.0
Net Income Common Stockholders,12613000000.0,11812000000.0,10591000000.0,11214000000.0
Net Income,12613000000.0,11812000000.0,10591000000.0,11214000000.0
Net Income Including Noncontrolling Interests,12613000000.0,11812000000.0,10591000000.0,11214000000.0
Net Income Continuous Operations,12613000000.0,11812000000.0,10591000000.0,11214000000.0
Tax Provision,2705000000.0,2665000000.0,2671000000.0,2756000000.0
Pretax Income,15318000000.0,14477000000.0,13262000000.0,13970000000.0
Other Income Expense,-779000000.0,386000000.0,-641000000.0,-466000000.0
Other Non Operating Income Expenses,-248000000.0,392000000.0,245000000.0,15000000.0
Special Income Charges,-531000000.0,-6000000.0,-886000000.0,-481000000.0
Restructuring And Mergern Acquisition,531000000.0,6000000.0,886000000.0,481000000.0
Gain On Sale Of Security,-177000000.0,457000000.0,325000000.0,132000000.0
Net Non Operating Interest Income Expense,535000000.0,116000000.0,184000000.0,335000000.0
Interest Expense Non Operating,427000000.0,360000000.0,434000000.0,585000000.0
Interest Income Non Operating,962000000.0,476000000.0,618000000.0,920000000.0
Operating Income,15562000000.0,13975000000.0,13719000000.0,14101000000.0
Operating Expense,20191000000.0,18273000000.0,18175000000.0,17582000000.0
Depreciation Amortization Depletion Income Statement,282000000.0,313000000.0,215000000.0,141000000.0
Depreciation And Amortization In Income Statement,282000000.0,313000000.0,215000000.0,141000000.0
Amortization,282000000.0,313000000.0,215000000.0,141000000.0
Amortization Of Intangibles Income Statement,282000000.0,313000000.0,215000000.0,141000000.0
Research And Development,7551000000.0,6774000000.0,6549000000.0,6347000000.0
Selling General And Administration,12358000000.0,11186000000.0,11411000000.0,11094000000.0
Selling And Marketing Expense,9880000000.0,9085000000.0,9259000000.0,9169000000.0
General And Administrative Expense,2478000000.0,2101000000.0,2152000000.0,1925000000.0
Other Gand A,2478000000.0,2101000000.0,2152000000.0,1925000000.0
Gross Profit,35753000000.0,32248000000.0,31894000000.0,31683000000.0
Cost Of Revenue,21245000000.0,19309000000.0,17924000000.0,17618000000.0
Total Revenue,56998000000.0,51557000000.0,49818000000.0,49301000000.0
Operating Revenue,56998000000.0,51557000000.0,49818000000.0,49301000000.0
