,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Tax Effect Of Unusual Items,0.0,0.0,0.0,0.0
Tax Rate For Calcs,0.240523,0.275774,0.161827,0.194363
Normalized EBITDA,588834000.0,575147000.0,406146000.0,474729000.0
Total Unusual Items,,,,0.0
Total Unusual Items Excluding Goodwill,,,,0.0
Net Income From Continuing Operation Net Minority Interest,369453000.0,292564000.0,227128000.0,314963000.0
Reconciled Depreciation,137885000.0,139558000.0,116944000.0,81165000.0
Reconciled Cost Of Revenue,349683000.0,292500000.0,254481000.0,242069000.0
EBITDA,588834000.0,575147000.0,406146000.0,474729000.0
EBIT,450949000.0,435589000.0,289202000.0,393564000.0
Net Interest Income,32125000.0,-31621000.0,-17395000.0,27402000.0
Interest Expense,,31621000.0,,2615000.0
Interest Income,,,,30017000.0
Normalized Income,369453000.0,292564000.0,227128000.0,314963000.0
Net Income From Continuing And Discontinued Operation,369453000.0,292564000.0,227128000.0,314963000.0
Total Expenses,1731450000.0,1511798000.0,1369817000.0,1036172000.0
Total Operating Income As Reported,450949000.0,432337000.0,289202000.0,363547000.0
Diluted Average Shares,397752000.0,394160000.0,383266000.0,366301000.0
Basic Average Shares,396284000.0,392210000.0,380726000.0,363096000.0
Diluted EPS,0.93,0.74,0.59,0.86
Basic EPS,0.93,0.75,0.6,0.87
Diluted NI Availto Com Stockholders,369453000.0,292564000.0,227128000.0,314963000.0
Net Income Common Stockholders,369453000.0,292564000.0,227128000.0,314963000.0
Net Income,369453000.0,292564000.0,227128000.0,314963000.0
Net Income Including Noncontrolling Interests,369453000.0,292564000.0,227128000.0,314963000.0
Net Income Continuous Operations,369453000.0,292564000.0,227128000.0,314963000.0
Tax Provision,117004000.0,111404000.0,43852000.0,75986000.0
Pretax Income,486457000.0,403968000.0,270980000.0,390949000.0
Other Income Expense,3383000.0,3252000.0,-827000.0,
Other Non Operating Income Expenses,3383000.0,3252000.0,-827000.0,
Special Income Charges,,,,0.0
Net Non Operating Interest Income Expense,32125000.0,-31621000.0,-17395000.0,27402000.0
Total Other Finance Cost,-32125000.0,31621000.0,17395000.0,
Interest Expense Non Operating,,31621000.0,,2615000.0
Interest Income Non Operating,,,,30017000.0
Operating Income,450949000.0,432337000.0,289202000.0,363547000.0
Operating Expense,1317442000.0,1154557000.0,1060849000.0,746933000.0
Depreciation Amortization Depletion Income Statement,73560000.0,74817000.0,62457000.0,33995000.0
Depreciation And Amortization In Income Statement,73560000.0,74817000.0,62457000.0,33995000.0
Amortization,73560000.0,74817000.0,62457000.0,33995000.0
Amortization Of Intangibles Income Statement,73560000.0,74817000.0,62457000.0,33995000.0
Research And Development,220923000.0,201022000.0,162916000.0,125602000.0
Selling General And Administration,1022959000.0,878718000.0,835476000.0,587336000.0
Selling And Marketing Expense,684222000.0,622007000.0,535778000.0,408596000.0
General And Administrative Expense,338737000.0,256711000.0,299698000.0,178740000.0
Other Gand A,338737000.0,256711000.0,299698000.0,178740000.0
Gross Profit,1768391000.0,1586894000.0,1350051000.0,1110480000.0
Cost Of Revenue,414008000.0,357241000.0,308968000.0,289239000.0
Total Revenue,2182399000.0,1944135000.0,1659019000.0,1399719000.0
Operating Revenue,2182399000.0,1944135000.0,1659019000.0,1399719000.0
