,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Tax Effect Of Unusual Items,54862209.087551,107287416.683498,0.0,0.0
Tax Rate For Calcs,0.230513,0.236316,0.237662,0.228221
Normalized EBITDA,7418000000.0,6639000000.0,5764000000.0,6402000000.0
Total Unusual Items,238000000.0,454000000.0,-48000000.0,0.0
Total Unusual Items Excluding Goodwill,238000000.0,454000000.0,-48000000.0,0.0
Net Income From Continuing Operation Net Minority Interest,4166000000.0,3781000000.0,2765000000.0,3331000000.0
Reconciled Depreciation,1500000000.0,1420000000.0,1383000000.0,1349000000.0
Reconciled Cost Of Revenue,9068000000.0,7382000000.0,6221000000.0,7063000000.0
EBITDA,7656000000.0,7093000000.0,5764000000.0,6402000000.0
EBIT,6156000000.0,5673000000.0,4381000000.0,5053000000.0
Net Interest Income,-742000000.0,-722000000.0,-754000000.0,-737000000.0
Interest Expense,742000000.0,722000000.0,754000000.0,737000000.0
Interest Income,42000000.0,7000000.0,17000000.0,48000000.0
Normalized Income,3982862209.087551,3434287416.683498,2765000000.0,3331000000.0
Net Income From Continuing And Discontinued Operation,4166000000.0,3781000000.0,2765000000.0,3331000000.0
Total Expenses,9068000000.0,7382000000.0,6221000000.0,7063000000.0
Rent Expense Supplemental,396000000.0,364000000.0,338000000.0,408000000.0
Total Operating Income As Reported,6023000000.0,5594000000.0,4362000000.0,4965000000.0
Diluted Average Shares,2141000000.0,2255000000.0,2305000000.0,2395000000.0
Basic Average Shares,2136000000.0,2250000000.0,2300000000.0,2389000000.0
Diluted EPS,1.95,1.68,1.2,1.39
Basic EPS,1.95,1.68,1.2,1.39
Diluted NI Availto Com Stockholders,4166000000.0,3781000000.0,2765000000.0,3331000000.0
Net Income Common Stockholders,4166000000.0,3781000000.0,2765000000.0,3331000000.0
Otherunder Preferred Stock Dividend,0.0,,0.0,0.0
Net Income,4166000000.0,3781000000.0,2765000000.0,3331000000.0
Net Income Including Noncontrolling Interests,4166000000.0,3781000000.0,2765000000.0,3331000000.0
Net Income Continuous Operations,4166000000.0,3781000000.0,2765000000.0,3331000000.0
Tax Provision,1248000000.0,1170000000.0,862000000.0,985000000.0
Pretax Income,5414000000.0,4951000000.0,3627000000.0,4316000000.0
Other Income Expense,371000000.0,533000000.0,19000000.0,179000000.0
Other Non Operating Income Expenses,133000000.0,79000000.0,19000000.0,88000000.0
Special Income Charges,238000000.0,454000000.0,-48000000.0,0.0
Gain On Sale Of Ppe,238000000.0,454000000.0,,
Other Special Charges,,,48000000.0,
Restructuring And Mergern Acquisition,,,,0.0
Earnings From Equity Interest,,,,91000000.0
Net Non Operating Interest Income Expense,-742000000.0,-722000000.0,-754000000.0,-737000000.0
Interest Expense Non Operating,742000000.0,722000000.0,754000000.0,737000000.0
Interest Income Non Operating,42000000.0,7000000.0,17000000.0,48000000.0
Operating Income,5785000000.0,5140000000.0,4362000000.0,4874000000.0
Gross Profit,5785000000.0,5140000000.0,4362000000.0,4874000000.0
Cost Of Revenue,9068000000.0,7382000000.0,6221000000.0,7063000000.0
Total Revenue,14853000000.0,12522000000.0,10583000000.0,11937000000.0
Operating Revenue,13945000000.0,11778000000.0,10583000000.0,11937000000.0
