,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Tax Effect Of Unusual Items,1694297.082228,-4902723.735409,-111175572.519084,-71303971.686984
Tax Rate For Calcs,0.242042,0.245136,0.335878,0.252851
Normalized EBITDA,3597000000.0,3430000000.0,3003000000.0,3358000000.0
Total Unusual Items,7000000.0,-20000000.0,-331000000.0,-282000000.0
Total Unusual Items Excluding Goodwill,7000000.0,-20000000.0,-331000000.0,-282000000.0
Net Income From Continuing Operation Net Minority Interest,2290000000.0,2137000000.0,1392000000.0,1842000000.0
Reconciled Depreciation,569000000.0,574000000.0,552000000.0,507000000.0
Reconciled Cost Of Revenue,12448000000.0,11604000000.0,10671000000.0,10634000000.0
EBITDA,3604000000.0,3410000000.0,2672000000.0,3076000000.0
EBIT,3035000000.0,2836000000.0,2120000000.0,2569000000.0
Net Interest Income,40000000.0,21000000.0,95000000.0,150000000.0
Interest Expense,19000000.0,9000000.0,24000000.0,26000000.0
Interest Income,59000000.0,30000000.0,119000000.0,176000000.0
Normalized Income,2284694297.082228,2152097276.264591,1611824427.480916,2052696028.313016
Net Income From Continuing And Discontinued Operation,2290000000.0,2137000000.0,1392000000.0,1842000000.0
Total Expenses,16460000000.0,15681000000.0,14323000000.0,14113000000.0
Total Operating Income As Reported,2968000000.0,2826000000.0,2114000000.0,2453000000.0
Diluted Average Shares,519000000.0,528000000.0,541000000.0,560000000.0
Basic Average Shares,518000000.0,527000000.0,540000000.0,559000000.0
Diluted EPS,4.41,4.05,2.57,3.29
Basic EPS,4.42,4.06,2.58,3.3
Diluted NI Availto Com Stockholders,2290000000.0,2137000000.0,1392000000.0,1842000000.0
Net Income Common Stockholders,2290000000.0,2137000000.0,1392000000.0,1842000000.0
Net Income,2290000000.0,2137000000.0,1392000000.0,1842000000.0
Net Income Including Noncontrolling Interests,2290000000.0,2137000000.0,1392000000.0,1842000000.0
Net Income Continuous Operations,2290000000.0,2137000000.0,1392000000.0,1842000000.0
Earnings From Equity Interest Net Of Tax,4000000.0,3000000.0,0.0,-58000000.0
Tax Provision,730000000.0,693000000.0,704000000.0,643000000.0
Pretax Income,3016000000.0,2827000000.0,2096000000.0,2543000000.0
Other Income Expense,8000000.0,-20000000.0,-328000000.0,-277000000.0
Other Non Operating Income Expenses,1000000.0,,3000000.0,5000000.0
Special Income Charges,0.0,0.0,-215000000.0,-217000000.0
Restructuring And Mergern Acquisition,0.0,0.0,215000000.0,217000000.0
Gain On Sale Of Security,7000000.0,-20000000.0,-116000000.0,-65000000.0
Net Non Operating Interest Income Expense,40000000.0,21000000.0,95000000.0,150000000.0
Interest Expense Non Operating,19000000.0,9000000.0,24000000.0,26000000.0
Interest Income Non Operating,59000000.0,30000000.0,119000000.0,176000000.0
Operating Income,2968000000.0,2826000000.0,2329000000.0,2670000000.0
Operating Expense,4012000000.0,4077000000.0,3652000000.0,3479000000.0
Depreciation Amortization Depletion Income Statement,569000000.0,574000000.0,552000000.0,507000000.0
Depreciation And Amortization In Income Statement,569000000.0,574000000.0,552000000.0,507000000.0
Selling General And Administration,3443000000.0,3503000000.0,3100000000.0,2972000000.0
Gross Profit,6980000000.0,6903000000.0,5981000000.0,6149000000.0
Cost Of Revenue,12448000000.0,11604000000.0,10671000000.0,10634000000.0
Total Revenue,19428000000.0,18507000000.0,16652000000.0,16783000000.0
Operating Revenue,19428000000.0,18507000000.0,16652000000.0,16783000000.0
