,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Tax Effect Of Unusual Items,0.0,0.0,0.0,0.0
Tax Rate For Calcs,0.21,0.27,0.27,0.27
Normalized EBITDA,13094000.0,25568000.0,23662000.0,-7770000.0
Net Income From Continuing Operation Net Minority Interest,-50160000.0,-20745000.0,-24547000.0,-16710000.0
Reconciled Depreciation,34629000.0,22938000.0,15450000.0,12370000.0
Reconciled Cost Of Revenue,346743000.0,234245000.0,130197000.0,88949000.0
EBITDA,13094000.0,25568000.0,23662000.0,-7770000.0
EBIT,-21535000.0,2630000.0,8212000.0,-20140000.0
Net Interest Income,20625000.0,734000.0,-8449000.0,
Interest Expense,16535000.0,21052000.0,30434000.0,
Interest Income,37160000.0,21786000.0,21985000.0,
Normalized Income,-50160000.0,-20745000.0,-24547000.0,-16710000.0
Net Income From Continuing And Discontinued Operation,-50160000.0,-20745000.0,-24547000.0,-16710000.0
Total Expenses,1733795000.0,1047940000.0,617239000.0,382920000.0
Total Operating Income As Reported,-58695000.0,-19156000.0,-13773000.0,-20140000.0
Diluted Average Shares,315410000.0,309048000.0,300350000.0,139873000.0
Basic Average Shares,315410000.0,309048000.0,300350000.0,139873000.0
Diluted EPS,-0.16,-0.07,-0.08,-0.12
Basic EPS,-0.16,-0.07,-0.08,-0.12
Diluted NI Availto Com Stockholders,-50160000.0,-20745000.0,-24547000.0,-16710000.0
Net Income Common Stockholders,-50160000.0,-20745000.0,-24547000.0,-16710000.0
Net Income,-50160000.0,-20745000.0,-24547000.0,-16710000.0
Net Income Including Noncontrolling Interests,-50160000.0,-20745000.0,-24547000.0,-16710000.0
Net Income Continuous Operations,-50160000.0,-20745000.0,-24547000.0,-16710000.0
Tax Provision,12090000.0,2323000.0,2325000.0,734000.0
Pretax Income,-38070000.0,-18422000.0,-22222000.0,-15976000.0
Other Income Expense,2229000.0,374000.0,751000.0,4164000.0
Other Non Operating Income Expenses,2229000.0,374000.0,751000.0,4164000.0
Net Non Operating Interest Income Expense,20625000.0,734000.0,-8449000.0,
Total Other Finance Cost,3369000.0,,,
Interest Expense Non Operating,16535000.0,21052000.0,30434000.0,
Interest Income Non Operating,37160000.0,21786000.0,21985000.0,
Operating Income,-58695000.0,-19156000.0,-13773000.0,-20140000.0
Operating Expense,1387052000.0,813695000.0,487042000.0,293971000.0
Research And Development,752351000.0,419769000.0,210626000.0,111425000.0
Selling General And Administration,634701000.0,393926000.0,276416000.0,182546000.0
Selling And Marketing Expense,495288000.0,299497000.0,213660000.0,146657000.0
General And Administrative Expense,139413000.0,94429000.0,62756000.0,35889000.0
Other Gand A,139413000.0,94429000.0,62756000.0,35889000.0
Gross Profit,1328357000.0,794539000.0,473269000.0,273831000.0
Cost Of Revenue,346743000.0,234245000.0,130197000.0,88949000.0
Total Revenue,1675100000.0,1028784000.0,603466000.0,362780000.0
Operating Revenue,1675100000.0,1028784000.0,603466000.0,362780000.0
