,2023-01-31,2022-01-31,2021-01-31,2020-01-31
Tax Effect Of Unusual Items,0.0,0.0,0.0,-77311000.0
Tax Rate For Calcs,0.235,0.186435,0.229,0.247
Normalized EBITDA,3003800000.0,2527100000.0,2573700000.0,2219200000.0
Total Unusual Items,,0.0,0.0,-313000000.0
Total Unusual Items Excluding Goodwill,,0.0,0.0,-313000000.0
Net Income From Continuing Operation Net Minority Interest,1615400000.0,1327900000.0,1341900000.0,827000000.0
Reconciled Depreciation,767900000.0,716000000.0,686600000.0,645400000.0
Reconciled Cost Of Revenue,19396300000.0,18583900000.0,17721000000.0,16570100000.0
EBITDA,3003800000.0,2527100000.0,2573700000.0,1906200000.0
EBIT,2235900000.0,1811100000.0,1887100000.0,1260800000.0
Net Interest Income,-125300000.0,-178900000.0,-147300000.0,-162100000.0
Interest Expense,125300000.0,178900000.0,147300000.0,162100000.0
Normalized Income,1615400000.0,1327900000.0,1341900000.0,1062689000.0
Net Income From Continuing And Discontinued Operation,1615400000.0,1327900000.0,1341900000.0,827000000.0
Total Expenses,26095400000.0,24509800000.0,23621400000.0,22035600000.0
Total Operating Income As Reported,2236300000.0,1811400000.0,1887900000.0,1262200000.0
Diluted Average Shares,224100000.0,229000000.0,237300000.0,238300000.0
Basic Average Shares,223200000.0,227900000.0,236400000.0,237200000.0
Diluted EPS,7.21,5.8,5.65,3.47
Basic EPS,7.24,5.83,5.68,3.49
Diluted NI Availto Com Stockholders,1615400000.0,1327900000.0,1341900000.0,827000000.0
Net Income Common Stockholders,1615400000.0,1327900000.0,1341900000.0,827000000.0
Net Income,1615400000.0,1327900000.0,1341900000.0,827000000.0
Net Income Including Noncontrolling Interests,1615400000.0,1327900000.0,1341900000.0,827000000.0
Net Income Continuous Operations,1615400000.0,1327900000.0,1341900000.0,827000000.0
Tax Provision,495200000.0,304300000.0,397900000.0,271700000.0
Pretax Income,2110600000.0,1632200000.0,1739800000.0,1098700000.0
Other Income Expense,-400000.0,-300000.0,-800000.0,-314400000.0
Other Non Operating Income Expenses,-400000.0,-300000.0,-800000.0,-1400000.0
Special Income Charges,,0.0,0.0,-313000000.0
Write Off,,,,0.0
Impairment Of Capital Assets,,0.0,0.0,313000000.0
Net Non Operating Interest Income Expense,-125300000.0,-178900000.0,-147300000.0,-162100000.0
Total Other Finance Cost,,,,162100000.0
Interest Expense Non Operating,125300000.0,178900000.0,147300000.0,162100000.0
Operating Income,2236300000.0,1811400000.0,1887900000.0,1575200000.0
Operating Expense,6699100000.0,5925900000.0,5900400000.0,5465500000.0
Selling General And Administration,6699100000.0,5925900000.0,5900400000.0,5465500000.0
Gross Profit,8935400000.0,7737300000.0,7788300000.0,7040700000.0
Cost Of Revenue,19396300000.0,18583900000.0,17721000000.0,16570100000.0
Total Revenue,28331700000.0,26321200000.0,25509300000.0,23610800000.0
Operating Revenue,28318200000.0,26309800000.0,25509300000.0,23610800000.0
