,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Tax Effect Of Unusual Items,0.0,-165612.420932,-1593000.0,0.0
Tax Rate For Calcs,0.126919,0.110408,0.27,0.02975
Normalized EBITDA,416900000.0,277400000.0,382700000.0,164500000.0
Total Unusual Items,0.0,-1500000.0,-5900000.0,
Total Unusual Items Excluding Goodwill,0.0,-1500000.0,-5900000.0,
Net Income From Continuing Operation Net Minority Interest,341200000.0,154700000.0,493600000.0,101100000.0
Reconciled Depreciation,7500000.0,102000000.0,67100000.0,48700000.0
Reconciled Cost Of Revenue,1026700000.0,768000000.0,646600000.0,544500000.0
EBITDA,416900000.0,275900000.0,376800000.0,164500000.0
EBIT,409400000.0,275900000.0,309700000.0,164500000.0
Net Interest Income,-600000.0,-102000000.0,-68600000.0,-33900000.0
Interest Expense,18600000.0,102000000.0,84700000.0,60300000.0
Interest Income,18000000.0,,16100000.0,26400000.0
Normalized Income,341200000.0,156034387.579068,497907000.0,101100000.0
Net Income From Continuing And Discontinued Operation,341200000.0,154700000.0,493600000.0,101100000.0
Total Expenses,2518600000.0,2182700000.0,1627200000.0,1333700000.0
Total Operating Income As Reported,391200000.0,265800000.0,299500000.0,142300000.0
Diluted Average Shares,427500000.0,428800000.0,390000000.0,369200000.0
Basic Average Shares,389400000.0,386900000.0,377600000.0,364400000.0
Diluted EPS,0.82,0.53,1.265,0.275
Basic EPS,0.88,0.56,1.3075,0.2775
Diluted NI Availto Com Stockholders,341200000.0,154700000.0,493600000.0,101100000.0
Average Dilution Earnings,11000000.0,,,
Net Income Common Stockholders,341200000.0,154700000.0,493600000.0,101100000.0
Net Income,341200000.0,154700000.0,493600000.0,101100000.0
Net Income Including Noncontrolling Interests,341200000.0,154700000.0,493600000.0,101100000.0
Net Income Continuous Operations,341200000.0,154700000.0,493600000.0,101100000.0
Tax Provision,49600000.0,19200000.0,-268600000.0,3100000.0
Pretax Income,390800000.0,173900000.0,225000000.0,104200000.0
Other Income Expense,200000.0,10100000.0,-5900000.0,-4200000.0
Other Non Operating Income Expenses,18000000.0,-1700000.0,,
Special Income Charges,0.0,-1500000.0,-5900000.0,
Other Special Charges,,1500000.0,5900000.0,
Earnings From Equity Interest,200000.0,11600000.0,0.0,-4200000.0
Net Non Operating Interest Income Expense,-600000.0,-102000000.0,-68600000.0,-33900000.0
Interest Expense Non Operating,18600000.0,102000000.0,84700000.0,60300000.0
Interest Income Non Operating,18000000.0,,16100000.0,26400000.0
Operating Income,391200000.0,265800000.0,299500000.0,142300000.0
Operating Expense,1491900000.0,1414700000.0,980600000.0,789200000.0
Depreciation Amortization Depletion Income Statement,7500000.0,,,
Depreciation And Amortization In Income Statement,7500000.0,,,
Amortization,7500000.0,,,
Amortization Of Intangibles Income Statement,7500000.0,,,
Research And Development,484200000.0,604200000.0,359900000.0,273500000.0
Selling General And Administration,1000200000.0,810500000.0,620700000.0,515700000.0
Gross Profit,1883100000.0,1680500000.0,1280100000.0,931500000.0
Cost Of Revenue,1026700000.0,768000000.0,646600000.0,544500000.0
Total Revenue,2909800000.0,2448500000.0,1926700000.0,1476000000.0
Operating Revenue,2909800000.0,2448500000.0,1926700000.0,1476000000.0
