,2023-03-31,2022-03-31,2021-03-31,2020-03-31
Tax Effect Of Unusual Items,-43864253.393665,0.0,0.0,-1350000.0
Tax Rate For Calcs,0.395173,0.27012,0.176991,0.27
Normalized EBITDA,2090000000.0,1615000000.0,1227000000.0,1605000000.0
Total Unusual Items,-111000000.0,-1000000.0,0.0,-5000000.0
Total Unusual Items Excluding Goodwill,-111000000.0,-1000000.0,0.0,-5000000.0
Net Income From Continuing Operation Net Minority Interest,802000000.0,789000000.0,837000000.0,3039000000.0
Reconciled Depreciation,536000000.0,486000000.0,181000000.0,150000000.0
Reconciled Cost Of Revenue,1414000000.0,1556000000.0,1343000000.0,1241000000.0
EBITDA,1979000000.0,1615000000.0,1227000000.0,1600000000.0
EBIT,1443000000.0,1129000000.0,1046000000.0,1450000000.0
Net Interest Income,-6000000.0,-48000000.0,-29000000.0,63000000.0
Interest Expense,58000000.0,58000000.0,43000000.0,42000000.0
Interest Income,49000000.0,4000000.0,24000000.0,100000000.0
Normalized Income,869135746.606335,789000000.0,837000000.0,3042650000.0
Net Income From Continuing And Discontinued Operation,802000000.0,789000000.0,837000000.0,3039000000.0
Total Expenses,5983000000.0,5862000000.0,4583000000.0,4087000000.0
Total Operating Income As Reported,1332000000.0,1129000000.0,1046000000.0,1445000000.0
Diluted Average Shares,278000000.0,286000000.0,292000000.0,295000000.0
Basic Average Shares,277000000.0,284000000.0,289000000.0,293000000.0
Diluted EPS,2.88,2.76,2.87,10.3
Basic EPS,2.9,2.78,2.9,10.37
Diluted NI Availto Com Stockholders,802000000.0,789000000.0,837000000.0,3039000000.0
Net Income Common Stockholders,802000000.0,789000000.0,837000000.0,3039000000.0
Net Income,802000000.0,789000000.0,837000000.0,3039000000.0
Net Income Including Noncontrolling Interests,802000000.0,789000000.0,837000000.0,3039000000.0
Net Income Continuous Operations,802000000.0,789000000.0,837000000.0,3039000000.0
Tax Provision,524000000.0,292000000.0,180000000.0,-1531000000.0
Pretax Income,1326000000.0,1081000000.0,1017000000.0,1508000000.0
Other Income Expense,-111000000.0,6000000.0,-8000000.0,-5000000.0
Other Non Operating Income Expenses,1000000.0,7000000.0,2000000.0,
Special Income Charges,-111000000.0,0.0,0.0,-5000000.0
Restructuring And Mergern Acquisition,111000000.0,0.0,0.0,5000000.0
Gain On Sale Of Security,2000000.0,-1000000.0,-10000000.0,7000000.0
Net Non Operating Interest Income Expense,-6000000.0,-48000000.0,-29000000.0,63000000.0
Total Other Finance Cost,6000000.0,48000000.0,29000000.0,-63000000.0
Interest Expense Non Operating,58000000.0,58000000.0,43000000.0,42000000.0
Interest Income Non Operating,49000000.0,4000000.0,24000000.0,100000000.0
Operating Income,1443000000.0,1129000000.0,1046000000.0,1450000000.0
Operating Expense,4191000000.0,4003000000.0,3089000000.0,2718000000.0
Depreciation Amortization Depletion Income Statement,158000000.0,183000000.0,30000000.0,22000000.0
Depreciation And Amortization In Income Statement,158000000.0,183000000.0,30000000.0,22000000.0
Amortization,158000000.0,183000000.0,30000000.0,22000000.0
Amortization Of Intangibles Income Statement,158000000.0,183000000.0,30000000.0,22000000.0
Research And Development,2328000000.0,2186000000.0,1778000000.0,1559000000.0
Selling General And Administration,1705000000.0,1634000000.0,1281000000.0,1137000000.0
Selling And Marketing Expense,978000000.0,961000000.0,689000000.0,631000000.0
General And Administrative Expense,727000000.0,673000000.0,592000000.0,506000000.0
Other Gand A,727000000.0,673000000.0,592000000.0,506000000.0
Gross Profit,5634000000.0,5132000000.0,4135000000.0,4168000000.0
Cost Of Revenue,1792000000.0,1859000000.0,1494000000.0,1369000000.0
Total Revenue,7426000000.0,6991000000.0,5629000000.0,5537000000.0
Operating Revenue,7426000000.0,6991000000.0,5629000000.0,5537000000.0
