,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Tax Effect Of Unusual Items,-772344000.0,-865590000.0,0.0,0.0
Tax Rate For Calcs,0.204,0.366,0.257,0.191548
Normalized EBITDA,2792000000.0,5790000000.0,3320000000.0,2966000000.0
Total Unusual Items,-3786000000.0,-2365000000.0,1007000000.0,80000000.0
Total Unusual Items Excluding Goodwill,-3786000000.0,-2365000000.0,1007000000.0,80000000.0
Net Income From Continuing Operation Net Minority Interest,-1274000000.0,252000000.0,2542000000.0,1760000000.0
Reconciled Depreciation,442000000.0,502000000.0,609000000.0,675000000.0
Reconciled Cost Of Revenue,2242000000.0,2157000000.0,1891000000.0,1804000000.0
EBITDA,-994000000.0,3425000000.0,3320000000.0,2966000000.0
EBIT,-1436000000.0,2923000000.0,2711000000.0,2291000000.0
Net Interest Income,-165000000.0,-160000000.0,709000000.0,-114000000.0
Interest Expense,165000000.0,269000000.0,337000000.0,311000000.0
Interest Income,73000000.0,19000000.0,39000000.0,120000000.0
Normalized Income,1739656000.0,1751410000.0,2542000000.0,1760000000.0
Net Income From Continuing And Discontinued Operation,-1269000000.0,13608000000.0,5667000000.0,1786000000.0
Total Expenses,7445000000.0,7497000000.0,7560000000.0,8188000000.0
Total Operating Income As Reported,2350000000.0,2923000000.0,2711000000.0,2291000000.0
Diluted Average Shares,558000000.0,663000000.0,718000000.0,856000000.0
Basic Average Shares,558000000.0,652000000.0,710000000.0,849000000.0
Diluted EPS,-2.27,20.54,7.89,2.09
Basic EPS,-2.27,20.87,7.98,2.1
Diluted NI Availto Com Stockholders,-1269000000.0,13608000000.0,5667000000.0,1786000000.0
Net Income Common Stockholders,-1269000000.0,13608000000.0,5667000000.0,1786000000.0
Net Income,-1269000000.0,13608000000.0,5667000000.0,1786000000.0
Net Income Including Noncontrolling Interests,-1269000000.0,13608000000.0,5667000000.0,1786000000.0
Net Income Discontinuous Operations,5000000.0,13356000000.0,3125000000.0,26000000.0
Net Income Continuous Operations,-1274000000.0,252000000.0,2542000000.0,1760000000.0
Tax Provision,-327000000.0,146000000.0,878000000.0,417000000.0
Pretax Income,-1601000000.0,398000000.0,3420000000.0,2177000000.0
Other Income Expense,-3786000000.0,-2365000000.0,1007000000.0,77000000.0
Other Non Operating Income Expenses,,,,-3000000.0
Special Income Charges,,,,80000000.0
Gain On Sale Of Business,,,,80000000.0
Gain On Sale Of Security,-3786000000.0,-2365000000.0,1007000000.0,
Net Non Operating Interest Income Expense,-165000000.0,-160000000.0,709000000.0,-114000000.0
Total Other Finance Cost,,160000000.0,-709000000.0,114000000.0
Interest Expense Non Operating,165000000.0,269000000.0,337000000.0,311000000.0
Interest Income Non Operating,73000000.0,19000000.0,39000000.0,120000000.0
Operating Income,2350000000.0,2923000000.0,2711000000.0,2291000000.0
Operating Expense,4765000000.0,4847000000.0,5087000000.0,5755000000.0
Other Operating Expenses,332000000.0,422000000.0,331000000.0,294000000.0
Depreciation Amortization Depletion Income Statement,4000000.0,9000000.0,27000000.0,46000000.0
Depreciation And Amortization In Income Statement,4000000.0,9000000.0,27000000.0,46000000.0
Amortization,4000000.0,9000000.0,27000000.0,46000000.0
Amortization Of Intangibles Income Statement,4000000.0,9000000.0,27000000.0,46000000.0
Research And Development,1330000000.0,1325000000.0,1087000000.0,1211000000.0
Selling General And Administration,3099000000.0,3091000000.0,3642000000.0,4204000000.0
Selling And Marketing Expense,2136000000.0,2170000000.0,2639000000.0,3075000000.0
General And Administrative Expense,963000000.0,921000000.0,1003000000.0,1129000000.0
Other Gand A,963000000.0,921000000.0,1003000000.0,1129000000.0
Gross Profit,7115000000.0,7770000000.0,7798000000.0,8046000000.0
Cost Of Revenue,2680000000.0,2650000000.0,2473000000.0,2433000000.0
Total Revenue,9795000000.0,10420000000.0,10271000000.0,10479000000.0
Operating Revenue,9795000000.0,10420000000.0,10271000000.0,10479000000.0
