,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Tax Effect Of Unusual Items,-340541.469048,-13620690.0,-11973960.0,-2169720.0
Tax Rate For Calcs,0.120974,0.27,0.27,0.27
Normalized EBITDA,523076000.0,248966000.0,201984000.0,121960000.0
Total Unusual Items,-2815000.0,-50447000.0,-44348000.0,-8036000.0
Total Unusual Items Excluding Goodwill,-2815000.0,-50447000.0,-44348000.0,-8036000.0
Net Income From Continuing Operation Net Minority Interest,397362000.0,145449000.0,133995000.0,161148000.0
Reconciled Depreciation,58775000.0,32439000.0,17225000.0,14119000.0
Reconciled Cost Of Revenue,1356258000.0,827627000.0,428444000.0,403088000.0
EBITDA,520261000.0,198519000.0,157636000.0,113924000.0
EBIT,461486000.0,166080000.0,140411000.0,99805000.0
Net Interest Income,4218000.0,-44457000.0,-18845000.0,-7178000.0
Interest Expense,9438000.0,45152000.0,21001000.0,9691000.0
Interest Income,13656000.0,695000.0,2156000.0,2513000.0
Normalized Income,399836458.530952,182275310.0,166369040.0,167014280.0
Net Income From Continuing And Discontinued Operation,397362000.0,145449000.0,133995000.0,161148000.0
Total Expenses,1880208000.0,1166217000.0,587986000.0,519005000.0
Total Operating Income As Reported,448261000.0,215832000.0,186439000.0,102729000.0
Diluted Average Shares,144390000.0,142878000.0,141918000.0,131644000.0
Basic Average Shares,135349000.0,134025000.0,125561000.0,116713000.0
Diluted EPS,2.77,1.02,0.95,1.23
Basic EPS,2.94,1.09,1.07,1.38
Diluted NI Availto Com Stockholders,397362000.0,145449000.0,133995000.0,161148000.0
Average Dilution Earnings,2629000.0,,,
Net Income Common Stockholders,397362000.0,145449000.0,133995000.0,161148000.0
Net Income,397362000.0,145449000.0,133995000.0,161148000.0
Net Income Including Noncontrolling Interests,397362000.0,145449000.0,133995000.0,161148000.0
Net Income Continuous Operations,397362000.0,145449000.0,133995000.0,161148000.0
Tax Provision,54686000.0,-24521000.0,-14585000.0,-71034000.0
Pretax Income,452048000.0,120928000.0,119410000.0,90114000.0
Other Income Expense,-2815000.0,-50447000.0,-48184000.0,-8036000.0
Other Non Operating Income Expenses,-431000.0,6050000.0,-3836000.0,-5437000.0
Special Income Charges,-2384000.0,-56497000.0,0.0,-2599000.0
Other Special Charges,,56497000.0,,
Restructuring And Mergern Acquisition,2384000.0,0.0,0.0,2599000.0
Gain On Sale Of Security,-431000.0,6050000.0,-44348000.0,-5437000.0
Net Non Operating Interest Income Expense,4218000.0,-44457000.0,-18845000.0,-7178000.0
Interest Expense Non Operating,9438000.0,45152000.0,21001000.0,9691000.0
Interest Income Non Operating,13656000.0,695000.0,2156000.0,2513000.0
Operating Income,450645000.0,215832000.0,186439000.0,105328000.0
Operating Expense,523950000.0,338590000.0,159542000.0,115917000.0
Research And Development,168846000.0,105526000.0,55921000.0,40381000.0
Selling General And Administration,355104000.0,233064000.0,103621000.0,75536000.0
Selling And Marketing Expense,215102000.0,128974000.0,52927000.0,36728000.0
General And Administrative Expense,140002000.0,104090000.0,50694000.0,38808000.0
Other Gand A,140002000.0,104090000.0,50694000.0,38808000.0
Gross Profit,974595000.0,554422000.0,345981000.0,221245000.0
Cost Of Revenue,1356258000.0,827627000.0,428444000.0,403088000.0
Total Revenue,2330853000.0,1382049000.0,774425000.0,624333000.0
Operating Revenue,2330853000.0,1382049000.0,774425000.0,624333000.0
