,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Tax Effect Of Unusual Items,-290470.245526,0.0,3840000.0,6215307.40276
Tax Rate For Calcs,0.145235,0.022975,0.16,0.194228
Normalized EBITDA,7385000000.0,9377000000.0,10471000000.0,11349000000.0
Total Unusual Items,-2000000.0,0.0,24000000.0,32000000.0
Total Unusual Items Excluding Goodwill,-2000000.0,0.0,24000000.0,32000000.0
Net Income From Continuing Operation Net Minority Interest,2053000000.0,1493000000.0,1963000000.0,2936000000.0
Reconciled Depreciation,3533000000.0,6434000000.0,6527000000.0,5780000000.0
Reconciled Cost Of Revenue,10838000000.0,7531000000.0,21999000000.0,22584000000.0
EBITDA,7383000000.0,9377000000.0,10495000000.0,11381000000.0
EBIT,3850000000.0,2943000000.0,3968000000.0,5601000000.0
Net Interest Income,-1447000000.0,-1289000000.0,-1635000000.0,-1616000000.0
Interest Expense,1447000000.0,1289000000.0,1635000000.0,1616000000.0
Normalized Income,2054709529.754474,1493000000.0,1942840000.0,2910215307.40276
Net Income From Continuing And Discontinued Operation,2170000000.0,1706000000.0,1963000000.0,2936000000.0
Total Expenses,15761000000.0,15256000000.0,30240000000.0,30096000000.0
Total Operating Income As Reported,3315000000.0,2682000000.0,2823000000.0,4374000000.0
Diluted Average Shares,987000000.0,980000000.0,977000000.0,974000000.0
Basic Average Shares,986000000.0,979000000.0,976000000.0,973000000.0
Diluted EPS,2.2,1.74,2.01,3.01
Basic EPS,2.2,1.74,2.01,3.02
Diluted NI Availto Com Stockholders,2170000000.0,1706000000.0,1963000000.0,2936000000.0
Net Income Common Stockholders,2170000000.0,1706000000.0,1963000000.0,2936000000.0
Net Income,2170000000.0,1706000000.0,1963000000.0,2936000000.0
Minority Interests,-1000000.0,-123000000.0,9000000.0,-92000000.0
Net Income Including Noncontrolling Interests,2171000000.0,1829000000.0,1954000000.0,3028000000.0
Net Income Discontinuous Operations,117000000.0,213000000.0,,
Net Income Continuous Operations,2054000000.0,1616000000.0,1954000000.0,3028000000.0
Earnings From Equity Interest Net Of Tax,,0.0,-6000000.0,-183000000.0
Tax Provision,349000000.0,38000000.0,373000000.0,774000000.0
Pretax Income,2403000000.0,1654000000.0,2333000000.0,3985000000.0
Other Income Expense,533000000.0,261000000.0,1169000000.0,1259000000.0
Other Non Operating Income Expenses,535000000.0,261000000.0,1145000000.0,1227000000.0
Special Income Charges,-2000000.0,0.0,24000000.0,32000000.0
Gain On Sale Of Ppe,-2000000.0,0.0,24000000.0,31000000.0
Gain On Sale Of Business,,0.0,0.0,1000000.0
Impairment Of Capital Assets,,,,0.0
Restructuring And Mergern Acquisition,,,,0.0
Net Non Operating Interest Income Expense,-1447000000.0,-1289000000.0,-1635000000.0,-1616000000.0
Total Other Finance Cost,,,,1616000000.0
Interest Expense Non Operating,1447000000.0,1289000000.0,1635000000.0,1616000000.0
Operating Income,3317000000.0,2682000000.0,2799000000.0,4342000000.0
Operating Expense,4715000000.0,4324000000.0,6728000000.0,5984000000.0
Other Taxes,1390000000.0,1291000000.0,1714000000.0,1732000000.0
Depreciation Amortization Depletion Income Statement,3325000000.0,3033000000.0,5014000000.0,4252000000.0
Depreciation And Amortization In Income Statement,3325000000.0,3033000000.0,5014000000.0,4252000000.0
Gross Profit,8032000000.0,7006000000.0,9527000000.0,10326000000.0
Cost Of Revenue,11046000000.0,10932000000.0,23512000000.0,24112000000.0
Total Revenue,19078000000.0,17938000000.0,33039000000.0,34438000000.0
Operating Revenue,19078000000.0,17938000000.0,33039000000.0,34438000000.0
