,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Tax Effect Of Unusual Items,-127306136.680614,-209030959.752322,-1170897506.925208,-123212707.18232
Tax Rate For Calcs,0.204672,0.217062,0.191136,0.129834
Normalized EBITDA,7861000000.0,5344000000.0,1851000000.0,3881000000.0
Total Unusual Items,-622000000.0,-963000000.0,-6126000000.0,-949000000.0
Total Unusual Items Excluding Goodwill,-622000000.0,-963000000.0,-6126000000.0,-949000000.0
Net Income From Continuing Operation Net Minority Interest,4386000000.0,2182000000.0,-4517000000.0,240000000.0
Reconciled Depreciation,1344000000.0,1275000000.0,1304000000.0,1447000000.0
Reconciled Cost Of Revenue,2865000000.0,2566000000.0,2169000000.0,2364000000.0
EBITDA,7239000000.0,4381000000.0,-4275000000.0,2932000000.0
EBIT,5895000000.0,3106000000.0,-5579000000.0,1485000000.0
Net Interest Income,-159000000.0,-199000000.0,-197000000.0,-172000000.0
Interest Expense,159000000.0,199000000.0,197000000.0,172000000.0
Interest Income,1000000.0,1000000.0,4000000.0,
Normalized Income,4880693863.319386,2935969040.247678,438102493.074792,1065787292.81768
Net Income From Continuing And Discontinued Operation,4386000000.0,2182000000.0,-4517000000.0,240000000.0
Total Expenses,3044000000.0,2713000000.0,2261000000.0,2470000000.0
Rent Expense Supplemental,,,,490000000.0
Total Operating Income As Reported,6508000000.0,4001000000.0,-5476000000.0,695000000.0
Diluted Average Shares,176539000.0,176643000.0,157976000.0,163843000.0
Basic Average Shares,176539000.0,176643000.0,157976000.0,163493000.0
Diluted EPS,24.61,12.24,-28.59,1.47
Basic EPS,24.61,12.24,-28.59,1.47
Diluted NI Availto Com Stockholders,4386000000.0,2182000000.0,-4517000000.0,240000000.0
Net Income Common Stockholders,4386000000.0,2182000000.0,-4517000000.0,240000000.0
Net Income,4386000000.0,2182000000.0,-4517000000.0,240000000.0
Minority Interests,-176000000.0,-94000000.0,155000000.0,-75000000.0
Net Income Including Noncontrolling Interests,4562000000.0,2276000000.0,-4672000000.0,315000000.0
Net Income Continuous Operations,4562000000.0,2276000000.0,-4672000000.0,315000000.0
Tax Provision,1174000000.0,631000000.0,-1104000000.0,47000000.0
Pretax Income,5736000000.0,2907000000.0,-5776000000.0,362000000.0
Other Income Expense,-627000000.0,-973000000.0,-6124000000.0,-951000000.0
Other Non Operating Income Expenses,-5000000.0,-10000000.0,2000000.0,-2000000.0
Special Income Charges,-113000000.0,-130000000.0,-6026000000.0,-846000000.0
Gain On Sale Of Business,0.0,23000000.0,,
Other Special Charges,99000000.0,75000000.0,5000000.0,56000000.0
Impairment Of Capital Assets,0.0,0.0,6021000000.0,790000000.0
Restructuring And Mergern Acquisition,14000000.0,78000000.0,0.0,0.0
Earnings From Equity Interest,,38000000.0,-10000000.0,
Gain On Sale Of Security,-509000000.0,-833000000.0,-100000000.0,-103000000.0
Net Non Operating Interest Income Expense,-159000000.0,-199000000.0,-197000000.0,-172000000.0
Total Other Finance Cost,12000000.0,11000000.0,6000000.0,172000000.0
Interest Expense Non Operating,159000000.0,199000000.0,197000000.0,172000000.0
Interest Income Non Operating,1000000.0,1000000.0,4000000.0,
Operating Income,6522000000.0,4079000000.0,545000000.0,1485000000.0
Operating Expense,179000000.0,147000000.0,92000000.0,106000000.0
Other Operating Expenses,35000000.0,1000000.0,4000000.0,2000000.0
Selling General And Administration,144000000.0,146000000.0,88000000.0,104000000.0
General And Administrative Expense,144000000.0,146000000.0,88000000.0,104000000.0
Other Gand A,144000000.0,146000000.0,88000000.0,104000000.0
Rent And Landing Fees,,,,490000000.0
Salaries And Wages,55000000.0,51000000.0,37000000.0,48000000.0
Gross Profit,6701000000.0,4226000000.0,637000000.0,1591000000.0
Cost Of Revenue,2865000000.0,2566000000.0,2169000000.0,2364000000.0
Total Revenue,9566000000.0,6792000000.0,2806000000.0,3955000000.0
Operating Revenue,9566000000.0,6792000000.0,2806000000.0,3951000000.0
