,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Tax Effect Of Unusual Items,0.0,0.0,338165.445396,290658.235125
Tax Rate For Calcs,0.245208,0.234145,0.241547,0.242215
Normalized EBITDA,1630900000.0,1388200000.0,1303400000.0,1205100000.0
Total Unusual Items,,,1400000.0,1200000.0
Total Unusual Items Excluding Goodwill,,,1400000.0,1200000.0
Net Income From Continuing Operation Net Minority Interest,1086900000.0,925000000.0,859100000.0,790900000.0
Reconciled Depreciation,176600000.0,170700000.0,162400000.0,148700000.0
Reconciled Cost Of Revenue,3764800000.0,3233700000.0,3079500000.0,2818300000.0
EBITDA,1630900000.0,1388200000.0,1304800000.0,1206300000.0
EBIT,1454300000.0,1217500000.0,1142400000.0,1057600000.0
Net Interest Income,-13600000.0,-9600000.0,-9100000.0,-13500000.0
Interest Expense,14300000.0,9700000.0,9700000.0,13900000.0
Interest Income,700000.0,100000.0,600000.0,400000.0
Normalized Income,1086900000.0,925000000.0,858038165.445396,789990658.235125
Net Income From Continuing And Discontinued Operation,1086900000.0,925000000.0,859100000.0,790900000.0
Total Expenses,5527000000.0,4793500000.0,4506900000.0,4277700000.0
Total Operating Income As Reported,1453600000.0,1217400000.0,1141800000.0,1057200000.0
Diluted Average Shares,575600000.0,577117056.0,575671954.0,574400000.0
Basic Average Shares,573800000.0,574808030.0,573778761.0,573200000.0
Diluted EPS,1.89,1.6,1.49,1.38
Basic EPS,1.89,1.61,1.5,1.38
Diluted NI Availto Com Stockholders,1086900000.0,925000000.0,859100000.0,790900000.0
Net Income Common Stockholders,1086900000.0,925000000.0,859100000.0,790900000.0
Net Income,1086900000.0,925000000.0,859100000.0,790900000.0
Net Income Including Noncontrolling Interests,1086900000.0,925000000.0,859100000.0,790900000.0
Net Income Continuous Operations,1086900000.0,925000000.0,859100000.0,790900000.0
Tax Provision,353100000.0,282800000.0,273600000.0,252800000.0
Pretax Income,1440000000.0,1207800000.0,1132700000.0,1043700000.0
Other Income Expense,,,1400000.0,1200000.0
Special Income Charges,,,1400000.0,1200000.0
Gain On Sale Of Ppe,,,1400000.0,1200000.0
Net Non Operating Interest Income Expense,-13600000.0,-9600000.0,-9100000.0,-13500000.0
Interest Expense Non Operating,14300000.0,9700000.0,9700000.0,13900000.0
Interest Income Non Operating,700000.0,100000.0,600000.0,400000.0
Operating Income,1453600000.0,1217400000.0,1140400000.0,1056000000.0
Operating Expense,1762200000.0,1559800000.0,1427400000.0,1459400000.0
Other Operating Expenses,1762200000.0,,,
Selling General And Administration,1762200000.0,1559800000.0,1427400000.0,1459400000.0
Gross Profit,3215800000.0,2777200000.0,2567800000.0,2515400000.0
Cost Of Revenue,3764800000.0,3233700000.0,3079500000.0,2818300000.0
Total Revenue,6980600000.0,6010900000.0,5647300000.0,5333700000.0
Operating Revenue,6980600000.0,6010900000.0,5647300000.0,5333700000.0
