,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Tax Effect Of Unusual Items,0.0,0.0,0.0,0.0
Tax Rate For Calcs,0.224124,0.209,0.241,0.196
Normalized EBITDA,3222000000.0,3540000000.0,3406000000.0,2838000000.0
Net Income From Continuing Operation Net Minority Interest,1898000000.0,2229000000.0,2007000000.0,1652000000.0
Reconciled Depreciation,633000000.0,625000000.0,630000000.0,659000000.0
Reconciled Cost Of Revenue,11162000000.0,10411000000.0,10397000000.0,10085000000.0
EBITDA,3222000000.0,3540000000.0,3406000000.0,2838000000.0
EBIT,2589000000.0,2915000000.0,2776000000.0,2179000000.0
Net Interest Income,-77000000.0,-6000000.0,-17000000.0,-52000000.0
Interest Expense,77000000.0,40000000.0,66000000.0,88000000.0
Interest Income,,34000000.0,49000000.0,36000000.0
Normalized Income,1898000000.0,2229000000.0,2007000000.0,1652000000.0
Net Income From Continuing And Discontinued Operation,1916000000.0,2247000000.0,13846000000.0,1524000000.0
Total Expenses,15819000000.0,14790000000.0,14444000000.0,14509000000.0
Total Operating Income As Reported,2522000000.0,2795000000.0,2720000000.0,2124000000.0
Diluted Average Shares,413822894.0,454710004.0,454710004.0,454710004.0
Basic Average Shares,413822894.0,454710004.0,454710004.0,454710004.0
Diluted EPS,4.63,4.941611,30.450177,3.351587
Basic EPS,4.63,4.941611,30.450177,3.351587
Diluted NI Availto Com Stockholders,1916000000.0,2247000000.0,13846000000.0,1524000000.0
Net Income Common Stockholders,1916000000.0,2247000000.0,13846000000.0,1524000000.0
Net Income,1916000000.0,2247000000.0,13846000000.0,1524000000.0
Minority Interests,-51000000.0,-46000000.0,-51000000.0,-29000000.0
Net Income Including Noncontrolling Interests,1967000000.0,2293000000.0,13897000000.0,1553000000.0
Net Income Discontinuous Operations,18000000.0,18000000.0,11839000000.0,-128000000.0
Net Income Continuous Operations,1949000000.0,2275000000.0,2058000000.0,1681000000.0
Tax Provision,563000000.0,600000000.0,652000000.0,410000000.0
Pretax Income,2512000000.0,2875000000.0,2710000000.0,2091000000.0
Other Income Expense,67000000.0,86000000.0,7000000.0,19000000.0
Other Non Operating Income Expenses,67000000.0,59000000.0,,1000000.0
Earnings From Equity Interest,13000000.0,27000000.0,7000000.0,18000000.0
Net Non Operating Interest Income Expense,-77000000.0,-6000000.0,-17000000.0,-52000000.0
Interest Expense Non Operating,77000000.0,40000000.0,66000000.0,88000000.0
Interest Income Non Operating,,34000000.0,49000000.0,36000000.0
Operating Income,2522000000.0,2795000000.0,2720000000.0,2124000000.0
Operating Expense,4657000000.0,4379000000.0,4047000000.0,4424000000.0
Research And Development,1026000000.0,816000000.0,810000000.0,833000000.0
Selling General And Administration,3631000000.0,3563000000.0,3237000000.0,3591000000.0
Gross Profit,7179000000.0,7174000000.0,6767000000.0,6548000000.0
Cost Of Revenue,11162000000.0,10411000000.0,10397000000.0,10085000000.0
Total Revenue,18341000000.0,17585000000.0,17164000000.0,16633000000.0
Operating Revenue,18341000000.0,17585000000.0,17164000000.0,16633000000.0
