,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Tax Effect Of Unusual Items,17345953.002611,0.0,2443677.30593,148663080.0
Tax Rate For Calcs,0.056136,0.27,0.008999,0.27
Normalized EBITDA,2906000000.0,1551000000.0,1020504000.0,1183275000.0
Total Unusual Items,309000000.0,0.0,271545000.0,550604000.0
Total Unusual Items Excluding Goodwill,309000000.0,0.0,271545000.0,550604000.0
Net Income From Continuing Operation Net Minority Interest,1448000000.0,-254000000.0,-1347571000.0,-1371186000.0
Reconciled Depreciation,1623000000.0,1619000000.0,2522514000.0,2678224000.0
Reconciled Cost Of Revenue,5869000000.0,5572000000.0,3155793000.0,3753494000.0
EBITDA,3215000000.0,1551000000.0,1292049000.0,1733879000.0
EBIT,1592000000.0,-68000000.0,-1230465000.0,-944345000.0
Net Interest Income,-60000000.0,-108000000.0,-151289000.0,-218797000.0
Interest Expense,60000000.0,108000000.0,132662000.0,202780000.0
Interest Income,51000000.0,5703000.0,3098000.0,11379000.0
Normalized Income,1156345953.002611,-254000000.0,-1616672322.69407,-1773126920.0
Net Income From Continuing And Discontinued Operation,1448000000.0,-254000000.0,-1347571000.0,-1371186000.0
Total Expenses,6847000000.0,6645000000.0,6483854000.0,7373634000.0
Total Operating Income As Reported,1167000000.0,-60000000.0,-1656021000.0,-1624796000.0
Diluted Average Shares,552000000.0,506000000.0,531845744.0,531845744.0
Basic Average Shares,539000000.0,506000000.0,531845744.0,531845744.0
Diluted EPS,2.62,-0.49,-2.53833,-2.578165
Basic EPS,2.69,-0.49,-2.53833,-2.578165
Diluted NI Availto Com Stockholders,1448000000.0,-254000000.0,-1347571000.0,-1371186000.0
Net Income Common Stockholders,1448000000.0,-254000000.0,-1347571000.0,-1371186000.0
Net Income,1448000000.0,-254000000.0,-1347571000.0,-1371186000.0
Minority Interests,2000000.0,3618000.0,3289000.0,0.0
Net Income Including Noncontrolling Interests,1446000000.0,-254000000.0,-1350860000.0,-1371186000.0
Net Income Discontinuous Operations,,,0.0,0.0
Net Income Continuous Operations,1446000000.0,-254000000.0,-1350860000.0,-1371186000.0
Tax Provision,86000000.0,78000000.0,-12267000.0,224061000.0
Pretax Income,1532000000.0,-176000000.0,-1363127000.0,-1147125000.0
Other Income Expense,331000000.0,-8000000.0,421511000.0,632518000.0
Other Non Operating Income Expenses,22000000.0,-8000000.0,107620000.0,74055000.0
Special Income Charges,309000000.0,0.0,271545000.0,550604000.0
Gain On Sale Of Ppe,,0.0,0.0,614554000.0
Gain On Sale Of Business,403000000.0,,,
Other Special Charges,,,-294217000.0,
Impairment Of Capital Assets,0.0,0.0,22672000.0,63950000.0
Restructuring And Mergern Acquisition,94000000.0,,0.0,0.0
Earnings From Equity Interest,0.0,3631000.0,42346000.0,7859000.0
Net Non Operating Interest Income Expense,-60000000.0,-108000000.0,-151289000.0,-218797000.0
Total Other Finance Cost,19000000.0,14855000.0,21725000.0,27396000.0
Interest Expense Non Operating,60000000.0,108000000.0,132662000.0,202780000.0
Interest Income Non Operating,51000000.0,5703000.0,3098000.0,11379000.0
Operating Income,1261000000.0,-60000000.0,-1633349000.0,-1560846000.0
Operating Expense,978000000.0,1073000000.0,920629000.0,1028602000.0
Other Operating Expenses,,,42137000.0,50853000.0
Depreciation Amortization Depletion Income Statement,45000000.0,49889000.0,115082000.0,86686000.0
Depreciation And Amortization In Income Statement,45000000.0,49889000.0,115082000.0,86686000.0
Amortization,,,85131000.0,46431000.0
Amortization Of Intangibles Income Statement,,,85131000.0,46431000.0
Depreciation Income Statement,,,29951000.0,40255000.0
Research And Development,482000000.0,478000000.0,475769000.0,582974000.0
Selling General And Administration,496000000.0,595000000.0,287641000.0,358942000.0
General And Administrative Expense,451000000.0,545031000.0,287641000.0,358942000.0
Other Gand A,34000000.0,8228000.0,-9950000.0,15937000.0
Salaries And Wages,417000000.0,536803000.0,297591000.0,343005000.0
Gross Profit,2239000000.0,1013000000.0,-712720000.0,-532244000.0
Cost Of Revenue,5869000000.0,5572000000.0,5563225000.0,6345032000.0
Total Revenue,8108000000.0,6585000000.0,4850505000.0,5812788000.0
Operating Revenue,8108000000.0,6585000000.0,4850505000.0,5812788000.0
