,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Tax Effect Of Unusual Items,-783460000.0,-44427000.0,-1581120000.0,0.0
Tax Rate For Calcs,0.215,0.251,0.27,0.27
Normalized EBITDA,10393000000.0,9456000000.0,8509000000.0,6155000000.0
Total Unusual Items,-3644000000.0,-177000000.0,-5856000000.0,
Total Unusual Items Excluding Goodwill,-3644000000.0,-177000000.0,-5856000000.0,
Net Income From Continuing Operation Net Minority Interest,4592000000.0,6225000000.0,123000000.0,5386000000.0
Reconciled Depreciation,2103000000.0,2050000000.0,1480000000.0,1404000000.0
Reconciled Cost Of Revenue,5657000000.0,6601000000.0,4572000000.0,4675000000.0
EBITDA,6749000000.0,9279000000.0,2653000000.0,6155000000.0
EBIT,6749000000.0,9279000000.0,2653000000.0,6155000000.0
Net Interest Income,-935000000.0,-1001000000.0,-984000000.0,-995000000.0
Interest Expense,935000000.0,1001000000.0,984000000.0,995000000.0
Normalized Income,7452540000.0,6357573000.0,4397880000.0,5386000000.0
Net Income From Continuing And Discontinued Operation,4592000000.0,6225000000.0,123000000.0,5386000000.0
Total Expenses,16307000000.0,17210000000.0,14762000000.0,18162000000.0
Total Operating Income As Reported,7330000000.0,9918000000.0,4071000000.0,4287000000.0
Diluted Average Shares,1262000000.0,1262000000.0,1263000000.0,1277000000.0
Basic Average Shares,1255000000.0,1256000000.0,1257000000.0,1270000000.0
Diluted EPS,3.64,4.93,0.1,4.22
Basic EPS,3.66,4.96,0.1,4.24
Diluted NI Availto Com Stockholders,4592000000.0,6225000000.0,123000000.0,5386000000.0
Net Income Common Stockholders,4592000000.0,6225000000.0,123000000.0,5386000000.0
Net Income,4592000000.0,6225000000.0,123000000.0,5386000000.0
Minority Interests,26000000.0,24000000.0,34000000.0,22000000.0
Net Income Including Noncontrolling Interests,4566000000.0,6201000000.0,89000000.0,5364000000.0
Net Income Continuous Operations,4566000000.0,6201000000.0,89000000.0,5364000000.0
Tax Provision,1248000000.0,2077000000.0,1580000000.0,-204000000.0
Pretax Income,5814000000.0,8278000000.0,1669000000.0,5160000000.0
Other Income Expense,-4225000000.0,-816000000.0,-7274000000.0,1868000000.0
Other Non Operating Income Expenses,-581000000.0,-639000000.0,-1418000000.0,1868000000.0
Special Income Charges,-3644000000.0,-177000000.0,-5856000000.0,
Other Special Charges,944000000.0,177000000.0,5856000000.0,
Write Off,2700000000.0,,,
Net Non Operating Interest Income Expense,-935000000.0,-1001000000.0,-984000000.0,-995000000.0
Interest Expense Non Operating,935000000.0,1001000000.0,984000000.0,995000000.0
Operating Income,10974000000.0,10095000000.0,9927000000.0,4287000000.0
Operating Expense,10650000000.0,10609000000.0,10190000000.0,13487000000.0
Research And Development,4977000000.0,5363000000.0,5039000000.0,9106000000.0
Selling General And Administration,5673000000.0,5246000000.0,5151000000.0,4381000000.0
Gross Profit,21624000000.0,20704000000.0,20117000000.0,17774000000.0
Cost Of Revenue,5657000000.0,6601000000.0,4572000000.0,4675000000.0
Total Revenue,27281000000.0,27305000000.0,24689000000.0,22449000000.0
Operating Revenue,27281000000.0,27305000000.0,24689000000.0,22449000000.0
