,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Tax Effect Of Unusual Items,0.0,0.0,0.0,-220610000.0
Tax Rate For Calcs,0.159208,0.162023,0.162493,0.13
Normalized EBITDA,90770000000.0,91155000000.0,54921000000.0,49406000000.0
Total Unusual Items,-6173000000.0,12030000000.0,0.0,-1697000000.0
Total Unusual Items Excluding Goodwill,-6173000000.0,12030000000.0,0.0,-1697000000.0
Net Income From Continuing Operation Net Minority Interest,59972000000.0,76033000000.0,40269000000.0,34343000000.0
Reconciled Depreciation,15928000000.0,12441000000.0,13697000000.0,11781000000.0
Reconciled Cost Of Revenue,126203000000.0,110939000000.0,84732000000.0,71896000000.0
EBITDA,90770000000.0,91155000000.0,54921000000.0,47709000000.0
EBIT,74842000000.0,78714000000.0,41224000000.0,35928000000.0
Net Interest Income,1817000000.0,1153000000.0,1730000000.0,5394000000.0
Interest Expense,357000000.0,346000000.0,135000000.0,100000000.0
Interest Income,2174000000.0,1499000000.0,1865000000.0,2427000000.0
Normalized Income,59972000000.0,76033000000.0,40269000000.0,35819390000.0
Net Income From Continuing And Discontinued Operation,59972000000.0,76033000000.0,40269000000.0,34343000000.0
Total Expenses,207994000000.0,178923000000.0,141303000000.0,125929000000.0
Total Operating Income As Reported,74842000000.0,78714000000.0,41224000000.0,34231000000.0
Diluted Average Shares,13159000000.0,13553473900.0,13740553816.0,13971114411.0
Basic Average Shares,13063000000.0,13352993991.0,13616313872.0,13851914459.0
Diluted EPS,4.56,5.610003,2.930501,2.458001
Basic EPS,4.59,5.694003,2.957501,2.479501
Diluted NI Availto Com Stockholders,59972000000.0,76033000000.0,40269000000.0,34343000000.0
Net Income Common Stockholders,59972000000.0,76033000000.0,40269000000.0,34343000000.0
Net Income,59972000000.0,76033000000.0,40269000000.0,34343000000.0
Net Income Including Noncontrolling Interests,59972000000.0,76033000000.0,40269000000.0,34343000000.0
Net Income Continuous Operations,59972000000.0,76033000000.0,40269000000.0,34343000000.0
Tax Provision,11356000000.0,14701000000.0,7813000000.0,5282000000.0
Pretax Income,71328000000.0,90734000000.0,48082000000.0,39625000000.0
Other Income Expense,-3514000000.0,12020000000.0,6858000000.0,3697000000.0
Other Non Operating Income Expenses,-3514000000.0,12020000000.0,6858000000.0,5394000000.0
Special Income Charges,,0.0,0.0,-1697000000.0
Other Special Charges,,,,1697000000.0
Earnings From Equity Interest,-337000000.0,334000000.0,401000000.0,390000000.0
Gain On Sale Of Security,-6173000000.0,12030000000.0,5973000000.0,2901000000.0
Net Non Operating Interest Income Expense,1817000000.0,1153000000.0,1730000000.0,5394000000.0
Total Other Finance Cost,,,,-5394000000.0
Interest Expense Non Operating,357000000.0,346000000.0,135000000.0,100000000.0
Interest Income Non Operating,2174000000.0,1499000000.0,1865000000.0,2427000000.0
Operating Income,74842000000.0,78714000000.0,41224000000.0,35928000000.0
Operating Expense,81791000000.0,67984000000.0,56571000000.0,54033000000.0
Research And Development,39500000000.0,31562000000.0,27573000000.0,26018000000.0
Selling General And Administration,42291000000.0,36422000000.0,28998000000.0,28015000000.0
Selling And Marketing Expense,26567000000.0,22912000000.0,17946000000.0,18464000000.0
General And Administrative Expense,15724000000.0,13510000000.0,11052000000.0,9551000000.0
Other Gand A,15724000000.0,13510000000.0,11052000000.0,9551000000.0
Gross Profit,156633000000.0,146698000000.0,97795000000.0,89961000000.0
Cost Of Revenue,126203000000.0,110939000000.0,84732000000.0,71896000000.0
Total Revenue,282836000000.0,257637000000.0,182527000000.0,161857000000.0
Operating Revenue,282836000000.0,257637000000.0,182527000000.0,161857000000.0
