,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Tax Effect Of Unusual Items,0.0,0.0,0.0,0.0
Tax Rate For Calcs,0.221351,0.224603,0.190785,0.175817
Normalized EBITDA,7997000000.0,8801000000.0,7373000000.0,9004000000.0
Total Unusual Items,-458000000.0,-83000000.0,65000000.0,119000000.0
Total Unusual Items Excluding Goodwill,-458000000.0,-83000000.0,65000000.0,119000000.0
Net Income From Continuing Operation Net Minority Interest,4966000000.0,5542000000.0,4779000000.0,6143000000.0
Reconciled Depreciation,1204000000.0,1223000000.0,1002000000.0,1088000000.0
Reconciled Cost Of Revenue,23825000000.0,23394000000.0,22169000000.0,24339000000.0
EBITDA,7997000000.0,8801000000.0,7373000000.0,9004000000.0
EBIT,6793000000.0,7578000000.0,6371000000.0,7916000000.0
Net Interest Income,-414000000.0,-343000000.0,-359000000.0,-357000000.0
Interest Expense,414000000.0,343000000.0,359000000.0,357000000.0
Interest Income,138000000.0,102000000.0,107000000.0,255000000.0
Normalized Income,4966000000.0,5542000000.0,4779000000.0,6143000000.0
Net Income From Continuing And Discontinued Operation,4966000000.0,5542000000.0,4779000000.0,6143000000.0
Total Expenses,29039000000.0,28192000000.0,26941000000.0,29858000000.0
Diluted Average Shares,683100000.0,700400000.0,711200000.0,730300000.0
Basic Average Shares,677100000.0,692300000.0,704100000.0,721000000.0
Diluted EPS,7.27,7.91,6.72,8.41
Basic EPS,7.33,8.01,6.79,8.52
Diluted NI Availto Com Stockholders,4966000000.0,5542000000.0,4779000000.0,6143000000.0
Net Income Common Stockholders,4966000000.0,5542000000.0,4779000000.0,6143000000.0
Net Income,4966000000.0,5542000000.0,4779000000.0,6143000000.0
Minority Interests,-1000000.0,-68000000.0,-86000000.0,-87000000.0
Net Income Including Noncontrolling Interests,4967000000.0,5610000000.0,4865000000.0,6230000000.0
Net Income Continuous Operations,4967000000.0,5610000000.0,4865000000.0,6230000000.0
Tax Provision,1412000000.0,1625000000.0,1147000000.0,1329000000.0
Pretax Income,6379000000.0,7235000000.0,6012000000.0,7559000000.0
Other Income Expense,366000000.0,1378000000.0,675000000.0,1065000000.0
Other Non Operating Income Expenses,366000000.0,1378000000.0,675000000.0,1065000000.0
Special Income Charges,-410000000.0,-58000000.0,-3000000.0,-1000000.0
Gain On Sale Of Business,22000000.0,102000000.0,-3000000.0,-1000000.0
Other Special Charges,90000000.0,160000000.0,,
Restructuring And Mergern Acquisition,342000000.0,,,
Earnings From Equity Interest,61000000.0,67000000.0,66000000.0,52000000.0
Gain On Sale Of Security,-48000000.0,-25000000.0,68000000.0,120000000.0
Net Non Operating Interest Income Expense,-414000000.0,-343000000.0,-359000000.0,-357000000.0
Interest Expense Non Operating,414000000.0,343000000.0,359000000.0,357000000.0
Interest Income Non Operating,138000000.0,102000000.0,107000000.0,255000000.0
Operating Income,6427000000.0,6200000000.0,5696000000.0,6851000000.0
Operating Expense,5214000000.0,4798000000.0,4772000000.0,5519000000.0
Selling General And Administration,5214000000.0,4798000000.0,4772000000.0,5519000000.0
Gross Profit,11641000000.0,10998000000.0,10468000000.0,12370000000.0
Cost Of Revenue,23825000000.0,23394000000.0,22169000000.0,24339000000.0
Total Revenue,35466000000.0,34392000000.0,32637000000.0,36709000000.0
Operating Revenue,35466000000.0,34392000000.0,32637000000.0,36709000000.0
